epoch,timestamp,x,y,z
1813947955487,10-06-2022 11:11:07:607,-1.2394822,-6.128019,7.647461
1813952431216,10-06-2022 11:11:07:612,-1.2155539,-6.0825553,7.628319
1813952479862,10-06-2022 11:11:07:612,-1.2035898,-6.1184473,7.6163545
1813961700227,10-06-2022 11:11:07:621,-1.18684,-6.178268,7.623533
1813976700227,10-06-2022 11:11:07:636,-1.2059826,-6.206982,7.63789
1813981251268,10-06-2022 11:11:07:641,-1.2299109,-6.218946,7.645068
1813990535643,10-06-2022 11:11:07:650,-1.2299109,-6.168697,7.652247
1813996964237,10-06-2022 11:11:07:656,-1.2394822,-6.13759,7.635497
1814010373560,10-06-2022 11:11:07:670,-1.2418749,-6.1304116,7.635497
1814016114185,10-06-2022 11:11:07:676,-1.2227324,-6.13759,7.5996046
1814026847727,10-06-2022 11:11:07:686,-1.2155539,-6.135197,7.5756764
1814041847727,10-06-2022 11:11:07:701,-1.2155539,-6.1447687,7.5637126
1814056847727,10-06-2022 11:11:07:716,-1.2299109,-6.1399827,7.54457
1814057617570,10-06-2022 11:11:07:717,-1.2323036,-6.161518,7.54457
1814066574914,10-06-2022 11:11:07:726,-1.2299109,-6.1639113,7.5661054
1814081574914,10-06-2022 11:11:07:741,-1.2346965,-6.13759,7.503892
1814089734810,10-06-2022 11:11:07:749,-1.1676974,-6.1040907,7.568498
1814099159341,10-06-2022 11:11:07:759,-1.1700903,-5.989235,7.6570325
1814114159341,10-06-2022 11:11:07:774,-1.1964114,-5.804988,7.628319
1814129159341,10-06-2022 11:11:07:789,-1.1437693,-5.5944195,7.984849
1814144159341,10-06-2022 11:11:07:804,-1.0911272,-5.410172,8.226524
1814159067726,10-06-2022 11:11:07:819,-1.0313065,-5.3503513,8.4705925
1814159129706,10-06-2022 11:11:07:819,-1.0552348,-5.3359947,8.504091
1814159188351,10-06-2022 11:11:07:819,-1.0719845,-5.4317074,8.370093
1814174188351,10-06-2022 11:11:07:834,-1.0193424,-5.4867425,8.331808
1814189188351,10-06-2022 11:11:07:849,-0.9284152,-5.5393844,8.16431
1814204188351,10-06-2022 11:11:07:864,-0.8925229,-5.6949177,7.8436728
1814219188351,10-06-2022 11:11:07:879,-0.89491564,-5.936593,7.5589266
1814234188351,10-06-2022 11:11:07:894,-0.9379865,-6.1471615,7.223932
1814249188351,10-06-2022 11:11:07:909,-1.0193424,-6.314659,6.8243303
1814264188351,10-06-2022 11:11:07:924,-1.0839486,-6.501299,6.3960147
1814279188351,10-06-2022 11:11:07:939,-1.1318051,-6.7645097,6.1160545
1814294188351,10-06-2022 11:11:07:954,-1.2155539,-7.001399,5.709275
1814309188351,10-06-2022 11:11:07:969,-1.3304094,-7.240681,5.245067
