epoch,timestamp,x,y,z
1424753044281,10-06-2022 11:04:38:414,-0.9451649,-5.611169,8.1020975
1424768044281,10-06-2022 11:04:38:429,-0.95473623,-5.558527,8.099705
1424769661573,10-06-2022 11:04:38:430,-0.94755775,-5.5537415,8.114061
1424769716365,10-06-2022 11:04:38:430,-0.9523434,-5.572884,8.090134
1424780872094,10-06-2022 11:04:38:441,-0.96430755,-5.601598,8.073383
1424795872094,10-06-2022 11:04:38:456,-0.9595219,-5.6207404,8.059027
1424810872094,10-06-2022 11:04:38:471,-0.9619147,-5.611169,8.051848
1424818027406,10-06-2022 11:04:38:479,-0.97866446,-5.5968122,8.063812
1424818078135,10-06-2022 11:04:38:479,-0.9738788,-5.5968122,8.056634
1424828468969,10-06-2022 11:04:38:489,-0.9379865,-5.611169,8.078169
1424843468969,10-06-2022 11:04:38:504,-0.94277215,-5.608776,8.068598
1424850027302,10-06-2022 11:04:38:511,-0.9164511,-5.582455,8.070991
1424856107146,10-06-2022 11:04:38:517,-0.9164511,-5.601598,8.073383
1424861606000,10-06-2022 11:04:38:522,-0.9212367,-5.572884,8.047063
1424876606000,10-06-2022 11:04:38:537,-0.93559366,-5.5920267,8.047063
1424885037042,10-06-2022 11:04:38:546,-0.9523434,-5.5920267,8.092526
1424893358656,10-06-2022 11:04:38:554,-0.9523434,-5.5968122,8.063812
1424908358656,10-06-2022 11:04:38:569,-0.971486,-5.608776,8.078169
1424923358656,10-06-2022 11:04:38:584,-0.95473623,-5.6039906,8.085348
1424927189802,10-06-2022 11:04:38:588,-0.9499506,-5.5968122,8.114061
1424931287875,10-06-2022 11:04:38:592,-0.95473623,-5.6063833,8.099705
1424945415427,10-06-2022 11:04:38:606,-0.9403793,-5.5896335,8.092526
1424960415427,10-06-2022 11:04:38:621,-0.93320084,-5.5776696,8.097312
1424975415427,10-06-2022 11:04:38:636,-0.9619147,-5.5633125,8.10449
1424975802458,10-06-2022 11:04:38:636,-0.93320084,-5.5513487,8.114061
1424990802458,10-06-2022 11:04:38:651,-0.9284152,-5.568098,8.10449
1425005802458,10-06-2022 11:04:38:666,-0.94755775,-5.5776696,8.085348
1425020802458,10-06-2022 11:04:38:681,-0.94277215,-5.625526,8.066205
1425024536833,10-06-2022 11:04:38:685,-0.9499506,-5.608776,8.051848
1425024585062,10-06-2022 11:04:38:685,-0.9499506,-5.601598,8.04467
1425034736312,10-06-2022 11:04:38:695,-0.9403793,-5.608776,8.056634
1425041073864,10-06-2022 11:04:38:702,-0.92602235,-5.6063833,8.082955
1425048569021,10-06-2022 11:04:38:709,-0.9499506,-5.6279187,8.049456
1425063569021,10-06-2022 11:04:38:724,-0.95712906,-5.6327047,8.1020975
1425078569021,10-06-2022 11:04:38:739,-0.9451649,-5.613562,8.099705
1425093569021,10-06-2022 11:04:38:754,-0.9523434,-5.611169,8.106883
1425108569021,10-06-2022 11:04:38:769,-0.9499506,-5.5704913,8.123632
1425123569021,10-06-2022 11:04:38:784,-0.94755775,-5.5657053,8.130812
1425127783708,10-06-2022 11:04:38:788,-0.93320084,-5.5776696,8.111669
1425127830479,10-06-2022 11:04:38:788,-0.9236295,-5.56092,8.109276
1425142830479,10-06-2022 11:04:38:803,-0.930808,-5.611169,8.099705
1425157830479,10-06-2022 11:04:38:818,-0.9284152,-5.6183476,8.097312
1425172830479,10-06-2022 11:04:38:833,-0.9523434,-5.613562,8.097312
1425187830479,10-06-2022 11:04:38:848,-0.93559366,-5.5657053,8.118847
1425202830479,10-06-2022 11:04:38:863,-0.9403793,-5.5896335,8.099705
1425217830479,10-06-2022 11:04:38:878,-0.94277215,-5.5872407,8.111669
1425232830479,10-06-2022 11:04:38:893,-0.95473623,-5.5896335,8.116454
1425233863864,10-06-2022 11:04:38:894,-0.9667004,-5.5896335,8.12124
1425233922510,10-06-2022 11:04:38:894,-0.95712906,-5.599205,8.080562
1425233968239,10-06-2022 11:04:38:894,-0.9667004,-5.6183476,8.092526
1425234014646,10-06-2022 11:04:38:895,-0.9762716,-5.6590257,8.066205
1425242666052,10-06-2022 11:04:38:903,-0.9738788,-5.682954,8.047063
