epoch,timestamp,x,y,z
3521949969200,10-06-2022 11:39:35:609,0.024422223,0.0048844446,-0.02198
3521964969200,10-06-2022 11:39:35:624,0.042738892,0.0,-0.037854444
3521979969200,10-06-2022 11:39:35:639,0.045181114,-0.008547778,-0.03052778
3521994969200,10-06-2022 11:39:35:654,0.035412222,-0.013432222,-0.024422223
3522009969200,10-06-2022 11:39:35:669,0.013432222,-0.014653334,-0.023201112
3522024969200,10-06-2022 11:39:35:684,-0.0036633336,-0.01099,-0.0048844446
3522039969200,10-06-2022 11:39:35:699,-0.017095556,-0.0048844446,0.0
3522054969200,10-06-2022 11:39:35:714,-0.018316668,-0.008547778,-0.0024422223
3522069969200,10-06-2022 11:39:35:729,0.0,-0.007326667,-0.014653334
3522082757585,10-06-2022 11:39:35:742,0.03052778,-0.0048844446,-0.012211111
3522097757585,10-06-2022 11:39:35:757,0.046402223,-0.009768889,-0.007326667
3522112757585,10-06-2022 11:39:35:772,0.034191113,-0.014653334,-0.0036633336
3522127757585,10-06-2022 11:39:35:787,0.0036633336,-0.013432222,-0.014653334
3522134284513,10-06-2022 11:39:35:794,-0.018316668,-0.007326667,-0.02075889
3522140528367,10-06-2022 11:39:35:800,-0.012211111,-0.008547778,-0.026864445
3522146081908,10-06-2022 11:39:35:806,0.0012211112,-0.007326667,-0.03052778
3522161081908,10-06-2022 11:39:35:821,0.0024422223,-0.013432222,-0.023201112
3522176081908,10-06-2022 11:39:35:836,-0.012211111,-0.017095556,-0.02075889
3522191081908,10-06-2022 11:39:35:851,-0.04029667,0.0048844446,-0.024422223
3522206081908,10-06-2022 11:39:35:866,-0.047623336,0.01099,-0.024422223
3522221081908,10-06-2022 11:39:35:881,-0.036633335,0.0061055557,-0.02198
3522236081908,10-06-2022 11:39:35:896,-0.02198,-0.0061055557,-0.03174889
3522251081908,10-06-2022 11:39:35:911,-0.02075889,0.009768889,-0.04151778
3522266081908,10-06-2022 11:39:35:926,-0.024422223,0.024422223,-0.029306669
3522281081908,10-06-2022 11:39:35:941,-0.018316668,0.028085556,0.0061055557
3522296081908,10-06-2022 11:39:35:956,-0.01099,0.026864445,0.008547778
