epoch,timestamp,x,y,z
4893681425344,10-06-2022 12:02:27:341,-2.7062824,1.8281165,9.4229355
4893694944666,10-06-2022 12:02:27:354,-2.754139,1.7108682,9.449257
4893709488260,10-06-2022 12:02:27:369,-2.629712,1.835295,9.671789
4893724488260,10-06-2022 12:02:27:384,-2.6321049,1.9453648,9.611969
4893739488260,10-06-2022 12:02:27:399,-2.6512475,1.9740787,9.537791
4893754488260,10-06-2022 12:02:27:414,-2.5842485,1.7204394,9.523434
4893757165396,10-06-2022 12:02:27:417,-2.5698915,1.4787644,9.609575
4893772165396,10-06-2022 12:02:27:432,-2.5674987,1.3064811,9.674182
4893787165396,10-06-2022 12:02:27:447,-2.5507488,1.1964114,9.79143
4893802165396,10-06-2022 12:02:27:462,-2.5842485,1.1676974,9.769895
4893811371229,10-06-2022 12:02:27:471,-2.629712,1.2442678,9.590433
4893811542323,10-06-2022 12:02:27:471,-2.6656044,1.2083755,9.564112
4893811596229,10-06-2022 12:02:27:471,-2.7278178,1.2394822,9.602397
4893811646333,10-06-2022 12:02:27:471,-2.8163524,1.2490535,9.640682
4893826646333,10-06-2022 12:02:27:486,-2.900101,1.2083755,9.705289
4893841646333,10-06-2022 12:02:27:501,-2.9742785,1.1724831,9.789038
4893856646333,10-06-2022 12:02:27:516,-3.0125637,1.1581261,9.887143
4893871646333,10-06-2022 12:02:27:531,-2.981457,1.1940185,9.980463
4893886646333,10-06-2022 12:02:27:546,-2.9575288,1.3495519,9.810573
4893886958833,10-06-2022 12:02:27:546,-2.9623144,1.7395821,9.60479
4893887006541,10-06-2022 12:02:27:547,-2.9383862,2.0985055,9.415757
4893895613625,10-06-2022 12:02:27:555,-2.9647074,2.3952155,9.250652
4893895685968,10-06-2022 12:02:27:555,-3.0053852,2.6201408,9.131011
4893895779406,10-06-2022 12:02:27:555,-3.0532417,2.833102,9.123833
4893910779406,10-06-2022 12:02:27:570,-3.050849,2.900101,9.32483
4893925779406,10-06-2022 12:02:27:585,-2.981457,2.914458,9.346365
4893940779406,10-06-2022 12:02:27:600,-2.914458,2.9168508,9.305687
4893955779406,10-06-2022 12:02:27:615,-2.9120653,3.0173492,9.150154
4893970779406,10-06-2022 12:02:27:630,-2.9359934,3.2590244,8.882157
4893981008364,10-06-2022 12:02:27:641,-2.9240294,3.6346977,8.666803
4893996008364,10-06-2022 12:02:27:656,-3.050849,4.1180477,8.260024
4894011008364,10-06-2022 12:02:27:671,-3.1465619,4.816752,7.8723865
4894014349979,10-06-2022 12:02:27:674,-3.062813,5.0919266,7.874779
4894029349979,10-06-2022 12:02:27:689,-2.9336007,4.8861437,7.972885
4894044349979,10-06-2022 12:02:27:704,-2.8426733,4.6372905,8.106883
4894058601802,10-06-2022 12:02:27:718,-2.8761728,4.4721856,8.346166
4894067776906,10-06-2022 12:02:27:727,-3.034099,4.345366,8.429914
4894067912635,10-06-2022 12:02:27:727,-3.1800613,4.3501515,8.403593
4894067961281,10-06-2022 12:02:27:727,-3.2063823,4.476971,8.405986
4894068006854,10-06-2022 12:02:27:728,-3.1800613,4.644469,8.329415
4894080464093,10-06-2022 12:02:27:740,-3.1489546,4.981857,8.152347
4894087040708,10-06-2022 12:02:27:747,-3.1250265,5.4556355,7.958528
4894097186802,10-06-2022 12:02:27:757,-3.2422748,5.960521,7.702496
4894097309718,10-06-2022 12:02:27:757,-3.4624143,6.5635123,7.3100734
4894101626489,10-06-2022 12:02:27:761,-3.455236,7.018149,6.9702926
4894116626489,10-06-2022 12:02:27:776,-3.3499517,6.829116,6.975078
4894131626489,10-06-2022 12:02:27:791,-3.306881,6.3050876,7.152147
4894139635343,10-06-2022 12:02:27:799,-3.3140593,5.804988,7.34118
4894154635343,10-06-2022 12:02:27:814,-3.4025939,5.3982077,7.520642
4894168285447,10-06-2022 12:02:27:828,-3.5246277,5.178068,7.5469627
4894169189302,10-06-2022 12:02:27:829,-3.6466618,5.0656056,7.472785
4894184189302,10-06-2022 12:02:27:844,-3.6849468,5.1349974,7.3196445
4894198509197,10-06-2022 12:02:27:858,-3.7088752,5.3359947,7.1042905
4894200024041,10-06-2022 12:02:27:860,-3.739982,5.76431,6.826723
4894207725864,10-06-2022 12:02:27:867,-3.818945,6.1447687,6.664011
4894211245343,10-06-2022 12:02:27:871,-3.859623,6.24766,6.506085
4894221955135,10-06-2022 12:02:27:881,-3.8644085,6.3074803,6.3457656
4894236955135,10-06-2022 12:02:27:896,-3.8117664,6.5276203,6.195018
4894244137010,10-06-2022 12:02:27:904,-3.7974095,6.463014,6.1998034
4894256967270,10-06-2022 12:02:27:916,-3.8548372,5.9581285,6.391229
4894271967270,10-06-2022 12:02:27:931,-3.9768713,5.4843497,6.530013
4894282898885,10-06-2022 12:02:27:942,-4.0869412,5.3503513,6.812366
4894283434562,10-06-2022 12:02:27:943,-4.1922255,5.4029937,6.4055862
4894290539875,10-06-2022 12:02:27:950,-4.223332,5.548956,6.398408
4894305539875,10-06-2022 12:02:27:965,-4.17069,5.6590257,6.2261243
4894318408572,10-06-2022 12:02:27:978,-4.0677986,5.7930236,6.209375
4894333408572,10-06-2022 12:02:27:993,-4.0510488,6.113662,6.1304116
4894348408572,10-06-2022 12:02:28:008,-4.0845485,6.4462643,5.9653068
4894355254250,10-06-2022 12:02:28:015,-4.0869412,6.6831536,5.7930236
4894355305135,10-06-2022 12:02:28:015,-4.072584,6.8051877,5.8360944
4894362054145,10-06-2022 12:02:28:022,-4.180261,6.8578296,5.898308
4894377054145,10-06-2022 12:02:28:037,-4.2687955,6.9678993,5.761917
4894391277999,10-06-2022 12:02:28:051,-4.2975097,6.948757,5.6781683
4894397248364,10-06-2022 12:02:28:057,-4.254439,6.778867,5.623133
4894412248364,10-06-2022 12:02:28:072,-4.24726,6.704689,5.5800624
4894423757374,10-06-2022 12:02:28:083,-4.316652,6.9128647,5.2139606
4894423810812,10-06-2022 12:02:28:083,-4.2831526,7.070791,5.209175
4894438810812,10-06-2022 12:02:28:098,-4.199404,6.908079,5.3623157
4894452833833,10-06-2022 12:02:28:112,-4.2329035,6.6041903,5.5369916
4894467833833,10-06-2022 12:02:28:127,-4.2975097,6.2979093,5.6733823
4894482833833,10-06-2022 12:02:28:142,-4.2424746,5.8097734,5.838487
4894497833833,10-06-2022 12:02:28:157,-4.26401,5.4987063,6.06102
4894512833833,10-06-2022 12:02:28:172,-4.2951164,5.4867425,6.2141604
4894527833833,10-06-2022 12:02:28:187,-4.321438,5.6590257,6.35773
4894542833833,10-06-2022 12:02:28:202,-4.3764725,5.922236,6.422336
4894548052270,10-06-2022 12:02:28:208,-4.409972,6.2691956,6.32423
4894561607218,10-06-2022 12:02:28:221,-4.429115,6.5347986,6.2261243
4894562294614,10-06-2022 12:02:28:222,-4.429115,6.8051877,5.9964137
4894562744249,10-06-2022 12:02:28:222,-4.398008,6.843473,5.8360944
4894563192999,10-06-2022 12:02:28:223,-4.3525443,6.5539412,5.948557
4894563666333,10-06-2022 12:02:28:223,-4.359723,6.1830535,6.1447687
4894574721385,10-06-2022 12:02:28:234,-4.3908296,5.85763,6.3960147
