epoch,timestamp,x,y,z
3837883409600,10-06-2022 11:44:51:544,-2.9096723,1.6271194,9.348758
3837896311423,10-06-2022 11:44:51:557,-2.9072795,1.6654046,9.427721
3837896782309,10-06-2022 11:44:51:557,-2.8809586,1.6438692,9.499506
3837911782309,10-06-2022 11:44:51:572,-2.928815,1.5074782,9.523434
3837926782309,10-06-2022 11:44:51:587,-2.9479575,1.3543376,9.468399
3837941782309,10-06-2022 11:44:51:602,-2.993421,1.2873386,9.375079
3837956782309,10-06-2022 11:44:51:617,-3.0317063,1.3471591,9.2075815
3837959901840,10-06-2022 11:44:51:620,-3.0077782,1.430908,9.243474
3837972950590,10-06-2022 11:44:51:633,-3.0556345,1.4763715,9.140582
3837984914288,10-06-2022 11:44:51:645,-3.1058838,1.5218352,9.099904
3837989974132,10-06-2022 11:44:51:650,-3.0867412,1.5433706,9.123833
3838004974132,10-06-2022 11:44:51:665,-2.9599216,1.538585,9.3104725
3838019974132,10-06-2022 11:44:51:680,-2.833102,1.6319051,9.458828
3838034974132,10-06-2022 11:44:51:695,-2.8163524,1.5984055,9.537791
3838049974132,10-06-2022 11:44:51:710,-2.845066,1.5314065,9.52822
3838064974132,10-06-2022 11:44:51:725,-2.8833513,1.4620147,9.509077
3838079974132,10-06-2022 11:44:51:740,-2.8905299,1.4835501,9.437292
3838094974132,10-06-2022 11:44:51:755,-2.9048867,1.4811572,9.375079
3838109974132,10-06-2022 11:44:51:770,-2.9455647,1.442872,9.355937
3838124974132,10-06-2022 11:44:51:785,-2.969493,1.5290136,9.317652
3838139974132,10-06-2022 11:44:51:800,-2.9455647,1.6366907,9.322437
3838154974132,10-06-2022 11:44:51:815,-2.8881369,1.6845472,9.425328
3838169974132,10-06-2022 11:44:51:830,-2.8283165,1.6199409,9.602397
3838184974132,10-06-2022 11:44:51:845,-2.766103,1.5074782,9.724431
3838199974132,10-06-2022 11:44:51:860,-2.7182465,1.4811572,9.77468
3838214974132,10-06-2022 11:44:51:875,-2.8498518,1.4141582,9.846465
3838229974132,10-06-2022 11:44:51:890,-2.981457,1.3016955,9.851251
3838244974132,10-06-2022 11:44:51:905,-3.101098,1.2873386,9.698111
3838259974132,10-06-2022 11:44:51:920,-3.129812,1.4117653,9.504292
3838274974132,10-06-2022 11:44:51:935,-3.0652058,1.4404793,9.432507
3838289974132,10-06-2022 11:44:51:950,-2.981457,1.2466606,9.743574
3838304974132,10-06-2022 11:44:51:965,-2.861816,1.026521,10.035499
3838520378506,10-06-2022 11:44:52:181,-2.737389,0.65084773,10.504492
3838520518298,10-06-2022 11:44:52:181,-2.6512475,-0.0526421,10.930414
3838520568663,10-06-2022 11:44:52:181,-2.7613173,-0.73459655,10.966306
3838520614704,10-06-2022 11:44:52:181,-3.0197423,-0.7728817,10.535598
3838520665538,10-06-2022 11:44:52:181,-3.1920254,-0.39720857,10.30828
3838520714444,10-06-2022 11:44:52:181,-3.2805598,-0.1052842,10.07139
3838520762517,10-06-2022 11:44:52:181,-3.2949169,0.22013968,10.047462
3838520808194,10-06-2022 11:44:52:181,-3.2279177,0.5407779,10.164711
3838520860277,10-06-2022 11:44:52:181,-3.1465619,0.83030945,10.358529
3838520907256,10-06-2022 11:44:52:181,-3.089134,1.0360922,10.4016
3838520953090,10-06-2022 11:44:52:181,-3.0747771,1.2011969,10.346565
3838520997517,10-06-2022 11:44:52:181,-3.1154552,1.4213367,10.238888
3838521044600,10-06-2022 11:44:52:182,-3.2733815,1.8640088,10.023534
3838536044600,10-06-2022 11:44:52:197,-3.2709885,2.536392,9.927821
3838551044600,10-06-2022 11:44:52:212,-3.1776686,3.0532417,9.961321
3838566044600,10-06-2022 11:44:52:227,-3.1561332,3.4049866,10.054641
