epoch,timestamp,x,y,z
3925689329307,10-06-2022 11:46:19:350,-2.6512475,-0.23928227,9.97807
3925704329307,10-06-2022 11:46:19:365,-2.644069,-0.44506502,10.241281
3925713441702,10-06-2022 11:46:19:374,-2.6201408,-0.72023964,10.459028
3925728441702,10-06-2022 11:46:19:389,-2.6608188,-0.9595219,10.506885
3925739439775,10-06-2022 11:46:19:400,-2.6871397,-1.1796615,10.487741
3925745679567,10-06-2022 11:46:19:406,-2.833102,-1.3950156,10.461421
3925752915348,10-06-2022 11:46:19:413,-3.0317063,-1.5409778,10.131211
3925754023994,10-06-2022 11:46:19:415,-3.182454,-1.1318051,9.635897
3925757424202,10-06-2022 11:46:19:418,-3.1657043,-0.4354937,9.334401
3925772424202,10-06-2022 11:46:19:433,-3.141776,-0.02632105,9.23151
3925778636390,10-06-2022 11:46:19:439,-3.17049,0.18424734,9.265009
3925793636390,10-06-2022 11:46:19:454,-3.2350962,0.27756742,9.332008
3925808636390,10-06-2022 11:46:19:469,-3.2542388,0.33499518,9.523434
3925823636390,10-06-2022 11:46:19:484,-3.2183464,0.37328035,9.781859
3925838636390,10-06-2022 11:46:19:499,-3.1752756,0.4235296,9.762716
3925853636390,10-06-2022 11:46:19:514,-3.141776,0.61016977,9.537791
3925860508994,10-06-2022 11:46:19:521,-3.1274192,0.8925229,9.236296
3925860954098,10-06-2022 11:46:19:521,-3.17049,1.2873386,8.810373
3925861856494,10-06-2022 11:46:19:522,-3.1896327,1.7946169,8.484949
3925876856494,10-06-2022 11:46:19:537,-3.101098,2.2660031,8.334201
3925888713577,10-06-2022 11:46:19:549,-3.0149565,2.6656044,8.17149
3925903713577,10-06-2022 11:46:19:564,-2.8905299,2.900101,8.056634
3925911169098,10-06-2022 11:46:19:572,-2.8642087,2.969493,8.068598
3925911925609,10-06-2022 11:46:19:572,-2.9048867,2.914458,8.094919
3925919235556,10-06-2022 11:46:19:580,-3.0005996,2.9240294,8.085348
3925934235556,10-06-2022 11:46:19:595,-3.0699914,3.0317063,8.123632
3925940779619,10-06-2022 11:46:19:601,-3.1202407,3.1537402,8.312666
3925955779619,10-06-2022 11:46:19:616,-3.0747771,3.1561332,8.537591
3925970779619,10-06-2022 11:46:19:631,-3.1250265,3.2303107,8.76491
3925985779619,10-06-2022 11:46:19:646,-3.050849,3.5126636,9.406186
3926000779619,10-06-2022 11:46:19:661,-2.9216363,3.67059,8.891729
3926005280869,10-06-2022 11:46:19:666,-2.8905299,3.938586,8.465807
3926007229150,10-06-2022 11:46:19:668,-2.7972097,4.4171505,8.166703
3926012296025,10-06-2022 11:46:19:673,-2.725425,4.8287163,7.958528
3926015273473,10-06-2022 11:46:19:676,-2.696711,5.326423,7.7096744
3926030273473,10-06-2022 11:46:19:691,-2.5220351,5.460421,7.8699937
3926045273473,10-06-2022 11:46:19:706,-2.3856442,5.1206403,8.195417
3926057947796,10-06-2022 11:46:19:718,-2.3856442,4.610969,8.537591
3926062115400,10-06-2022 11:46:19:723,-2.4717858,4.2017965,8.930014
3926065667171,10-06-2022 11:46:19:726,-2.4861426,3.9170506,9.250652
3926080667171,10-06-2022 11:46:19:741,-2.416751,3.737589,9.585648
3926092883473,10-06-2022 11:46:19:753,-2.3904297,3.6346977,9.657433
3926101675921,10-06-2022 11:46:19:762,-2.4311078,3.6275191,9.5665045
3926104354983,10-06-2022 11:46:19:765,-2.4454648,3.7136607,9.253045
3926119354983,10-06-2022 11:46:19:780,-2.3162522,3.9026937,8.853444
3926134354983,10-06-2022 11:46:19:795,-2.1248264,4.1108694,8.690732
3926149354983,10-06-2022 11:46:19:810,-2.0434706,4.1515474,8.590233
3926164354983,10-06-2022 11:46:19:825,-2.1008983,3.9242291,8.626125
3926179354983,10-06-2022 11:46:19:840,-2.2612174,3.5772698,8.662018
3926194104202,10-06-2022 11:46:19:855,-2.3832514,3.1345978,8.831908
3926198714046,10-06-2022 11:46:19:859,-2.3832514,2.6321049,9.236296
3926198779098,10-06-2022 11:46:19:859,-2.361716,2.0219352,9.772287
3926198828681,10-06-2022 11:46:19:859,-2.400001,1.4859428,10.116854
3926212564619,10-06-2022 11:46:19:873,-2.5459633,1.119841,10.164711
3926224716025,10-06-2022 11:46:19:885,-2.6871397,0.9834501,10.092926
3926239162848,10-06-2022 11:46:19:900,-2.7349963,1.1030912,9.949356
3926240158421,10-06-2022 11:46:19:901,-2.804388,1.402194,9.683753
3926243971129,10-06-2022 11:46:19:904,-2.833102,1.6654046,9.454042
3926255020035,10-06-2022 11:46:19:916,-2.8642087,1.8687944,9.269794
3926261703369,10-06-2022 11:46:19:922,-2.9216363,2.0315065,9.195618
3926276703369,10-06-2022 11:46:19:937,-2.9671001,2.062613,9.236296
3926285338733,10-06-2022 11:46:19:946,-2.993421,1.9764715,9.3200445
3926292786390,10-06-2022 11:46:19:953,-3.0005996,1.9118652,9.334401
3926306622640,10-06-2022 11:46:19:967,-2.9742785,1.875973,9.408579
