epoch,timestamp,x,y,z
3551945266012,10-06-2022 11:40:05:605,-2.900101,1.1844472,9.533006
3551951543720,10-06-2022 11:40:05:611,-2.8809586,1.1078769,9.530613
3551966543720,10-06-2022 11:40:05:626,-2.8977082,1.0408778,9.442079
3551980747053,10-06-2022 11:40:05:640,-2.955136,1.1246266,9.434899
3551980796532,10-06-2022 11:40:05:640,-2.9886355,1.1533405,9.427721
3551980846012,10-06-2022 11:40:05:640,-2.9455647,1.079163,9.444471
3551995846012,10-06-2022 11:40:05:655,-2.9048867,1.0313065,9.47797
3552010846012,10-06-2022 11:40:05:670,-2.900101,1.0815558,9.4636135
3552025846012,10-06-2022 11:40:05:685,-2.8474588,1.3016955,8.894122
3552040846012,10-06-2022 11:40:05:700,-2.658426,1.2514462,9.284152
3552055846012,10-06-2022 11:40:05:715,-2.7038896,1.0408778,9.410972
3552057131637,10-06-2022 11:40:05:717,-2.8115666,0.93559366,9.425328
3552057191532,10-06-2022 11:40:05:717,-2.8929226,0.93320084,9.487542
3552070775647,10-06-2022 11:40:05:730,-2.9503503,0.92602235,9.614362
3552076588459,10-06-2022 11:40:05:736,-2.9838498,0.8327023,9.671789
3552076677626,10-06-2022 11:40:05:736,-3.0029924,0.7082755,9.712467
3552091677626,10-06-2022 11:40:05:751,-2.981457,0.65084773,9.717253
3552106567522,10-06-2022 11:40:05:766,-3.0460632,0.74416786,9.580862
3552106625855,10-06-2022 11:40:05:766,-3.0915267,0.9810573,9.4636135
3552121625855,10-06-2022 11:40:05:781,-3.0293136,0.9834501,9.580862
3552123105387,10-06-2022 11:40:05:783,-2.955136,0.6221339,9.805787
3552132044032,10-06-2022 11:40:05:792,-2.8426733,0.11964113,9.994821
3552147044032,10-06-2022 11:40:05:807,-2.7828526,-0.3062813,10.286744
3552156792105,10-06-2022 11:40:05:816,-2.7110682,-0.6628119,10.351351
3552171792105,10-06-2022 11:40:05:831,-2.6536403,-0.8279166,10.313066
3552175366637,10-06-2022 11:40:05:835,-2.7684958,-0.69152576,10.052248
3552183596480,10-06-2022 11:40:05:843,-3.0077782,-0.1363909,9.760324
3552198596480,10-06-2022 11:40:05:858,-3.2398818,0.45942193,9.497113
3552204229657,10-06-2022 11:40:05:864,-3.3643086,0.9020941,9.432507
3552211421845,10-06-2022 11:40:05:871,-3.3810585,1.1222339,9.561719
3552225450126,10-06-2022 11:40:05:885,-3.3499517,1.2370893,9.657433
3552240450126,10-06-2022 11:40:05:900,-3.3260236,1.3782659,9.674182
3552255450126,10-06-2022 11:40:05:915,-3.3140593,1.4548361,9.671789
3552264631272,10-06-2022 11:40:05:924,-3.290131,1.4955142,9.631111
3552264682991,10-06-2022 11:40:05:924,-3.3427732,1.5481563,9.583255
3552275414657,10-06-2022 11:40:05:935,-3.4791641,1.7324036,9.513863
3552290414657,10-06-2022 11:40:05:950,-3.656233,2.065006,9.391829
3552298381324,10-06-2022 11:40:05:958,-3.7543387,2.4598217,9.296116
3552308745803,10-06-2022 11:40:05:968,-3.7447674,2.7996025,9.188439
3552320851636,10-06-2022 11:40:05:980,-3.6729827,3.0747771,8.953942
3552335851636,10-06-2022 11:40:05:995,-3.723232,3.5940197,8.544769
3552350851636,10-06-2022 11:40:06:010,-3.641876,4.206582,8.248059
3552365851636,10-06-2022 11:40:06:025,-3.5940197,4.4721856,8.147561
3552380851636,10-06-2022 11:40:06:040,-3.6179478,4.287938,8.142776
3552395851636,10-06-2022 11:40:06:055,-3.6849468,3.9649072,8.221739
3552410851636,10-06-2022 11:40:06:070,-3.7734814,3.7591243,8.319844
3552421137157,10-06-2022 11:40:06:081,-3.8668015,3.6275191,8.4705925
3552436137157,10-06-2022 11:40:06:096,-3.8787656,3.5533416,8.571091
3552449999761,10-06-2022 11:40:06:109,-3.888337,3.4576287,8.616554
3552455558563,10-06-2022 11:40:06:115,-3.9649072,3.4839497,8.573483
3552458015543,10-06-2022 11:40:06:118,-3.993621,3.7304106,8.477771
3552465048876,10-06-2022 11:40:06:125,-4.0295134,4.0127635,8.322237
3552473231949,10-06-2022 11:40:06:133,-4.074977,4.26401,8.202596
3552488231949,10-06-2022 11:40:06:148,-4.130012,4.4410787,8.02792
3552503231949,10-06-2022 11:40:06:163,-4.1754756,4.587041,7.8221374
3552515780803,10-06-2022 11:40:06:175,-4.24726,4.6612186,7.7144604
3552520341741,10-06-2022 11:40:06:180,-4.304688,4.6229334,7.6713896
3552535341741,10-06-2022 11:40:06:195,-4.438686,4.517649,7.609176
3552550341741,10-06-2022 11:40:06:210,-4.599005,4.426722,7.5637126
3552564062886,10-06-2022 11:40:06:224,-4.752146,4.2855453,7.5637126
3552564111949,10-06-2022 11:40:06:224,-4.8765726,4.0965123,7.5924263
3552564162730,10-06-2022 11:40:06:224,-4.9603214,3.9314077,7.597212
3552564214761,10-06-2022 11:40:06:224,-4.9770713,3.8141594,7.585248
3552579214761,10-06-2022 11:40:06:239,-5.0392847,3.8572302,7.389036
3552579908303,10-06-2022 11:40:06:239,-4.9986067,4.0941195,7.223932
3552579954084,10-06-2022 11:40:06:239,-4.965107,4.1898327,7.159325
3552580005230,10-06-2022 11:40:06:240,-4.9603214,4.106084,7.2622166
3552589078616,10-06-2022 11:40:06:249,-4.9770713,3.9649072,7.396215
3552597534657,10-06-2022 11:40:06:257,-5.0009995,3.940979,7.475178
3552612534657,10-06-2022 11:40:06:272,-5.003392,4.024728,7.578069
3552620377574,10-06-2022 11:40:06:280,-5.046463,4.1371903,7.6163545
3552635377574,10-06-2022 11:40:06:295,-5.15414,4.2975097,7.503892
3552640153615,10-06-2022 11:40:06:300,-5.393422,4.800002,7.01097
3552652081949,10-06-2022 11:40:06:312,-5.3216376,5.2402816,6.7166533
3552657053407,10-06-2022 11:40:06:317,-5.1158547,5.168497,6.613762
3552667494188,10-06-2022 11:40:06:327,-5.048856,4.807181,6.491728
3552682494188,10-06-2022 11:40:06:342,-5.0656056,4.4051867,6.3888364
3552697494188,10-06-2022 11:40:06:357,-5.1421757,4.125226,6.3074803
3552712494188,10-06-2022 11:40:06:372,-5.304888,3.885944,6.1447687
3552727494188,10-06-2022 11:40:06:387,-5.3742795,3.7088752,6.0490556
3552729877574,10-06-2022 11:40:06:389,-5.300102,3.615555,6.02752
3552744877574,10-06-2022 11:40:06:404,-5.3144593,3.696911,5.9437714
3552758094397,10-06-2022 11:40:06:418,-5.407779,3.991228,5.804988
3552758249761,10-06-2022 11:40:06:418,-5.5872407,4.5272202,5.680561
3552758299761,10-06-2022 11:40:06:418,-5.651847,5.1014977,5.515456
3552772671220,10-06-2022 11:40:06:432,-5.6877394,5.5202417,5.3910294
3552781777730,10-06-2022 11:40:06:441,-5.7690954,5.869594,5.2498527
3552788839501,10-06-2022 11:40:06:448,-5.7427745,6.290731,5.2546387
3552803839501,10-06-2022 11:40:06:463,-5.706882,6.6568327,5.352744
3552818839501,10-06-2022 11:40:06:478,-5.771488,6.8482585,5.4412785
3552833839501,10-06-2022 11:40:06:493,-5.8241305,6.869794,5.515456
3552848839501,10-06-2022 11:40:06:508,-5.8767724,6.649654,5.5274205
3552860062313,10-06-2022 11:40:06:520,-5.8337016,6.1447687,5.625526
3552860116011,10-06-2022 11:40:06:520,-5.7260246,5.568098,5.721239
3552860166480,10-06-2022 11:40:06:520,-5.704489,5.0392847,5.7690954
3552875166480,10-06-2022 11:40:06:535,-5.74756,4.6205406,5.9653068
3552890166480,10-06-2022 11:40:06:550,-5.8217373,4.2951164,6.1160545
3552898758303,10-06-2022 11:40:06:558,-5.9030933,4.0390844,6.142376
3552898807626,10-06-2022 11:40:06:558,-5.986842,4.0295134,5.9318075
3552911641636,10-06-2022 11:40:06:571,-5.9294147,4.2951164,5.8337016
3552926641636,10-06-2022 11:40:06:586,-5.828916,4.347759,5.8241305
3552941641636,10-06-2022 11:40:06:601,-5.7858453,4.168297,5.8839507
3552952351740,10-06-2022 11:40:06:612,-5.804988,4.019942,6.068198
3552955078928,10-06-2022 11:40:06:615,-5.8241305,3.9673,6.24766
3552958269970,10-06-2022 11:40:06:618,-5.910272,3.9218364,6.367301
3552963455490,10-06-2022 11:40:06:623,-5.938986,3.8787656,6.4414787
3552978455490,10-06-2022 11:40:06:638,-5.8887367,3.830909,6.501299
3552993455490,10-06-2022 11:40:06:653,-5.838487,3.8141594,6.4845495
3553008455490,10-06-2022 11:40:06:668,-5.7451673,3.9864426,6.381658
3553023455490,10-06-2022 11:40:06:683,-5.759524,4.479364,6.302695
3553038455490,10-06-2022 11:40:06:698,-5.936593,5.1086764,6.192625
3553050245022,10-06-2022 11:40:06:710,-6.1328044,5.797809,6.0801625
3553065245022,10-06-2022 11:40:06:725,-6.204589,6.2524457,5.938986
3553080245022,10-06-2022 11:40:06:740,-6.175875,6.2787666,5.812166
3553095245022,10-06-2022 11:40:06:755,-6.0394845,5.9437714,5.7451673
3553110245022,10-06-2022 11:40:06:770,-5.8935223,5.4963136,5.8073807
3553125245022,10-06-2022 11:40:06:785,-5.7786665,5.0368915,6.0323057
3553140245022,10-06-2022 11:40:06:800,-5.790631,4.610969,6.2931237
3553155245022,10-06-2022 11:40:06:815,-5.869594,4.319045,6.422336
3553170245022,10-06-2022 11:40:06:830,-5.936593,4.2520456,6.3625154
3553185245022,10-06-2022 11:40:06:845,-5.9270215,4.3788652,6.218946
3553200245022,10-06-2022 11:40:06:860,-5.898308,4.706682,6.020342
3553215245022,10-06-2022 11:40:06:875,-5.8672013,5.0823555,5.812166
3553230245022,10-06-2022 11:40:06:890,-5.8480587,5.515456,5.4699926
3553245245022,10-06-2022 11:40:06:905,-5.800202,5.790631,5.3790655
3553260245022,10-06-2022 11:40:06:920,-5.6709895,5.6877394,5.6039906
3553275245022,10-06-2022 11:40:06:935,-5.6279187,5.4029937,5.8839507
3553283385282,10-06-2022 11:40:06:943,-5.666204,5.1469617,6.068198
3553284208511,10-06-2022 11:40:06:944,-5.757131,4.900501,6.317052
3553284955751,10-06-2022 11:40:06:944,-5.8193445,4.7784667,6.4414787
3553285487521,10-06-2022 11:40:06:945,-5.8432727,4.7401814,6.5084777
3553286318511,10-06-2022 11:40:06:946,-5.8337016,4.800002,6.498906
3553286834709,10-06-2022 11:40:06:946,-5.838487,4.9531426,6.350551
3553287279865,10-06-2022 11:40:06:947,-5.838487,5.2737813,6.13759
3553288279709,10-06-2022 11:40:06:948,-5.8073807,5.601598,5.881558
3553288747730,10-06-2022 11:40:06:948,-5.797809,5.706882,5.6733823
3553303747730,10-06-2022 11:40:06:963,-5.6877394,5.601598,5.582455
3553318747730,10-06-2022 11:40:06:978,-5.5944195,5.517849,5.5872407
3553333747730,10-06-2022 11:40:06:993,-5.5800624,5.4628143,5.613562
3553348747730,10-06-2022 11:40:07:008,-5.5920267,5.426922,5.6303115
3553352670074,10-06-2022 11:40:07:012,-5.601598,5.3623157,5.6781683
3553353489240,10-06-2022 11:40:07:013,-5.6183476,5.316852,5.74756
3553354529605,10-06-2022 11:40:07:014,-5.6877394,5.3503513,5.7427745
3553355321532,10-06-2022 11:40:07:015,-5.7930236,5.319245,5.7355957
3553356137261,10-06-2022 11:40:07:016,-5.84088,5.211568,5.7427745
3553369601428,10-06-2022 11:40:07:029,-5.788238,5.139783,5.704489
3553370957157,10-06-2022 11:40:07:030,-5.6303115,5.056034,5.814559
3553379960751,10-06-2022 11:40:07:039,-5.5776696,4.9579287,6.005985
3553394960751,10-06-2022 11:40:07:054,-5.5968122,4.8454657,6.056234
3553409960751,10-06-2022 11:40:07:069,-5.690132,4.7784667,5.9700923
3553424960751,10-06-2022 11:40:07:084,-5.800202,4.9770713,5.773881
3553439960751,10-06-2022 11:40:07:099,-5.85763,5.2929235,5.5872407
3553445181896,10-06-2022 11:40:07:105,-5.845666,5.5896335,5.3383875
3553445230386,10-06-2022 11:40:07:105,-5.7188463,5.6685967,5.178068
3553460230386,10-06-2022 11:40:07:120,-5.5465627,5.5537415,5.3479586
3553474884605,10-06-2022 11:40:07:134,-5.3623157,5.1756754,5.6757755
3553474938199,10-06-2022 11:40:07:134,-5.24746,4.723432,5.9413786
3553485235959,10-06-2022 11:40:07:145,-5.1756754,4.24726,6.166304
3553500235959,10-06-2022 11:40:07:160,-5.1661043,3.9074793,6.2955165
3553508626219,10-06-2022 11:40:07:168,-5.17089,3.8811584,6.4271216
3553512437469,10-06-2022 11:40:07:172,-5.1589255,4.1898327,6.4366927
3553518497521,10-06-2022 11:40:07:178,-5.1326046,4.5224347,6.352944
3553528350751,10-06-2022 11:40:07:188,-5.0799623,4.8454657,6.290731
3553543350751,10-06-2022 11:40:07:203,-5.06082,5.1852465,6.1710896
3553558350751,10-06-2022 11:40:07:218,-4.974678,5.3647084,6.1471615
3553566160490,10-06-2022 11:40:07:226,-4.8454657,5.1661043,6.3385873
3553570419188,10-06-2022 11:40:07:230,-4.6803613,4.685147,6.6329045
3553576646115,10-06-2022 11:40:07:236,-4.5224347,4.072584,7.0899334
3553588123042,10-06-2022 11:40:07:248,-4.469793,3.5389848,7.5493555
3553595900751,10-06-2022 11:40:07:255,-4.426722,3.345166,7.7407813
3553606775959,10-06-2022 11:40:07:266,-4.342973,3.3906298,7.726424
3553621775959,10-06-2022 11:40:07:281,-4.3812585,3.696911,7.4129643
3553636775959,10-06-2022 11:40:07:296,-4.3645086,4.1850467,7.1784678
3553644661271,10-06-2022 11:40:07:304,-4.199404,4.321438,7.271788
3553653936532,10-06-2022 11:40:07:313,-4.0390844,4.0797625,7.6331043
3553657973823,10-06-2022 11:40:07:317,-3.912265,3.5988052,8.018349
3553671525803,10-06-2022 11:40:07:331,-3.790231,2.993421,8.30788
3553679666740,10-06-2022 11:40:07:339,-3.7160535,2.4215364,8.702696
3553685318771,10-06-2022 11:40:07:345,-3.6466618,1.9549361,9.131011
3553699886636,10-06-2022 11:40:07:359,-3.5724843,1.753939,9.427721
3553714886636,10-06-2022 11:40:07:374,-3.5389848,2.0602202,9.609575
3553729886636,10-06-2022 11:40:07:389,-3.694518,2.7397819,9.370294
3553744886636,10-06-2022 11:40:07:404,-3.7304106,3.5030923,9.200403
3553759886636,10-06-2022 11:40:07:419,-3.5389848,3.751946,9.439685
3553774886636,10-06-2022 11:40:07:434,-3.199204,3.4576287,9.717253
3553789886636,10-06-2022 11:40:07:449,-2.8929226,2.9455647,10.068997
3553804886636,10-06-2022 11:40:07:464,-2.751746,2.3521447,10.576276
3553805497886,10-06-2022 11:40:07:465,-2.7230322,1.8592232,10.913664
3553805547834,10-06-2022 11:40:07:465,-2.7637103,1.4811572,11.112268
