epoch,timestamp,x,y,z
4536875206261,10-06-2022 11:56:30:536,-2.3808584,2.5004997,9.23151
4536875690792,10-06-2022 11:56:30:536,-2.3521447,2.4717858,9.312865
4536890690792,10-06-2022 11:56:30:551,-2.333002,2.4789643,9.339187
4536905690792,10-06-2022 11:56:30:566,-2.3306093,2.5028925,9.332008
4536910719021,10-06-2022 11:56:30:571,-2.3258235,2.5603201,9.315259
4536911627563,10-06-2022 11:56:30:572,-2.3258235,2.5603201,9.30808
4536926627563,10-06-2022 11:56:30:587,-2.3425734,2.4837499,9.298509
4536941627563,10-06-2022 11:56:30:602,-2.3712873,2.3976083,9.224331
4536956627563,10-06-2022 11:56:30:617,-2.4071796,2.349752,9.178867
4536958647407,10-06-2022 11:56:30:619,-2.4215364,2.3377876,9.178867
4536958696938,10-06-2022 11:56:30:619,-2.4263222,2.3976083,9.267402
4536965842563,10-06-2022 11:56:30:626,-2.3832514,2.536392,9.437292
4536980842563,10-06-2022 11:56:30:641,-2.213361,2.6201408,9.6071825
4536991145375,10-06-2022 11:56:30:652,-2.0673988,2.7158537,9.645468
4537001661261,10-06-2022 11:56:30:662,-1.9860427,2.7756743,9.7196455
4537006267250,10-06-2022 11:56:30:667,-1.9740787,2.617748,9.848858
4537009148813,10-06-2022 11:56:30:670,-2.172683,2.1511476,9.74836
4537024148813,10-06-2022 11:56:30:685,-2.2037897,1.820938,10.064212
4537039148813,10-06-2022 11:56:30:700,-2.0434706,1.39023,10.04507
4537046379490,10-06-2022 11:56:30:707,-2.0171494,0.9954142,10.049855
4537048711157,10-06-2022 11:56:30:709,-1.9764715,0.71306115,10.097712
4537057999802,10-06-2022 11:56:30:718,-1.8927227,0.5479564,10.133604
4537072999802,10-06-2022 11:56:30:733,-1.8807586,0.485743,10.289138
4537087999802,10-06-2022 11:56:30:748,-2.0482562,0.6436693,10.140782
4537102999802,10-06-2022 11:56:30:763,-2.2229323,1.3351951,10.009177
4537117999802,10-06-2022 11:56:30:778,-2.4502504,1.8281165,10.028319
4537125977094,10-06-2022 11:56:30:786,-2.7613173,1.5720844,10.145568
4537126029021,10-06-2022 11:56:30:787,-2.8833513,0.8039884,10.124033
4537141029021,10-06-2022 11:56:30:802,-2.8809586,0.11485548,10.054641
4537147506730,10-06-2022 11:56:30:808,-2.9359934,-0.44506502,9.915857
4537162088813,10-06-2022 11:56:30:823,-3.1082766,-0.7322037,9.676575
4537162219750,10-06-2022 11:56:30:823,-3.1944182,-0.44985065,9.533006
4537177219750,10-06-2022 11:56:30:838,-3.2470603,0.34456646,9.329616
4537192219750,10-06-2022 11:56:30:853,-3.2015967,1.3998013,9.0233345
4537199591209,10-06-2022 11:56:30:860,-3.0029924,2.333002,8.800801
4537199649438,10-06-2022 11:56:30:860,-2.821138,3.0604203,8.606983
4537209090115,10-06-2022 11:56:30:870,-2.751746,3.548556,8.544769
4537224090115,10-06-2022 11:56:30:885,-2.7565317,3.8907297,8.5423765
4537230634542,10-06-2022 11:56:30:891,-2.7397819,4.091727,8.353344
4537245634542,10-06-2022 11:56:30:906,-2.6919255,4.182654,8.097312
4537260634542,10-06-2022 11:56:30:921,-2.603391,4.23051,7.9369926
4537272165011,10-06-2022 11:56:30:933,-2.5220351,4.290331,7.8029947
4537272213136,10-06-2022 11:56:30:933,-2.5220351,4.3669014,7.793423
4537286299490,10-06-2022 11:56:30:947,-2.5674987,4.4004006,7.836494
4537286443761,10-06-2022 11:56:30:947,-2.5124638,4.347759,7.7814593
4537301443761,10-06-2022 11:56:30:962,-2.4717858,4.2257247,7.676175
4537311612771,10-06-2022 11:56:30:972,-2.4335005,4.1587257,7.853244
4537323426938,10-06-2022 11:56:30:984,-2.5579274,4.1874394,7.7742805
4537328911990,10-06-2022 11:56:30:989,-2.536392,4.254439,7.578069
