epoch,timestamp,x,y,z
4555622593077,10-06-2022 11:56:49:283,-2.5028925,1.3830515,9.623933
4555637593077,10-06-2022 11:56:49:298,-2.6129622,0.6436693,9.769895
4555652593077,10-06-2022 11:56:49:313,-2.7158537,0.10049855,9.887143
4555667593077,10-06-2022 11:56:49:328,-2.8235307,-0.0071784677,9.678967
4555682593077,10-06-2022 11:56:49:343,-2.8642087,0.40917268,9.372686
4555697593077,10-06-2022 11:56:49:358,-2.8402805,0.9068798,9.08794
4555712593077,10-06-2022 11:56:49:373,-2.8115666,1.282553,8.920443
4555727593077,10-06-2022 11:56:49:388,-2.8259234,1.564906,8.82473
4555734120212,10-06-2022 11:56:49:395,-2.9455647,1.7898313,8.836694
4555735755837,10-06-2022 11:56:49:396,-3.0364919,1.8448663,9.0233345
4555737158493,10-06-2022 11:56:49:398,-2.9072795,1.4596218,9.379865
4555738528025,10-06-2022 11:56:49:399,-2.9096723,1.2658032,9.5760765
4555741686254,10-06-2022 11:56:49:402,-2.981457,1.2299109,9.662218
4555746954483,10-06-2022 11:56:49:407,-3.1633115,1.5074782,9.3511505
4555748778545,10-06-2022 11:56:49:409,-3.2709885,1.6319051,9.41815
4555759251566,10-06-2022 11:56:49:420,-3.3834512,1.1581261,9.590433
4555764236827,10-06-2022 11:56:49:425,-3.3714871,-0.4331009,10.021141
4555765773129,10-06-2022 11:56:49:426,-3.3020952,-1.0671989,10.021141
4555768660837,10-06-2022 11:56:49:429,-3.266203,-1.2921243,9.954143
4555770455316,10-06-2022 11:56:49:431,-3.0077782,0.9954142,9.389436
4555775540472,10-06-2022 11:56:49:436,-2.861816,1.7970098,9.131011
4555781033493,10-06-2022 11:56:49:442,-2.8115666,2.4382863,8.877372
4555796033493,10-06-2022 11:56:49:457,-2.8235307,2.7493532,8.606983
4555811033493,10-06-2022 11:56:49:472,-2.7828526,2.8666015,8.480164
4555823535264,10-06-2022 11:56:49:484,-2.8666015,3.1345978,8.82473
4555826205629,10-06-2022 11:56:49:487,-3.048456,2.8091738,9.485149
4555830705629,10-06-2022 11:56:49:491,-3.022135,2.6488547,9.803394
4555833306149,10-06-2022 11:56:49:494,-2.9312077,2.603391,9.860822
4555834642920,10-06-2022 11:56:49:495,-2.8139594,2.617748,9.741181
4555835995316,10-06-2022 11:56:49:496,-2.751746,2.5555346,9.51147
4555850995316,10-06-2022 11:56:49:511,-2.8115666,2.4047868,9.099904
4555862840941,10-06-2022 11:56:49:523,-2.8474588,2.2564318,9.037691
4555872206618,10-06-2022 11:56:49:533,-2.8522446,2.0171494,9.085547
4555882028649,10-06-2022 11:56:49:543,-2.8666015,1.7300107,9.145369
4555884904691,10-06-2022 11:56:49:545,-2.885744,1.4644074,9.23151
4555899904691,10-06-2022 11:56:49:560,-2.9718857,1.3447664,9.23151
4555914904691,10-06-2022 11:56:49:575,-3.0245278,1.6462619,9.260223
4555929853493,10-06-2022 11:56:49:590,-3.0053852,1.8424734,9.212367
4555929919795,10-06-2022 11:56:49:590,-3.0053852,2.0482562,9.176475
4555933996097,10-06-2022 11:56:49:594,-2.9790642,2.1798615,9.178867
4555934057712,10-06-2022 11:56:49:595,-2.9336007,2.251646,9.19801
4555939358910,10-06-2022 11:56:49:600,-2.861816,2.239682,9.274581
4555939437087,10-06-2022 11:56:49:600,-2.8187451,2.1559331,9.367901
4555939488649,10-06-2022 11:56:49:600,-2.861816,2.0745773,9.382257
4555943890785,10-06-2022 11:56:49:604,-2.9503503,2.0434706,9.35833
4555958890785,10-06-2022 11:56:49:619,-2.993421,2.0482562,9.2793665
4555973890785,10-06-2022 11:56:49:634,-2.955136,2.062613,9.145369
4555988890785,10-06-2022 11:56:49:649,-2.8929226,2.0985055,9.133404
4555993025160,10-06-2022 11:56:49:654,-2.8402805,2.0961127,9.202796
4555993077035,10-06-2022 11:56:49:654,-2.8187451,1.9980069,9.298509
4555993103024,10-06-2022 11:56:49:654,-2.8354948,1.8687944,9.339187
4555993126566,10-06-2022 11:56:49:654,-2.87378,1.7611175,9.346365
4556008126566,10-06-2022 11:56:49:669,-2.955136,1.7730815,9.334401
4556023126566,10-06-2022 11:56:49:684,-3.0125637,1.8137596,9.274581
4556038126566,10-06-2022 11:56:49:699,-3.0412776,1.9046868,9.212367
4556053126566,10-06-2022 11:56:49:714,-3.0197423,2.0195422,9.186047
4556068126566,10-06-2022 11:56:49:729,-2.9766715,2.0602202,9.183653
4556074389118,10-06-2022 11:56:49:735,-2.955136,2.1272194,9.190832
4556074412608,10-06-2022 11:56:49:735,-2.9120653,2.1104696,9.217153
4556086662347,10-06-2022 11:56:49:747,-2.8522446,1.9573289,9.298509
4556086742243,10-06-2022 11:56:49:747,-2.804388,1.7994026,9.363115
4556086793649,10-06-2022 11:56:49:747,-2.8713872,1.7371893,9.375079
4556086839847,10-06-2022 11:56:49:747,-2.9312077,1.7874385,9.372686
4556086886983,10-06-2022 11:56:49:747,-2.9790642,1.8568304,9.346365
4556095530524,10-06-2022 11:56:49:756,-2.9742785,1.942972,9.293723
4556096518597,10-06-2022 11:56:49:757,-2.9575288,2.0673988,9.221938
4556097358285,10-06-2022 11:56:49:758,-2.9240294,2.1655045,9.169296
4556098180681,10-06-2022 11:56:49:759,-2.9048867,2.1655045,9.128618
4556098993233,10-06-2022 11:56:49:759,-2.8833513,2.1870399,9.116654
4556100959639,10-06-2022 11:56:49:761,-2.8785655,2.1487548,9.150154
4556102177816,10-06-2022 11:56:49:763,-2.900101,2.0889342,9.221938
4556103193337,10-06-2022 11:56:49:764,-2.8881369,1.9908284,9.336794
4556104179274,10-06-2022 11:56:49:765,-2.8929226,1.9166509,9.4229355
4556105145837,10-06-2022 11:56:49:766,-2.955136,1.8711873,9.442079
4556106278754,10-06-2022 11:56:49:767,-2.9886355,1.9118652,9.396614
4556121278754,10-06-2022 11:56:49:782,-3.0029924,1.9764715,9.312865
4556136278754,10-06-2022 11:56:49:797,-3.010171,1.9860427,9.205189
4556151278754,10-06-2022 11:56:49:812,-2.9575288,1.995614,9.164511
4556157969743,10-06-2022 11:56:49:818,-2.914458,2.0171494,9.1669035
4556170332868,10-06-2022 11:56:49:831,-2.9312077,2.0315065,9.138189
4556185332868,10-06-2022 11:56:49:846,-2.9383862,1.9405792,9.123833
4556200332868,10-06-2022 11:56:49:861,-2.9048867,1.9597218,9.217153
4556206153597,10-06-2022 11:56:49:867,-2.9575288,2.0291135,9.281759
4556210054899,10-06-2022 11:56:49:871,-2.981457,1.9716859,9.300901
4556212792295,10-06-2022 11:56:49:873,-2.9862428,1.942972,9.322437
4556220229899,10-06-2022 11:56:49:881,-2.9599216,1.8520447,9.389436
4556232175576,10-06-2022 11:56:49:893,-2.955136,1.7826529,9.375079
4556238243962,10-06-2022 11:56:49:899,-2.9623144,1.7730815,9.35833
4556247199066,10-06-2022 11:56:49:908,-2.9359934,1.7874385,9.339187
4556250060628,10-06-2022 11:56:49:911,-2.9216363,1.8017955,9.322437
4556255216566,10-06-2022 11:56:49:916,-2.914458,1.7994026,9.284152
4556260698181,10-06-2022 11:56:49:921,-2.9431717,1.8185452,9.190832
4556275698181,10-06-2022 11:56:49:936,-2.928815,1.8855443,9.219545
4556288168076,10-06-2022 11:56:49:949,-2.9048867,1.98365,9.226724
4556297278128,10-06-2022 11:56:49:958,-2.9240294,2.1104696,9.209974
4556310653753,10-06-2022 11:56:49:971,-2.955136,2.160719,9.178867
4556317573545,10-06-2022 11:56:49:978,-2.9647074,2.1367905,9.138189
4556332573545,10-06-2022 11:56:49:993,-2.9647074,2.1343977,9.212367
4556347573545,10-06-2022 11:56:50:008,-2.9671001,2.1415763,9.272188
4556362573545,10-06-2022 11:56:50:023,-2.940779,2.0171494,9.38465
4556370805889,10-06-2022 11:56:50:031,-2.900101,1.8041883,9.449257
4556385805889,10-06-2022 11:56:50:046,-2.902494,1.6223338,9.492328
4556397515108,10-06-2022 11:56:50:058,-2.9575288,1.4859428,9.430114
4556412515108,10-06-2022 11:56:50:073,-3.048456,1.4931214,9.250652
4556425579274,10-06-2022 11:56:50:086,-3.0532417,1.6342978,9.269794
4556440579274,10-06-2022 11:56:50:101,-3.0436704,1.7682959,9.18126
