epoch,timestamp,x,y,z
2795112879529,13-06-2022 10:44:17:084,0.007326667,0.0,-0.0036633336
2795127879529,13-06-2022 10:44:17:099,0.009768889,-0.0012211112,-0.0024422223
2795138874216,13-06-2022 10:44:17:110,0.014653334,-0.0024422223,-0.007326667
2795152288175,13-06-2022 10:44:17:124,0.012211111,-0.0061055557,-0.008547778
2795161605466,13-06-2022 10:44:17:133,0.008547778,-0.008547778,-0.01099
2795169468435,13-06-2022 10:44:17:141,0.007326667,-0.0036633336,-0.009768889
2795173487289,13-06-2022 10:44:17:145,0.0048844446,0.0012211112,-0.0061055557
2795174321196,13-06-2022 10:44:17:146,-0.0036633336,0.0012211112,-0.0061055557
2795175129477,13-06-2022 10:44:17:147,-0.0024422223,0.0048844446,-0.0012211112
2795175930779,13-06-2022 10:44:17:147,-0.0048844446,0.0061055557,-0.012211111
2795176695883,13-06-2022 10:44:17:148,-0.0036633336,0.0036633336,-0.012211111
2795177434268,13-06-2022 10:44:17:149,-0.0024422223,0.0048844446,-0.0061055557
2795178184321,13-06-2022 10:44:17:150,-0.0012211112,0.0012211112,-0.008547778
2795179197133,13-06-2022 10:44:17:151,0.0024422223,0.0012211112,-0.008547778
2795194197133,13-06-2022 10:44:17:166,-0.0012211112,0.0012211112,-0.01099
2795207086248,13-06-2022 10:44:17:179,-0.0061055557,0.0036633336,-0.012211111
2795213342029,13-06-2022 10:44:17:185,-0.012211111,0.007326667,-0.007326667
2795228342029,13-06-2022 10:44:17:200,-0.009768889,0.0036633336,-0.008547778
2795243342029,13-06-2022 10:44:17:215,-0.019537779,-0.0024422223,-0.008547778
2795255727237,13-06-2022 10:44:17:227,-0.024422223,-0.0048844446,-0.0024422223
2795256621508,13-06-2022 10:44:17:228,-0.036633335,-0.014653334,0.008547778
2795265353331,13-06-2022 10:44:17:237,-0.05372889,-0.024422223,0.014653334
2795266080831,13-06-2022 10:44:17:238,-0.07204556,-0.04151778,0.03052778
2795266732289,13-06-2022 10:44:17:238,-0.10135223,-0.06105556,0.06349778
2795267200727,13-06-2022 10:44:17:239,-0.14042778,-0.08669889,0.12089001
2795267639998,13-06-2022 10:44:17:239,-0.17706113,-0.11356334,0.19782001
2795268088956,13-06-2022 10:44:17:240,-0.21247335,-0.14042778,0.28574002
2795283088956,13-06-2022 10:44:17:255,-0.23567446,-0.16485001,0.41029334
2795298088956,13-06-2022 10:44:17:270,-0.2613178,-0.17584,0.5910178
2795300964373,13-06-2022 10:44:17:272,-0.24300112,-0.15141778,0.8169234
2795315964373,13-06-2022 10:44:17:287,-0.16362889,-0.10379445,1.0306178
2795330964373,13-06-2022 10:44:17:302,-0.03174889,-0.037854444,1.2333223
2795345964373,13-06-2022 10:44:17:317,0.20026223,0.03174889,1.3737501
2795356588227,13-06-2022 10:44:17:328,0.5250778,0.11356334,1.504409
2795356644164,13-06-2022 10:44:17:328,0.8266923,0.21247335,1.6533846
2795356693748,13-06-2022 10:44:17:328,1.0159645,0.31993112,1.7547368
2795365581716,13-06-2022 10:44:17:337,1.064809,0.41273558,1.7864857
2795380581716,13-06-2022 10:44:17:352,0.96956223,0.49699223,1.8255612
2795389408279,13-06-2022 10:44:17:361,0.74121445,0.5971234,1.8658578
2795401519685,13-06-2022 10:44:17:373,0.37732336,0.7021389,1.8878379
2795416519685,13-06-2022 10:44:17:388,-0.09646778,0.78761667,1.8658578
2795431519685,13-06-2022 10:44:17:403,-0.6288723,0.83768225,1.8280034
2795436121404,13-06-2022 10:44:17:408,-1.1905833,0.8523356,1.790149
2795436178070,13-06-2022 10:44:17:408,-1.7400835,0.8364611,1.7718323
2795451178070,13-06-2022 10:44:17:423,-2.2334123,0.7973856,1.7803801
2795466178070,13-06-2022 10:44:17:438,-2.6131778,0.72411895,1.779159
2795481178070,13-06-2022 10:44:17:453,-2.8354201,0.6459678,1.7425256
2795496178070,13-06-2022 10:44:17:468,-2.8280935,0.56171113,1.691239
2795511178070,13-06-2022 10:44:17:483,-2.6229467,0.47867557,1.6289623
2795526178070,13-06-2022 10:44:17:498,-2.2859201,0.39564002,1.5788968
2795537919685,13-06-2022 10:44:17:509,-1.9085968,0.33336335,1.5251678
2795537967237,13-06-2022 10:44:17:509,-1.5117356,0.29917222,1.4555645
2795538007758,13-06-2022 10:44:17:510,-1.1038845,0.29917222,1.3432223
2795553007758,13-06-2022 10:44:17:525,-0.74732006,0.3174889,1.2687345
2795556686925,13-06-2022 10:44:17:528,-0.44204223,0.38465002,1.24187
2795567232914,13-06-2022 10:44:17:539,-0.14897557,0.4701278,1.2113422
2795582232914,13-06-2022 10:44:17:554,0.16362889,0.5653745,1.1502867
2795597232914,13-06-2022 10:44:17:569,0.52019334,0.65329444,1.0635878
2795612232914,13-06-2022 10:44:17:584,0.92193896,0.73633003,0.9952056
2795627232914,13-06-2022 10:44:17:599,1.3358957,0.82791334,0.95735115
2795641707810,13-06-2022 10:44:17:613,1.7693901,0.9182756,0.92316
2795644555779,13-06-2022 10:44:17:616,2.1918945,1.0147433,0.8523356
2795659555779,13-06-2022 10:44:17:631,2.5631123,1.0965579,0.74121445
2795674555779,13-06-2022 10:44:17:646,2.856179,1.1478444,0.61299783
2795684284164,13-06-2022 10:44:17:656,3.0259135,1.1795933,0.45059
2795684756404,13-06-2022 10:44:17:656,3.0246923,1.1966889,0.27963445
2795691490935,13-06-2022 10:44:17:663,2.8354201,1.2113422,0.11478445
2795706130466,13-06-2022 10:44:17:678,2.481298,1.2394278,0.009768889
2795706277810,13-06-2022 10:44:17:678,2.0026224,1.2333223,-0.058613338
2795706352133,13-06-2022 10:44:17:678,1.5459267,1.2259957,-0.109900005
2795706398070,13-06-2022 10:44:17:678,1.2125634,1.2443123,-0.1526389
2795721398070,13-06-2022 10:44:17:693,0.98055226,1.2772822,-0.21003112
2795736398070,13-06-2022 10:44:17:708,0.7888378,1.32979,-0.25887558
2795751398070,13-06-2022 10:44:17:723,0.6386411,1.3896245,-0.28329778
2795766398070,13-06-2022 10:44:17:738,0.5678167,1.4433534,-0.28940335
2795781398070,13-06-2022 10:44:17:753,0.54095227,1.4787656,-0.24178001
2795796398070,13-06-2022 10:44:17:768,0.5140878,1.4970822,-0.18072446
2795800265310,13-06-2022 10:44:17:772,0.47745445,1.5068512,-0.15019667
2795812710779,13-06-2022 10:44:17:784,0.4798967,1.5117356,-0.16485001
2795821234320,13-06-2022 10:44:17:793,0.52752,1.4775445,-0.18194556
2795836234320,13-06-2022 10:44:17:808,0.5702589,1.4177101,-0.16362889
2795851234320,13-06-2022 10:44:17:823,0.5922389,1.3786345,-0.16118668
2795866234320,13-06-2022 10:44:17:838,0.58613336,1.32979,-0.17828223
2795872932289,13-06-2022 10:44:17:844,0.56171113,1.2553023,-0.17339778
2795872992133,13-06-2022 10:44:17:844,0.5140878,1.1698245,-0.17217667
2795873038383,13-06-2022 10:44:17:845,0.44326335,1.0953367,-0.17339778
2795873088852,13-06-2022 10:44:17:845,0.3614489,1.0342811,-0.14653334
2795883738539,13-06-2022 10:44:17:855,0.30283555,0.97933114,-0.11478445
2795898738539,13-06-2022 10:44:17:870,0.30405667,0.9194967,-0.14653334
2795905680466,13-06-2022 10:44:17:877,0.33458444,0.89385337,-0.19537778
