epoch,timestamp,x,y,z
2114280606300,13-06-2022 10:32:56:253,-0.63131446,0.042738892,0.32481557
2114288820466,13-06-2022 10:32:56:261,-0.68260115,0.085477784,0.3382478
2114288892133,13-06-2022 10:32:56:261,-0.7448778,0.14775445,0.3809867
2114300021925,13-06-2022 10:32:56:273,-0.8181445,0.22102112,0.45425335
2114315021925,13-06-2022 10:32:56:288,-0.8743156,0.30772,0.5153089
2114315491612,13-06-2022 10:32:56:288,-0.9060645,0.37732336,0.57636446
2114327121768,13-06-2022 10:32:56:300,-0.9646778,0.4371578,0.6618422
2114342121768,13-06-2022 10:32:56:315,-1.0806834,0.50798225,0.79616445
2114357121768,13-06-2022 10:32:56:330,-1.2357645,0.6288723,0.9329289
2114372121768,13-06-2022 10:32:56:345,-1.4018356,0.78029,1.0709145
2114387121768,13-06-2022 10:32:56:360,-1.570349,0.9194967,1.1918045
2114402121768,13-06-2022 10:32:56:375,-1.6997868,1.0184067,1.3249056
2114417121768,13-06-2022 10:32:56:390,-1.7669479,1.0843467,1.4457957
2114432121768,13-06-2022 10:32:56:405,-1.7632846,1.1612767,1.56058
2114447121768,13-06-2022 10:32:56:420,-1.6778067,1.2455333,1.6533846
2114462121768,13-06-2022 10:32:56:435,-1.4958612,1.3114734,1.72543
2114477121768,13-06-2022 10:32:56:450,-1.2357645,1.3322322,1.7999178
2114489947445,13-06-2022 10:32:56:462,-0.9378134,1.3004833,1.8536468
2114504947445,13-06-2022 10:32:56:477,-0.6056711,1.2284378,1.8805112
2114514760050,13-06-2022 10:32:56:487,-0.22590557,1.1490656,1.8866167
2114529760050,13-06-2022 10:32:56:502,0.1526389,1.1002212,1.9256923
2114544760050,13-06-2022 10:32:56:517,0.5287411,1.1136534,2.0136123
2114559760050,13-06-2022 10:32:56:532,0.86943114,1.1893623,2.1039746
2114574760050,13-06-2022 10:32:56:547,1.1258645,1.2687345,2.1491556
2114589760050,13-06-2022 10:32:56:562,1.2247745,1.34078,2.1479344
2114604760050,13-06-2022 10:32:56:577,1.1563922,1.4225945,2.1503768
2114617329372,13-06-2022 10:32:56:590,0.9878789,1.5276101,2.2212012
2114627679737,13-06-2022 10:32:56:600,0.86576784,1.6240778,2.3262167
2114631484789,13-06-2022 10:32:56:604,0.93537116,1.6961234,2.4348958
2114642588747,13-06-2022 10:32:56:615,1.1661612,1.7486312,2.536248
2114657588747,13-06-2022 10:32:56:630,1.416489,1.7803801,2.5570068
2114665997654,13-06-2022 10:32:56:638,1.5495901,1.8255612,2.5008357
2114669492029,13-06-2022 10:32:56:642,1.4958612,1.8841745,2.4251268
2114672611352,13-06-2022 10:32:56:645,1.2528601,1.9647678,2.3860512
2114687611352,13-06-2022 10:32:56:660,0.8975167,2.031929,2.42879
2114702611352,13-06-2022 10:32:56:675,0.53973114,2.0929844,2.4983935
2114717611352,13-06-2022 10:32:56:690,0.2955089,2.1454923,2.5399113
2114728819164,13-06-2022 10:32:56:701,0.17950334,2.1723568,2.5313635
2114743819164,13-06-2022 10:32:56:716,0.14897557,2.1674724,2.493509
2114758819164,13-06-2022 10:32:56:731,0.15996556,2.1467135,2.4507701
2114773819164,13-06-2022 10:32:56:746,0.21247335,2.1247334,2.426348
2114780708174,13-06-2022 10:32:56:753,0.28329778,2.09909,2.4007046
2114795108487,13-06-2022 10:32:56:768,0.37366003,2.0722256,2.3689556
2114797877393,13-06-2022 10:32:56:770,0.5092034,2.0392556,2.3347645
2114805151560,13-06-2022 10:32:56:778,0.6386411,1.9855268,2.294468
2114808219633,13-06-2022 10:32:56:781,0.7338878,1.9391245,2.2273068
2114823219633,13-06-2022 10:32:56:796,0.7937223,1.8915012,2.13206
2114838219633,13-06-2022 10:32:56:811,0.80471224,1.8414357,2.0392556
2114853219633,13-06-2022 10:32:56:826,0.77906895,1.7828223,1.96721
2114868219633,13-06-2022 10:32:56:841,0.6972545,1.7046711,1.91226
2114883219633,13-06-2022 10:32:56:856,0.58613336,1.6240778,1.8707423
2114898219633,13-06-2022 10:32:56:871,0.45059,1.5618012,1.8072445
2114913219633,13-06-2022 10:32:56:886,0.3614489,1.4958612,1.7437468
2114928219633,13-06-2022 10:32:56:901,0.32481557,1.4311423,1.680249
2114943219633,13-06-2022 10:32:56:916,0.30039334,1.3761923,1.61553
2114958219633,13-06-2022 10:32:56:931,0.29673,1.3249056,1.5373789
2114973219633,13-06-2022 10:32:56:946,0.33458444,1.2662922,1.4592278
2114988219633,13-06-2022 10:32:56:961,0.36755446,1.2089001,1.3786345
2115003219633,13-06-2022 10:32:56:976,0.3724389,1.1539501,1.3139156
2115018219633,13-06-2022 10:32:56:991,0.33214223,1.0928944,1.2443123
2115033219633,13-06-2022 10:32:57:006,0.29795113,1.0269545,1.1698245
2115048219633,13-06-2022 10:32:57:021,0.24788557,0.96223557,1.0819045
2115063219633,13-06-2022 10:32:57:036,0.14897557,0.91461223,1.0013112
2115078219633,13-06-2022 10:32:57:051,0.017095556,0.86576784,0.91094893
2115093219633,13-06-2022 10:32:57:066,-0.09280445,0.80227005,0.81936556
2115108219633,13-06-2022 10:32:57:081,-0.12821667,0.7351089,0.7436567
2115123219633,13-06-2022 10:32:57:096,-0.11356334,0.67283225,0.67161113
2115138219633,13-06-2022 10:32:57:111,-0.042738892,0.6191034,0.59834445
2115153219633,13-06-2022 10:32:57:126,0.034191113,0.5678167,0.52141446
2115168219633,13-06-2022 10:32:57:141,0.091583334,0.51164556,0.45791668
2115183219633,13-06-2022 10:32:57:156,0.11356334,0.45791668,0.41273558
2115198219633,13-06-2022 10:32:57:171,0.08303556,0.40663,0.34679556
2115213219633,13-06-2022 10:32:57:186,0.036633335,0.35900667,0.2845189
2115228219633,13-06-2022 10:32:57:201,-0.029306669,0.31382558,0.20636779
2115243219633,13-06-2022 10:32:57:216,-0.09646778,0.26986557,0.14409111
2115258219633,13-06-2022 10:32:57:231,-0.14287001,0.22712667,0.09768889
2115273219633,13-06-2022 10:32:57:246,-0.13554333,0.19904111,0.068382226
2115288219633,13-06-2022 10:32:57:261,-0.09524667,0.17950334,0.03297
2115303219633,13-06-2022 10:32:57:276,-0.07693,0.15630223,0.0024422223
2115318219633,13-06-2022 10:32:57:291,-0.064718895,0.12699556,-0.029306669
2115333219633,13-06-2022 10:32:57:306,-0.05372889,0.089141116,-0.05617111
2115348219633,13-06-2022 10:32:57:321,-0.05006556,0.05006556,-0.09402556
2115363219633,13-06-2022 10:32:57:336,-0.07448778,0.028085556,-0.14164889
2115378219633,13-06-2022 10:32:57:351,-0.12089001,0.019537779,-0.15752333
2115393219633,13-06-2022 10:32:57:366,-0.17828223,0.012211111,-0.1526389
2115408219633,13-06-2022 10:32:57:381,-0.2075889,0.009768889,-0.1526389
2115423219633,13-06-2022 10:32:57:396,-0.19415668,0.009768889,-0.16851334
2115438219633,13-06-2022 10:32:57:411,-0.15874445,0.023201112,-0.18805112
2115453219633,13-06-2022 10:32:57:426,-0.11478445,0.02075889,-0.20636779
2115468219633,13-06-2022 10:32:57:441,-0.09036223,0.008547778,-0.22468445
2115483219633,13-06-2022 10:32:57:456,-0.06105556,-0.0061055557,-0.23323223
2115497856455,13-06-2022 10:32:57:470,-0.036633335,-0.017095556,-0.2503278
2115501948382,13-06-2022 10:32:57:474,-0.034191113,-0.012211111,-0.26742333
2115508576716,13-06-2022 10:32:57:481,-0.064718895,-0.0024422223,-0.27719223
2115523576716,13-06-2022 10:32:57:496,-0.11112112,0.0012211112,-0.2735289
2115526516507,13-06-2022 10:32:57:499,-0.15386,-0.007326667,-0.28329778
2115530840153,13-06-2022 10:32:57:503,-0.17706113,-0.026864445,-0.31016225
2115533158487,13-06-2022 10:32:57:506,-0.17339778,-0.047623336,-0.3492378
2115534879320,13-06-2022 10:32:57:507,-0.15508112,-0.06227667,-0.38220778
2115537040830,13-06-2022 10:32:57:510,-0.13188,-0.06960334,-0.39564002
2115539021664,13-06-2022 10:32:57:512,-0.10501556,-0.06594,-0.40663
2115540777497,13-06-2022 10:32:57:513,-0.089141116,-0.06960334,-0.44326335
2115542839632,13-06-2022 10:32:57:515,-0.07570889,-0.07937223,-0.4689067
2115544423591,13-06-2022 10:32:57:517,-0.07204556,-0.102573335,-0.5153089
2115546013903,13-06-2022 10:32:57:519,-0.068382226,-0.13554333,-0.57514334
2115550435466,13-06-2022 10:32:57:523,-0.07448778,-0.15630223,-0.6423045
2115552228955,13-06-2022 10:32:57:525,-0.08792,-0.18072446,-0.70580226
2115556247653,13-06-2022 10:32:57:529,-0.098910004,-0.23079,-0.7766267
2115558301924,13-06-2022 10:32:57:531,-0.10867889,-0.28940335,-0.8621045
2115560187810,13-06-2022 10:32:57:533,-0.106236674,-0.35168,-0.96223557
2115561851039,13-06-2022 10:32:57:534,-0.11356334,-0.4163989,-1.0892311
2115570399737,13-06-2022 10:32:57:543,-0.11234222,-0.48722336,-1.1991311
2115576031612,13-06-2022 10:32:57:549,-0.10013112,-0.5592689,-1.3041468
2115577959632,13-06-2022 10:32:57:550,-0.09036223,-0.63742,-1.4177101
2115581068955,13-06-2022 10:32:57:554,-0.07570889,-0.71923447,-1.5495901
2115585207653,13-06-2022 10:32:57:558,-0.07204556,-0.7973856,-1.6936811
2115586957601,13-06-2022 10:32:57:559,-0.07570889,-0.88042116,-1.8280034
2115588576039,13-06-2022 10:32:57:561,-0.091583334,-0.9720045,-1.9574412
2115590289580,13-06-2022 10:32:57:563,-0.12211112,-1.064809,-2.0929844
2115592086872,13-06-2022 10:32:57:565,-0.17095557,-1.1588345,-2.2578344
2115594634997,13-06-2022 10:32:57:567,-0.21247335,-1.2455333,-2.4239056
2115596536924,13-06-2022 10:32:57:569,-0.23201112,-1.3188001,-2.5667756
