epoch,timestamp,x,y,z
5929619524745,13-06-2022 11:36:31:592,1.1653047,-0.41156548,8.848659
5929620739068,13-06-2022 11:36:31:593,1.2059826,-0.42592242,8.930014
5929628303443,13-06-2022 11:36:31:601,1.2442678,-0.46660042,9.06162
5929642030683,13-06-2022 11:36:31:615,1.3016955,-0.5455636,9.193225
5929657030683,13-06-2022 11:36:31:630,1.3471591,-0.634098,9.327223
5929661805943,13-06-2022 11:36:31:634,1.3686945,-0.6771688,9.41815
5929676805943,13-06-2022 11:36:31:649,1.3423735,-0.7609176,9.537791
5929691805943,13-06-2022 11:36:31:664,1.3136597,-0.8279166,9.58804
5929706805943,13-06-2022 11:36:31:679,1.2873386,-0.8709874,9.662218
5929721805943,13-06-2022 11:36:31:694,1.2610176,-0.85184485,9.674182
5929730142089,13-06-2022 11:36:31:703,1.1844472,-0.8350951,9.700503
5929730187350,13-06-2022 11:36:31:703,1.0743774,-0.8327023,9.690931
5929735917454,13-06-2022 11:36:31:708,1.0097711,-0.9092726,9.659825
5929750917454,13-06-2022 11:36:31:723,1.0097711,-1.0313065,9.5353985
5929762742610,13-06-2022 11:36:31:735,1.0408778,-1.1078769,9.41815
5929777742610,13-06-2022 11:36:31:750,1.0504491,-1.2658032,9.296116
5929783312245,13-06-2022 11:36:31:756,1.1006985,-1.3974084,9.226724
5929791803079,13-06-2022 11:36:31:764,1.1174482,-1.4859428,9.152547
5929795049277,13-06-2022 11:36:31:768,1.1700903,-1.6103697,9.111869
5929800504172,13-06-2022 11:36:31:773,1.2514462,-1.7635103,9.080762
5929815504172,13-06-2022 11:36:31:788,1.3615161,-1.9142581,9.085547
5929823509120,13-06-2022 11:36:31:796,1.5074782,-2.0434706,9.193225
5929829766777,13-06-2022 11:36:31:802,1.6342978,-2.0841484,9.193225
5929842351099,13-06-2022 11:36:31:815,1.6773686,-2.132005,9.183653
5929857351099,13-06-2022 11:36:31:830,1.6510476,-2.2205393,9.159725
5929869543599,13-06-2022 11:36:31:842,1.6295122,-2.1296122,9.075976
5929875600735,13-06-2022 11:36:31:848,1.6366907,-2.0482562,9.052048
5929890600735,13-06-2022 11:36:31:863,1.6486548,-1.9286151,9.078369
5929905600735,13-06-2022 11:36:31:878,1.7036897,-1.8424734,9.119047
5929907397245,13-06-2022 11:36:31:880,1.7682959,-1.7874385,9.133404
5929907444745,13-06-2022 11:36:31:880,1.7994026,-1.6630118,9.0951185
5929922444745,13-06-2022 11:36:31:895,1.8568304,-1.6654046,9.135797
5929937444745,13-06-2022 11:36:31:910,1.9046868,-1.7635103,9.159725
5929952444745,13-06-2022 11:36:31:925,1.942972,-1.9286151,9.3511505
5929953984797,13-06-2022 11:36:31:926,2.0027926,-1.9477576,9.578469
5929968425058,13-06-2022 11:36:31:941,2.1296122,-1.8975084,9.745967
5929973488027,13-06-2022 11:36:31:946,2.3162522,-1.7898313,10.191031
5929981465891,13-06-2022 11:36:31:954,2.5052853,-1.3519448,10.581061
5929996465891,13-06-2022 11:36:31:969,2.428715,-0.17228323,10.370493
5930011465891,13-06-2022 11:36:31:984,2.4454648,-0.2009971,10.870593
5930018025631,13-06-2022 11:36:31:991,2.6536403,-0.7609176,10.779666
5930018071516,13-06-2022 11:36:31:991,2.6656044,-0.5694918,10.423136
5930027667245,13-06-2022 11:36:32:000,2.376073,-0.21296121,10.171889
5930042667245,13-06-2022 11:36:32:015,2.0841484,-0.2440679,9.949356
5930057667245,13-06-2022 11:36:32:030,2.2971098,-0.2943172,10.34178
5930067909849,13-06-2022 11:36:32:040,2.7493532,-0.2847459,10.2317095
5930067976568,13-06-2022 11:36:32:040,2.2779672,-1.5864414,8.85823
5930082976568,13-06-2022 11:36:32:055,1.2323036,-2.1080768,8.070991
5930088314381,13-06-2022 11:36:32:061,0.5694918,-1.2753744,7.487142
5930100451308,13-06-2022 11:36:32:073,0.7920243,-0.15553348,7.769495
5930115451308,13-06-2022 11:36:32:088,1.4524434,0.09571291,8.398808
5930119341308,13-06-2022 11:36:32:092,1.8424734,-0.3278167,9.008977
5930134341308,13-06-2022 11:36:32:107,2.0027926,-0.5240282,9.537791
5930149341308,13-06-2022 11:36:32:122,2.1176481,-0.26081768,10.07139
5930164341308,13-06-2022 11:36:32:137,2.37368,0.04546363,10.325029
5930169273235,13-06-2022 11:36:32:142,2.656033,0.2009971,10.597812
5930169319485,13-06-2022 11:36:32:142,2.9958138,0.39960137,10.755738
5930171884485,13-06-2022 11:36:32:144,3.3284163,0.42592242,10.978271
5930186884485,13-06-2022 11:36:32:159,3.6658044,0.3397808,11.222338
5930201884485,13-06-2022 11:36:32:174,3.9840498,0.31345975,11.339586
5930216884485,13-06-2022 11:36:32:189,4.15394,0.23688944,11.172089
5930231884485,13-06-2022 11:36:32:204,4.132405,0.062213387,10.810773
5930246884485,13-06-2022 11:36:32:219,4.0007997,0.0023928226,10.18146
