epoch,timestamp,x,y,z
6368016079785,13-06-2022 11:43:49:989,1.4093726,0.3493521,9.815358
6368031079785,13-06-2022 11:43:50:004,1.3950156,0.37328035,9.870394
6368046079785,13-06-2022 11:43:50:019,1.3974084,0.37328035,9.839287
6368061079785,13-06-2022 11:43:50:034,1.4141582,0.38524446,9.84168
6368076079785,13-06-2022 11:43:50:049,1.3950156,0.33260235,9.822537
6368091079785,13-06-2022 11:43:50:064,1.402194,0.3493521,9.77468
6368106079785,13-06-2022 11:43:50:079,1.3854443,0.3684947,9.781859
6368121079785,13-06-2022 11:43:50:094,1.3734802,0.41874397,9.767502
6368136079785,13-06-2022 11:43:50:109,1.3782659,0.4642076,9.753145
6368151079785,13-06-2022 11:43:50:124,1.3998013,0.47377887,9.734002
6368166079785,13-06-2022 11:43:50:139,1.39023,0.5168497,9.741181
6368181079785,13-06-2022 11:43:50:154,1.3710874,0.5240282,9.707682
6368194281191,13-06-2022 11:43:50:167,1.3806586,0.5623133,9.722038
6368209281191,13-06-2022 11:43:50:182,1.3926228,0.552742,9.745967
6368224281191,13-06-2022 11:43:50:197,1.3495519,0.54317075,9.736395
6368239281191,13-06-2022 11:43:50:212,1.3304094,0.53599226,9.717253
6368253682128,13-06-2022 11:43:50:226,1.3615161,0.526421,9.686146
6368268682128,13-06-2022 11:43:50:241,1.3543376,0.4953143,9.659825
6368279175201,13-06-2022 11:43:50:252,1.3328022,0.44745782,9.65504
6368289204316,13-06-2022 11:43:50:262,1.3328022,0.4642076,9.698111
6368303110149,13-06-2022 11:43:50:276,1.3782659,0.46660042,9.712467
6368306418639,13-06-2022 11:43:50:279,1.3710874,0.45942193,9.738789
6368318576399,13-06-2022 11:43:50:291,1.3615161,0.48095736,9.705289
6368324420201,13-06-2022 11:43:50:297,1.3232309,0.5096712,9.667004
6368330989576,13-06-2022 11:43:50:303,1.3304094,0.5312066,9.669396
6368345989576,13-06-2022 11:43:50:318,1.3519448,0.53359944,9.678967
6368360989576,13-06-2022 11:43:50:333,1.3686945,0.526421,9.650253
6368366116868,13-06-2022 11:43:50:339,1.3663018,0.5288138,9.616755
6368375206451,13-06-2022 11:43:50:348,1.3806586,0.51206404,9.564112
6368378689524,13-06-2022 11:43:50:351,1.3591232,0.5479564,9.501899
6368381711087,13-06-2022 11:43:50:354,1.3136597,0.5910272,9.466006
6368389773483,13-06-2022 11:43:50:362,1.2849457,0.62452674,9.399008
6368393739941,13-06-2022 11:43:50:366,1.2729816,0.61734825,9.348758
