epoch,timestamp,x,y,z
6474121322140,13-06-2022 11:45:36:094,1.1365907,-0.31345975,9.236296
6474129074901,13-06-2022 11:45:36:102,1.1294123,-0.39481574,9.109476
6474144074901,13-06-2022 11:45:36:117,1.1318051,-0.5240282,9.037691
6474159074901,13-06-2022 11:45:36:132,1.1246266,-0.6771688,8.7984085
6474174074901,13-06-2022 11:45:36:147,1.2394822,-0.8542377,9.01137
6474189074901,13-06-2022 11:45:36:162,1.375873,-1.1892328,9.169296
6474204074901,13-06-2022 11:45:36:177,1.5696917,-1.5146568,9.54497
6474212405005,13-06-2022 11:45:36:185,1.7395821,-1.6749759,9.82493
6474212456619,13-06-2022 11:45:36:185,1.7850457,-1.672583,10.030712
6474212501046,13-06-2022 11:45:36:185,1.672583,-1.6462619,10.135997
6474227501046,13-06-2022 11:45:36:200,1.4811572,-1.550549,10.100104
6474242501046,13-06-2022 11:45:36:215,1.3663018,-1.3447664,10.100104
6474250819276,13-06-2022 11:45:36:223,1.2849457,-1.160519,10.001999
6474250866359,13-06-2022 11:45:36:223,1.2993027,-1.0313065,9.9038925
6474265866359,13-06-2022 11:45:36:238,1.3256238,-0.90448695,9.820144
6474280082557,13-06-2022 11:45:36:253,1.3328022,-0.7680961,9.750752
6474280133078,13-06-2022 11:45:36:253,1.3519448,-0.5910272,9.580862
6474290875786,13-06-2022 11:45:36:263,1.3686945,-0.46899325,9.466006
6474297165421,13-06-2022 11:45:36:270,1.3806586,-0.5024927,9.260223
6474306247036,13-06-2022 11:45:36:279,1.3854443,-0.54317075,9.047262
6474321247036,13-06-2022 11:45:36:294,1.3519448,-0.56470615,8.872586
6474329884276,13-06-2022 11:45:36:302,1.2873386,-0.60059845,8.817552
6474340851046,13-06-2022 11:45:36:313,1.2969099,-0.6197411,8.863015
6474355851046,13-06-2022 11:45:36:328,1.3351951,-0.55034924,8.944371
6474369932713,13-06-2022 11:45:36:342,1.4069797,-0.45942193,9.044869
6474379014692,13-06-2022 11:45:36:352,1.4285151,-0.34217364,9.131011
6474394014692,13-06-2022 11:45:36:367,1.4739788,-0.23449662,9.080762
6474409014692,13-06-2022 11:45:36:382,1.4476577,-0.14596218,9.145369
6474420053442,13-06-2022 11:45:36:393,1.3974084,-0.148355,9.126225
6474420101932,13-06-2022 11:45:36:393,1.4883357,-0.1363909,9.131011
6474420150473,13-06-2022 11:45:36:393,1.6079768,-0.078963146,9.157332
6474425171723,13-06-2022 11:45:36:398,1.6701902,-0.062213387,9.147761
6474440171723,13-06-2022 11:45:36:413,1.7467605,-0.03589234,9.152547
6474446634536,13-06-2022 11:45:36:419,1.7802601,-0.011964113,9.202796
6474461634536,13-06-2022 11:45:36:434,1.8711873,0.02871387,9.265009
6474476634536,13-06-2022 11:45:36:449,2.0147567,0.10289137,9.387043
6474487303286,13-06-2022 11:45:36:460,2.160719,0.17467605,9.480363
6474487428130,13-06-2022 11:45:36:460,2.2061825,0.22013968,9.592826
6474496340005,13-06-2022 11:45:36:469,2.2899313,0.31106696,9.664611
6474511340005,13-06-2022 11:45:36:484,2.3976083,0.3900301,9.77468
6474526340005,13-06-2022 11:45:36:499,2.5435705,0.4354937,9.875179
6474541340005,13-06-2022 11:45:36:514,2.713461,0.47377887,9.906285
6474553917192,13-06-2022 11:45:36:526,2.9431717,0.5766702,9.937392
6474568917192,13-06-2022 11:45:36:541,2.9742785,0.7896315,9.851251
6474583917192,13-06-2022 11:45:36:556,2.9599216,0.82313097,9.769895
6474590489380,13-06-2022 11:45:36:563,2.9072795,0.7537391,9.643075
6474590537348,13-06-2022 11:45:36:563,2.9455647,0.7393822,9.454042
