epoch,timestamp,x,y,z
8100055414569,13-06-2022 12:12:42:027,-0.011964113,-3.845266,9.138189
8100062494777,13-06-2022 12:12:42:034,-0.03589234,-3.8404803,9.035298
8100063122225,13-06-2022 12:12:42:035,-0.0741775,-3.8237305,9.119047
8100063630767,13-06-2022 12:12:42:035,-0.13878371,-3.8500516,9.23151
8100072669673,13-06-2022 12:12:42:044,-0.23449662,-3.792624,9.3104725
8100079842433,13-06-2022 12:12:42:051,-0.33499518,-3.6059837,9.396614
8100087244933,13-06-2022 12:12:42:059,-0.4426722,-3.3020952,9.540184
8100097934621,13-06-2022 12:12:42:069,-0.5455636,-2.926422,9.693324
8100104014464,13-06-2022 12:12:42:076,-0.6149554,-2.6321049,9.805787
8100119014464,13-06-2022 12:12:42:091,-0.58624154,-2.321038,9.9756775
8100134014464,13-06-2022 12:12:42:106,-0.6197411,-2.2037897,9.9756775
8100149014464,13-06-2022 12:12:42:121,-0.6149554,-2.321038,9.836894
8100164014464,13-06-2022 12:12:42:136,-0.6197411,-2.5292134,9.68136
8100179014464,13-06-2022 12:12:42:151,-0.70588267,-2.5722845,9.556933
8100188158839,13-06-2022 12:12:42:160,-0.8111669,-2.5268207,9.403793
8100188198371,13-06-2022 12:12:42:160,-0.9020941,-2.5459633,9.29133
8100188240194,13-06-2022 12:12:42:160,-0.9212367,-2.9192436,8.82473
8100188281079,13-06-2022 12:12:42:160,-0.7848458,-3.6849468,8.013563
8100189902798,13-06-2022 12:12:42:161,-0.6580262,-4.7282176,7.4656067
8100204902798,13-06-2022 12:12:42:176,-0.48095736,-5.6039906,7.216753
8100219902798,13-06-2022 12:12:42:191,-0.22971097,-6.13759,6.800402
8100223435037,13-06-2022 12:12:42:195,0.083748795,-6.4773707,6.35773
8100232552694,13-06-2022 12:12:42:204,-2.2899313,-10.597812,10.377672
8100232615298,13-06-2022 12:12:42:204,-3.3092737,-10.573883,9.437292
8100232659673,13-06-2022 12:12:42:204,-2.6656044,-8.003992,7.3196445
8100247659673,13-06-2022 12:12:42:219,-2.0482562,-7.0396843,7.941778
8100259573319,13-06-2022 12:12:42:231,-1.9046868,-6.623333,8.618947
8100268564516,13-06-2022 12:12:42:240,-1.9357935,-5.572884,8.063812
8100278970506,13-06-2022 12:12:42:250,-1.7300107,-4.362116,7.436893
8100287751027,13-06-2022 12:12:42:259,-1.5170496,-3.7998023,7.0229344
8100302751027,13-06-2022 12:12:42:274,-1.442872,-4.2424746,6.7022963
8100311328006,13-06-2022 12:12:42:283,-1.2155539,-5.113462,6.503692
8100323975089,13-06-2022 12:12:42:295,-0.76570326,-6.094519,6.5850477
8100325453266,13-06-2022 12:12:42:297,-0.10767702,-6.661618,6.4031935
8100333343423,13-06-2022 12:12:42:305,1.375873,-6.178268,5.096712
8100344494412,13-06-2022 12:12:42:316,1.3782659,-8.944371,4.302295
8100356813162,13-06-2022 12:12:42:328,0.1363909,-13.919049,4.182654
8100371813162,13-06-2022 12:12:42:343,0.99302137,-15.053247,4.8215375
8100383523839,13-06-2022 12:12:42:355,2.6344976,-14.091332,5.218746
8100384732641,13-06-2022 12:12:42:356,2.6273193,-13.136597,4.8358946
8100390939256,13-06-2022 12:12:42:362,1.5314065,-12.059826,4.2041893
8100405939256,13-06-2022 12:12:42:377,0.73459655,-10.753345,3.2566316
8100420939256,13-06-2022 12:12:42:392,0.73459655,-9.370294,2.440679
8100434238371,13-06-2022 12:12:42:406,1.4644074,-8.367701,2.0937197
8100443509204,13-06-2022 12:12:42:415,2.4454648,-7.9633136,1.7994026
8100458509204,13-06-2022 12:12:42:430,3.2709885,-8.032705,1.2370893
8100466893579,13-06-2022 12:12:42:438,3.8644085,-8.592627,0.4953143
8100467736600,13-06-2022 12:12:42:439,4.5152564,-9.968499,-0.44745782
8100470367902,13-06-2022 12:12:42:442,5.1876397,-12.693924,-1.5146568
8100485367902,13-06-2022 12:12:42:457,5.6733823,-15.737595,-2.0961127
8100500367902,13-06-2022 12:12:42:472,5.5944195,-16.823936,-1.5457634
8100503469829,13-06-2022 12:12:42:475,5.0943193,-15.787844,-1.7443677
8100509133527,13-06-2022 12:12:42:481,4.6899323,-13.4022,-2.0051854
8100524133527,13-06-2022 12:12:42:496,4.342973,-10.810773,-1.134198
8100539133527,13-06-2022 12:12:42:511,3.8500516,-8.851051,0.12921242
8100545870245,13-06-2022 12:12:42:517,3.2350962,-8.34138,0.4331009
8100548998058,13-06-2022 12:12:42:520,2.2995026,-9.097511,0.5623133
8100563998058,13-06-2022 12:12:42:535,1.6749759,-9.877572,0.6963114
8100571324100,13-06-2022 12:12:42:543,1.5002998,-10.430314,0.6125626
8100578481027,13-06-2022 12:12:42:550,1.5960127,-10.875379,0.79441714
8100593481027,13-06-2022 12:12:42:565,1.5840486,-11.085947,1.1653047
8100598560662,13-06-2022 12:12:42:570,1.3686945,-10.648061,0.90448695
8100613560662,13-06-2022 12:12:42:585,0.83030945,-10.152746,1.1030912
