epoch,timestamp,x,y,z
8190085150783,13-06-2022 12:14:12:057,-0.07570889,-0.0024422223,-0.028085556
8190100150783,13-06-2022 12:14:12:072,-0.024422223,-0.008547778,-0.025643334
8190108559481,13-06-2022 12:14:12:080,0.0024422223,-0.017095556,-0.023201112
8190108606200,13-06-2022 12:14:12:080,0.023201112,-0.012211111,-0.018316668
8190123606200,13-06-2022 12:14:12:095,0.024422223,-0.0036633336,-0.018316668
8190138606200,13-06-2022 12:14:12:110,0.02198,-0.009768889,-0.024422223
8190141927866,13-06-2022 12:14:12:113,-0.0048844446,-0.014653334,-0.02198
8190156361460,13-06-2022 12:14:12:128,-0.04029667,-0.013432222,-0.014653334
8190156420002,13-06-2022 12:14:12:128,-0.06716111,0.0024422223,-0.0036633336
8190171420002,13-06-2022 12:14:12:143,-0.098910004,0.0,-0.0024422223
8190186420002,13-06-2022 12:14:12:158,-0.10867889,0.0,0.0
8190189204168,13-06-2022 12:14:12:161,-0.09646778,-0.01099,-0.01099
8190199547397,13-06-2022 12:14:12:171,-0.07448778,-0.014653334,0.0012211112
8190204785002,13-06-2022 12:14:12:176,-0.06594,-0.007326667,0.013432222
8190219785002,13-06-2022 12:14:12:191,-0.04396,0.018316668,0.026864445
8190223495575,13-06-2022 12:14:12:195,-0.009768889,0.03052778,0.019537779
8190234468491,13-06-2022 12:14:12:206,0.025643334,0.017095556,0.012211111
8190245216929,13-06-2022 12:14:12:217,0.05006556,-0.0024422223,0.0
8190260216929,13-06-2022 12:14:12:232,0.057392225,-0.008547778,-0.0036633336
8190275216929,13-06-2022 12:14:12:247,0.035412222,-0.007326667,-0.0036633336
8190289990158,13-06-2022 12:14:12:261,0.008547778,0.008547778,0.0048844446
8190303540835,13-06-2022 12:14:12:275,-0.024422223,0.0061055557,0.0036633336
8190308751356,13-06-2022 12:14:12:280,-0.064718895,-0.0036633336,-0.007326667
8190308807710,13-06-2022 12:14:12:280,-0.10745778,-0.014653334,-0.008547778
8190323807710,13-06-2022 12:14:12:295,-0.15141778,-0.015874445,-0.0061055557
8190338807710,13-06-2022 12:14:12:310,-0.20026223,-0.007326667,0.007326667
8190347346616,13-06-2022 12:14:12:319,-0.25643334,0.0061055557,0.029306669
8190347894689,13-06-2022 12:14:12:319,-0.29184556,0.0024422223,0.047623336
8190362894689,13-06-2022 12:14:12:334,-0.30039334,-0.009768889,0.05372889
8190377894689,13-06-2022 12:14:12:349,-0.30649891,-0.023201112,0.045181114
8190380598543,13-06-2022 12:14:12:352,-0.3174889,-0.029306669,0.05250778
8190395598543,13-06-2022 12:14:12:367,-0.32481557,-0.023201112,0.059834447
8190410598543,13-06-2022 12:14:12:382,-0.32725778,-0.01099,0.064718895
8190425598543,13-06-2022 12:14:12:397,-0.31138334,-0.009768889,0.06594
8190439575366,13-06-2022 12:14:12:411,-0.29673,-0.013432222,0.051286668
8190446482554,13-06-2022 12:14:12:418,-0.27108666,-0.029306669,0.04396
8190450533387,13-06-2022 12:14:12:422,-0.2503278,-0.034191113,0.04029667
8190450587293,13-06-2022 12:14:12:422,-0.22590557,-0.026864445,0.046402223
8190450636356,13-06-2022 12:14:12:422,-0.20026223,-0.013432222,0.036633335
8190465636356,13-06-2022 12:14:12:437,-0.16607112,-0.0036633336,0.029306669
8190474632137,13-06-2022 12:14:12:446,-0.13310112,-0.007326667,0.014653334
8190483575002,13-06-2022 12:14:12:455,-0.09402556,-0.02198,0.012211111
8190498370366,13-06-2022 12:14:12:470,-0.06960334,-0.026864445,0.013432222
8190513370366,13-06-2022 12:14:12:485,-0.05250778,-0.025643334,0.015874445
8190528370366,13-06-2022 12:14:12:500,-0.051286668,-0.019537779,0.013432222
8190543370366,13-06-2022 12:14:12:515,-0.045181114,-0.017095556,0.013432222
8190548525991,13-06-2022 12:14:12:520,-0.04396,-0.018316668,0.018316668
8190551053074,13-06-2022 12:14:12:523,-0.057392225,-0.014653334,0.017095556
8190566053074,13-06-2022 12:14:12:538,-0.059834447,-0.012211111,0.018316668
8190581053074,13-06-2022 12:14:12:553,-0.06105556,-0.01099,0.015874445
8190585939481,13-06-2022 12:14:12:557,-0.06227667,-0.017095556,0.015874445
8190586727710,13-06-2022 12:14:12:558,-0.051286668,-0.014653334,0.008547778
8190601727710,13-06-2022 12:14:12:573,-0.042738892,-0.009768889,0.017095556
8190616727710,13-06-2022 12:14:12:588,-0.04151778,-0.0024422223,0.012211111
8190626510314,13-06-2022 12:14:12:598,-0.039075557,-0.007326667,0.014653334
8190627434897,13-06-2022 12:14:12:599,-0.037854444,-0.013432222,0.0048844446
8190642434897,13-06-2022 12:14:12:614,-0.037854444,-0.0024422223,0.008547778
8190657434897,13-06-2022 12:14:12:629,-0.034191113,0.013432222,0.008547778
8190672434897,13-06-2022 12:14:12:644,-0.019537779,0.02198,0.009768889
8190687434897,13-06-2022 12:14:12:659,-0.01099,0.02198,0.013432222
8190699366043,13-06-2022 12:14:12:671,-0.014653334,0.014653334,0.0012211112
8190699975939,13-06-2022 12:14:12:671,-0.028085556,0.0036633336,0.0012211112
8190700477814,13-06-2022 12:14:12:672,-0.028085556,-0.0012211112,-0.007326667
8190701021304,13-06-2022 12:14:12:673,-0.042738892,-0.0048844446,-0.014653334
8190716021304,13-06-2022 12:14:12:688,-0.04151778,-0.013432222,-0.015874445
8190731021304,13-06-2022 12:14:12:703,-0.047623336,-0.012211111,-0.012211111
8190746021304,13-06-2022 12:14:12:718,-0.057392225,-0.0012211112,-0.013432222
8190759696512,13-06-2022 12:14:12:731,-0.05372889,0.008547778,-0.0048844446
8190774696512,13-06-2022 12:14:12:746,-0.04151778,0.012211111,-0.0061055557
8190776979116,13-06-2022 12:14:12:748,-0.03297,0.0048844446,-0.012211111
8190777968543,13-06-2022 12:14:12:749,-0.024422223,-0.0036633336,-0.017095556
8190792968543,13-06-2022 12:14:12:764,-0.024422223,-0.007326667,-0.013432222
8190802761720,13-06-2022 12:14:12:774,-0.019537779,-0.0024422223,-0.014653334
8190804061772,13-06-2022 12:14:12:776,-0.019537779,0.0,-0.012211111
8190812009689,13-06-2022 12:14:12:784,-0.02198,0.0036633336,-0.014653334
8190827009689,13-06-2022 12:14:12:799,-0.017095556,-0.0048844446,-0.012211111
8190841086356,13-06-2022 12:14:12:813,-0.017095556,-0.0024422223,-0.018316668
8190844331356,13-06-2022 12:14:12:816,-0.028085556,0.0,-0.023201112
8190853579064,13-06-2022 12:14:12:825,-0.04029667,0.0012211112,-0.017095556
8190868579064,13-06-2022 12:14:12:840,-0.036633335,0.0012211112,-0.018316668
8190880408387,13-06-2022 12:14:12:852,-0.028085556,0.0024422223,-0.018316668
8190894733699,13-06-2022 12:14:12:866,-0.023201112,0.0012211112,-0.017095556
8190903660835,13-06-2022 12:14:12:875,-0.009768889,0.0012211112,-0.018316668
8190918660835,13-06-2022 12:14:12:890,-0.0036633336,0.0048844446,-0.01099
8190933660835,13-06-2022 12:14:12:905,-0.0012211112,0.008547778,-0.01099
8190943404012,13-06-2022 12:14:12:915,0.017095556,0.019537779,-0.007326667
8190943926147,13-06-2022 12:14:12:915,0.04396,0.025643334,-0.008547778
8190949892189,13-06-2022 12:14:12:921,0.07326667,0.02075889,-0.014653334
8190949958647,13-06-2022 12:14:12:921,0.11966889,0.01099,-0.03297
8190964958647,13-06-2022 12:14:12:936,0.15019667,0.0061055557,-0.034191113
8190979958647,13-06-2022 12:14:12:951,0.15141778,0.0048844446,-0.028085556
8190994958647,13-06-2022 12:14:12:966,0.13432223,0.015874445,-0.024422223
8191009494689,13-06-2022 12:14:12:981,0.13432223,0.028085556,-0.024422223
8191024494689,13-06-2022 12:14:12:996,0.11844778,0.029306669,-0.0048844446
8191039494689,13-06-2022 12:14:13:011,0.07448778,0.023201112,-0.008547778
8191054494689,13-06-2022 12:14:13:026,0.035412222,0.028085556,-0.007326667
8191069494689,13-06-2022 12:14:13:041,0.03174889,0.03052778,-0.009768889
8191084494689,13-06-2022 12:14:13:056,0.025643334,0.015874445,-0.013432222
8191099494689,13-06-2022 12:14:13:071,0.0,0.0061055557,-0.007326667
8191110488126,13-06-2022 12:14:13:082,-0.023201112,0.019537779,-0.01099
8191110544897,13-06-2022 12:14:13:082,-0.0061055557,0.024422223,-0.012211111
8191110633022,13-06-2022 12:14:13:082,0.023201112,0.0036633336,-0.019537779
8191110678803,13-06-2022 12:14:13:082,0.028085556,-0.018316668,-0.029306669
8191110725001,13-06-2022 12:14:13:082,0.019537779,-0.023201112,-0.023201112
8191110790887,13-06-2022 12:14:13:082,0.023201112,0.0012211112,-0.015874445
8191125790887,13-06-2022 12:14:13:097,0.04151778,0.028085556,-0.007326667
8191140790887,13-06-2022 12:14:13:112,0.051286668,0.037854444,-0.01099
8191154105626,13-06-2022 12:14:13:126,0.06105556,0.029306669,-0.009768889
8191154178387,13-06-2022 12:14:13:126,0.06105556,0.013432222,0.0061055557
8191154228855,13-06-2022 12:14:13:126,0.042738892,0.01099,0.008547778
8191169228855,13-06-2022 12:14:13:141,-0.0036633336,0.017095556,0.019537779
8191178601408,13-06-2022 12:14:13:150,-0.081814446,0.018316668,0.02075889
8191188954168,13-06-2022 12:14:13:160,-0.16729222,0.013432222,0.028085556
8191197356928,13-06-2022 12:14:13:169,-0.22102112,0.0012211112,0.03174889
8191212356928,13-06-2022 12:14:13:184,-0.25399113,0.0048844446,0.036633335
8191223752397,13-06-2022 12:14:13:195,-0.24055889,-0.0061055557,0.04151778
8191233627033,13-06-2022 12:14:13:205,-0.20148334,-0.017095556,0.035412222
8191238868543,13-06-2022 12:14:13:210,-0.1306589,-0.02198,0.028085556
8191243770939,13-06-2022 12:14:13:215,-0.068382226,-0.02198,0.015874445
8191258770939,13-06-2022 12:14:13:230,-0.0036633336,-0.013432222,0.0061055557
