epoch,timestamp,x,y,z
7782216781671,13-06-2022 12:07:24:188,-0.62931234,-2.012364,9.853643
7782231781671,13-06-2022 12:07:24:203,-0.8039884,-2.1918256,9.896714
7782246781671,13-06-2022 12:07:24:218,-0.96909314,-2.3928227,9.987641
7782261781671,13-06-2022 12:07:24:233,-1.1318051,-2.3856442,10.10489
7782266614744,13-06-2022 12:07:24:238,-1.2418749,-2.2875385,10.183853
7782267727765,13-06-2022 12:07:24:239,-1.2562319,-2.1822543,10.119247
7782276461723,13-06-2022 12:07:24:248,-1.2370893,-2.2779672,9.868001
7782288301775,13-06-2022 12:07:24:260,-1.146162,-2.4789643,9.427721
7782300353963,13-06-2022 12:07:24:272,-0.9810573,-2.7996025,8.908479
7782313917557,13-06-2022 12:07:24:285,-0.70348984,-3.1369905,8.568698
7782328917557,13-06-2022 12:07:24:300,-0.38763726,-3.4767714,8.482556
7782343917557,13-06-2022 12:07:24:315,-0.8135597,-5.235496,9.461221
7782358917557,13-06-2022 12:07:24:330,-1.4620147,-7.1210403,10.645668
7782360354015,13-06-2022 12:07:24:332,-0.6795616,-7.2765737,10.492527
7782360405265,13-06-2022 12:07:24:332,-0.6580262,-7.2909307,10.710274
7782369369119,13-06-2022 12:07:24:341,-1.3016955,-7.1784678,10.284351
7782384369119,13-06-2022 12:07:24:356,-2.065006,-6.4055862,9.992428
7782391835577,13-06-2022 12:07:24:363,-2.3712873,-4.5415773,9.276974
7782395052452,13-06-2022 12:07:24:367,-1.9908284,-2.3665016,8.597412
7782410052452,13-06-2022 12:07:24:382,-1.2801601,-0.91884387,8.130812
7782425052452,13-06-2022 12:07:24:397,-0.7298109,-0.59581286,7.735996
7782440052452,13-06-2022 12:07:24:412,-0.68195444,-1.2251252,7.6402826
7782455052452,13-06-2022 12:07:24:427,-1.0360922,-2.1176481,7.6713896
7782456968494,13-06-2022 12:07:24:428,-1.5098711,-2.605784,7.8867435
7782457012609,13-06-2022 12:07:24:429,-1.6582261,-2.6488547,8.255239
7782464492817,13-06-2022 12:07:24:436,-1.4955142,-2.5579274,8.573483
7782479492817,13-06-2022 12:07:24:451,-1.2562319,-2.7206392,8.846265
7782486143650,13-06-2022 12:07:24:458,-1.079163,-3.2183464,9.12144
7782501143650,13-06-2022 12:07:24:473,-1.0241281,-3.737589,9.305687
7782512867609,13-06-2022 12:07:24:484,-1.0336994,-4.182654,9.334401
7782519836671,13-06-2022 12:07:24:491,-1.0624132,-4.5224347,9.226724
7782526371671,13-06-2022 12:07:24:498,-0.9403793,-4.6396832,9.01137
7782533860056,13-06-2022 12:07:24:505,-0.7728817,-4.7952166,8.671589
7782548860056,13-06-2022 12:07:24:520,-0.6029913,-5.0273204,8.463413
7782563860056,13-06-2022 12:07:24:535,-0.4019942,-5.2666025,8.336594
7782573442504,13-06-2022 12:07:24:545,-0.27517462,-5.3718867,8.23131
7782577666723,13-06-2022 12:07:24:549,-0.23688944,-5.4676,8.226524
7782582535838,13-06-2022 12:07:24:554,-0.24646074,-5.625526,8.279166
7782595808911,13-06-2022 12:07:24:567,-0.14356937,-5.814559,8.293523
7782608516046,13-06-2022 12:07:24:580,0.0047856453,-5.946164,8.365308
7782616517765,13-06-2022 12:07:24:588,0.16749759,-5.948557,8.348558
