epoch,timestamp,x,y,z
8103787349359,13-06-2022 12:12:45:759,1.3016955,-4.3836513,9.954143
8103802349359,13-06-2022 12:12:45:774,1.3112668,-4.6396832,9.968499
8103817349359,13-06-2022 12:12:45:789,1.2370893,-4.7880383,9.954143
8103818347067,13-06-2022 12:12:45:790,1.160519,-4.898108,9.920643
8103818392484,13-06-2022 12:12:45:790,1.0887343,-4.9172506,9.870394
8103830396078,13-06-2022 12:12:45:802,0.9068798,-4.776074,9.74836
8103839993942,13-06-2022 12:12:45:811,0.66999036,-4.45065,9.473185
8103854993942,13-06-2022 12:12:45:826,1.1102697,-4.8598228,8.5016985
8103857589932,13-06-2022 12:12:45:829,1.9788643,-6.5108705,7.948957
8103872589932,13-06-2022 12:12:45:844,2.495714,-7.094719,8.616554
8103881539463,13-06-2022 12:12:45:853,2.5674987,-7.135397,8.930014
8103893741338,13-06-2022 12:12:45:865,2.199004,-7.243074,8.796016
8103908741338,13-06-2022 12:12:45:880,1.9310079,-6.991828,8.578269
8103918695453,13-06-2022 12:12:45:890,2.050649,-6.34098,8.092526
8103919253942,13-06-2022 12:12:45:891,2.4861426,-5.9174504,7.2287173
8103927373942,13-06-2022 12:12:45:899,3.0412776,-5.9724855,6.532406
8103938810765,13-06-2022 12:12:45:910,3.4193435,-6.0346985,6.0634127
8103945937119,13-06-2022 12:12:45:917,3.6179478,-6.178268,5.3312087
8103957770765,13-06-2022 12:12:45:929,3.8476589,-6.910472,4.7449675
8103967855244,13-06-2022 12:12:45:939,4.0869412,-7.960921,4.4339004
8103972950765,13-06-2022 12:12:45:944,4.046263,-8.819944,4.5822554
8103987950765,13-06-2022 12:12:45:959,3.65384,-9.226724,4.412365
8104002950765,13-06-2022 12:12:45:974,3.1561332,-8.796016,4.2592244
8104005405140,13-06-2022 12:12:45:977,3.0987053,-8.432307,4.2592244
8104012616078,13-06-2022 12:12:45:984,3.0987053,-8.458628,4.847859
8104027616078,13-06-2022 12:12:45:999,2.8785655,-8.702696,5.2331033
8104038738838,13-06-2022 12:12:46:010,2.2707887,-9.104691,5.814559
8104041849463,13-06-2022 12:12:46:013,1.3639089,-8.980264,6.053841
8104056849463,13-06-2022 12:12:46:028,0.634098,-8.425129,6.35773
8104069574046,13-06-2022 12:12:46:041,0.05742774,-7.884351,6.984649
8104084574046,13-06-2022 12:12:46:056,-0.24646074,-7.668997,7.783852
8104088576182,13-06-2022 12:12:46:060,-0.8039884,-7.003792,8.583055
8104103576182,13-06-2022 12:12:46:075,-1.3160524,-6.020342,8.602198
8104118576182,13-06-2022 12:12:46:090,-1.8735801,-5.2139606,8.944371
8104133576182,13-06-2022 12:12:46:105,-2.3856442,-5.156533,9.702896
8104148576182,13-06-2022 12:12:46:120,-3.129812,-5.352744,10.683953
8104157333890,13-06-2022 12:12:46:129,-3.9577286,-5.029713,11.227124
8104158287796,13-06-2022 12:12:46:130,-4.5152564,-3.266203,10.990234
8104158831442,13-06-2022 12:12:46:130,-4.613362,-0.6269195,10.164711
8104161348109,13-06-2022 12:12:46:133,-4.56072,1.7730815,9.62154
8104176348109,13-06-2022 12:12:46:148,-4.5655055,2.792424,9.946963
8104189889202,13-06-2022 12:12:46:161,-5.1254263,1.9477576,10.669596
8104204889202,13-06-2022 12:12:46:176,-6.343373,0.4833502,11.148161
8104219889202,13-06-2022 12:12:46:191,-7.4249287,-0.24885355,11.313266
8104225263942,13-06-2022 12:12:46:197,-7.8436728,0.6412765,11.282159
8104225313317,13-06-2022 12:12:46:197,-7.5996046,2.28036,11.006984
8104240313317,13-06-2022 12:12:46:212,-7.109076,3.4097722,10.607383
8104255313317,13-06-2022 12:12:46:227,-6.795616,3.8141594,10.303494
8104258091494,13-06-2022 12:12:46:230,-6.771688,3.7280176,9.9015
8104273091494,13-06-2022 12:12:46:245,-6.9152575,3.3667014,9.236296
8104284808317,13-06-2022 12:12:46:256,-7.003792,3.050849,8.518449
8104291303109,13-06-2022 12:12:46:263,-6.862615,2.8833513,7.946564
8104294084827,13-06-2022 12:12:46:266,-6.647261,2.684747,7.4584284
8104302162119,13-06-2022 12:12:46:274,-6.367301,2.28036,6.903293
8104312604307,13-06-2022 12:12:46:284,-6.2668023,1.308874,6.9344
8104322108317,13-06-2022 12:12:46:294,-6.5754766,-0.485743,7.281359
8104337108317,13-06-2022 12:12:46:309,-6.465407,-2.8594232,7.7671022
8104346071754,13-06-2022 12:12:46:318,-5.864808,-5.424529,8.042277
8104354524254,13-06-2022 12:12:46:326,-5.151747,-7.123433,8.350951
8104369524254,13-06-2022 12:12:46:341,-4.625326,-7.367501,8.60459
8104373153786,13-06-2022 12:12:46:345,-4.388437,-6.8051877,8.236095
8104388153786,13-06-2022 12:12:46:360,-4.465007,-6.960721,7.9561353
8104395815296,13-06-2022 12:12:46:367,-4.814359,-8.626125,7.9369926
8104405700609,13-06-2022 12:12:46:377,-5.0416775,-10.516456,8.020741
8104420700609,13-06-2022 12:12:46:392,-4.7784667,-11.32523,7.585248
8104424267744,13-06-2022 12:12:46:396,-4.0103707,-10.856236,6.876972
8104439267744,13-06-2022 12:12:46:411,-3.2087753,-10.033105,6.3050876
8104451280817,13-06-2022 12:12:46:423,-2.7326035,-9.104691,5.8432727
8104451338421,13-06-2022 12:12:46:423,-2.4430718,-7.9633136,5.369494
8104460380140,13-06-2022 12:12:46:432,-2.0721843,-7.0779696,4.6971107
8104468090609,13-06-2022 12:12:46:440,-1.6414764,-6.678368,4.1108694
8104483090609,13-06-2022 12:12:46:455,-1.0887343,-6.7429743,3.6729827
8104495751129,13-06-2022 12:12:46:467,-0.3900301,-7.355537,3.5102708
8104503119254,13-06-2022 12:12:46:475,0.4354937,-8.405986,3.7806597
8104511150765,13-06-2022 12:12:46:483,1.3040884,-9.731609,4.436293
8104523186598,13-06-2022 12:12:46:495,2.143969,-11.107483,5.0847483
8104538186598,13-06-2022 12:12:46:510,2.981457,-11.952149,5.4221363
8104553186598,13-06-2022 12:12:46:525,3.7830527,-12.18186,5.3407803
8104568186598,13-06-2022 12:12:46:540,4.4410787,-12.057433,5.2666025
8104577950088,13-06-2022 12:12:46:549,4.816752,-11.660225,5.2019963
8104578057067,13-06-2022 12:12:46:550,5.1086764,-10.8969145,4.7832522
8104593057067,13-06-2022 12:12:46:565,5.4125648,-10.124033,4.249653
8104608057067,13-06-2022 12:12:46:580,5.663811,-9.597611,3.8285162
8104612415713,13-06-2022 12:12:46:584,5.905486,-9.260223,3.5365918
8104612586754,13-06-2022 12:12:46:584,6.108876,-9.119047,3.3810585
8104620029671,13-06-2022 12:12:46:592,6.4008007,-9.052048,3.266203
8104629141963,13-06-2022 12:12:46:601,6.6975107,-9.01137,3.347559
8104644141963,13-06-2022 12:12:46:616,6.9583282,-8.963513,3.5102708
8104646954619,13-06-2022 12:12:46:618,7.183254,-8.915657,3.6658044
8104654809254,13-06-2022 12:12:46:626,7.3746796,-8.793623,3.9601214
8104667269202,13-06-2022 12:12:46:639,7.5924263,-8.535198,4.3764725
8104682269202,13-06-2022 12:12:46:654,7.668997,-8.26481,4.8502517
8104690724411,13-06-2022 12:12:46:662,7.489535,-8.018349,5.3359947
8104700509879,13-06-2022 12:12:46:672,6.9415784,-7.874779,5.8935223
8104715509879,13-06-2022 12:12:46:687,6.029913,-7.728817,6.2117677
8104716023317,13-06-2022 12:12:46:688,5.032106,-7.348358,6.1399827
8104726521494,13-06-2022 12:12:46:698,3.8380876,-6.6424756,6.690332
8104734044879,13-06-2022 12:12:46:706,2.1343977,-5.436493,8.015956
8104749044879,13-06-2022 12:12:46:721,-0.12203395,-3.682554,9.470792
8104764044879,13-06-2022 12:12:46:736,-2.3904297,-1.4285151,11.133803
8104779044879,13-06-2022 12:12:46:751,-4.019942,1.4620147,12.768102
8104794044879,13-06-2022 12:12:46:766,-4.706682,4.2424746,13.823337
8104809044879,13-06-2022 12:12:46:781,-4.8454657,5.8432727,13.648661
8104824044879,13-06-2022 12:12:46:796,-4.57747,5.690132,13.272987
8104839044879,13-06-2022 12:12:46:811,-4.314259,3.9481573,12.720245
8104839361494,13-06-2022 12:12:46:811,-4.1084766,1.7252251,11.837294
8104839405921,13-06-2022 12:12:46:811,-3.7758741,-0.13878371,10.516456
8104839453577,13-06-2022 12:12:46:811,-3.1322048,-1.4859428,9.109476
8104854453577,13-06-2022 12:12:46:826,-2.199004,-2.7948167,8.437093
8104856398369,13-06-2022 12:12:46:828,-1.1676974,-4.1228333,7.8987074
8104863477796,13-06-2022 12:12:46:835,-0.3924229,-5.3407803,7.4656067
8104876819411,13-06-2022 12:12:46:848,0.1363909,-6.5084777,7.5062847
8104887926338,13-06-2022 12:12:46:859,0.43788654,-7.4416785,7.537391
8104902926338,13-06-2022 12:12:46:874,0.6269195,-8.008778,7.652247
8104913450400,13-06-2022 12:12:46:885,0.89013004,-8.1020975,7.8723865
8104928084306,13-06-2022 12:12:46:900,1.1413764,-7.60439,8.10449
8104929853473,13-06-2022 12:12:46:901,1.3064811,-6.6999035,8.346166
8104936195504,13-06-2022 12:12:46:908,1.3351951,-5.6279187,8.618947
8104951195504,13-06-2022 12:12:46:923,1.1078769,-4.465007,8.733803
8104966195504,13-06-2022 12:12:46:938,0.76570326,-3.2757742,8.846265
8104981195504,13-06-2022 12:12:46:953,0.50488555,-2.536392,9.157332
8104996195504,13-06-2022 12:12:46:968,0.41156548,-2.2061825,9.461221
8105000337275,13-06-2022 12:12:46:972,0.46660042,-2.1894326,9.839287
8105015337275,13-06-2022 12:12:46:987,0.526421,-2.6081767,10.059426
8105030337275,13-06-2022 12:12:47:002,0.485743,-3.266203,9.985249
8105045337275,13-06-2022 12:12:47:017,0.33738798,-3.8835511,9.745967
