epoch,timestamp,x,y,z
7653374215992,13-06-2022 12:05:15:347,-1.861616,-4.5535417,8.413164
7653389215992,13-06-2022 12:05:15:362,-1.8687944,-4.6205406,8.386844
7653404215992,13-06-2022 12:05:15:377,-1.835295,-4.6396832,8.370093
7653419215992,13-06-2022 12:05:15:392,-1.7970098,-4.682754,8.403593
7653434215992,13-06-2022 12:05:15:407,-1.7563318,-4.7162533,8.427522
7653449215992,13-06-2022 12:05:15:422,-1.713261,-4.7306104,8.415557
7653464215992,13-06-2022 12:05:15:437,-1.6319051,-4.7210393,8.439486
7653479215992,13-06-2022 12:05:15:452,-1.5768701,-4.718646,8.516056
7653494215992,13-06-2022 12:05:15:467,-1.5122639,-4.709075,8.583055
7653509215992,13-06-2022 12:05:15:482,-1.4261223,-4.718646,8.585447
7653524215992,13-06-2022 12:05:15:497,-1.308874,-4.692325,8.590233
7653539215992,13-06-2022 12:05:15:512,-1.2466606,-4.615755,8.602198
7653554215992,13-06-2022 12:05:15:527,-1.1820544,-4.6037908,8.652447
7653569215992,13-06-2022 12:05:15:542,-1.146162,-4.5798626,8.707481
7653571844377,13-06-2022 12:05:15:544,-1.1102697,-4.5678983,8.73141
7653573658336,13-06-2022 12:05:15:546,-1.0624132,-4.575077,8.79123
7653574281148,13-06-2022 12:05:15:547,-1.0504491,-4.6061835,8.752945
7653574713023,13-06-2022 12:05:15:547,-1.0504491,-4.644469,8.650054
7653575168023,13-06-2022 12:05:15:548,-1.012164,-4.6707897,8.618947
7653575831096,13-06-2022 12:05:15:548,-0.971486,-4.666004,8.585447
7653590831096,13-06-2022 12:05:15:563,-1.1102697,-4.9172506,9.305687
7653594287242,13-06-2022 12:05:15:567,-1.0648061,-5.0129633,9.119047
7653595095367,13-06-2022 12:05:15:568,-0.9810573,-4.881358,9.138189
7653596054481,13-06-2022 12:05:15:569,-0.89491564,-4.6037908,9.080762
7653599977867,13-06-2022 12:05:15:572,-0.86859465,-4.2185464,8.908479
7653600480575,13-06-2022 12:05:15:573,-0.8853444,-4.141976,9.109476
7653601039742,13-06-2022 12:05:15:574,-0.85184485,-4.1898327,9.286545
7653601493388,13-06-2022 12:05:15:574,-0.74895346,-4.237689,9.24826
7653601948388,13-06-2022 12:05:15:574,-0.6843473,-4.362116,9.202796
7653602368284,13-06-2022 12:05:15:575,-0.5599205,-4.601398,9.020942
7653602809481,13-06-2022 12:05:15:575,-0.526421,-4.898108,8.999406
7653603230002,13-06-2022 12:05:15:576,-0.5623133,-5.2666025,9.040084
7653608794377,13-06-2022 12:05:15:581,-0.4977071,-5.615955,9.169296
7653618601721,13-06-2022 12:05:15:591,-0.6221339,-5.6183476,9.676575
7653628963752,13-06-2022 12:05:15:601,-0.5910272,-6.1328044,9.745967
7653643963752,13-06-2022 12:05:15:616,-0.32063824,-6.3338017,9.82493
7653658963752,13-06-2022 12:05:15:631,-0.27756742,-6.058627,10.246066
7653673963752,13-06-2022 12:05:15:646,-0.6652047,-6.4845495,10.949556
7653688963752,13-06-2022 12:05:15:661,-1.1389836,-7.0133634,11.124232
7653692233961,13-06-2022 12:05:15:665,-1.6175481,-7.02772,11.160125
7653707233961,13-06-2022 12:05:15:680,-2.103291,-6.5659056,11.452049
7653712826044,13-06-2022 12:05:15:685,-2.37368,-6.068198,11.803794
7653727826044,13-06-2022 12:05:15:700,-2.4119651,-5.304888,12.246467
7653730807294,13-06-2022 12:05:15:703,-2.0291135,-4.3118663,12.282358
7653730851929,13-06-2022 12:05:15:703,-1.4237294,-3.1345978,11.91865
7653745851929,13-06-2022 12:05:15:718,-0.7704889,-2.2157538,11.203196
7653755391148,13-06-2022 12:05:15:728,-0.74895346,-1.8975084,10.3681
7653763886981,13-06-2022 12:05:15:736,-1.4763715,-2.2636101,9.521041
7653778886981,13-06-2022 12:05:15:751,-2.321038,-3.0819557,8.717052
7653782808283,13-06-2022 12:05:15:755,-2.833102,-3.8668015,8.283952
7653791186148,13-06-2022 12:05:15:764,-2.6344976,-4.426722,8.128419
7653797170888,13-06-2022 12:05:15:770,-1.875973,-4.9268217,8.001599
7653806553336,13-06-2022 12:05:15:779,-1.052842,-5.5704913,7.6737823
7653816272346,13-06-2022 12:05:15:789,-0.54317075,-6.4797635,7.2358956
7653831272346,13-06-2022 12:05:15:804,-0.2321038,-7.489535,6.7094746
7653837523492,13-06-2022 12:05:15:810,0.040677983,-8.439486,6.206982
7653846076669,13-06-2022 12:05:15:819,0.32542387,-9.142975,5.812166
7653861076669,13-06-2022 12:05:15:834,0.59342,-9.628718,5.608776
7653876076669,13-06-2022 12:05:15:849,1.0624132,-9.726824,5.477171
7653891076669,13-06-2022 12:05:15:864,1.6390835,-9.394221,5.4484572
7653900104690,13-06-2022 12:05:15:873,2.2707887,-8.834301,5.4676
7653900235992,13-06-2022 12:05:15:873,2.8259234,-8.293523,5.548956
7653915235992,13-06-2022 12:05:15:888,3.2590244,-7.893922,5.7020965
7653920287502,13-06-2022 12:05:15:893,3.5174494,-7.496713,5.953343
7653931260054,13-06-2022 12:05:15:904,3.6681972,-7.207182,6.273981
7653935707450,13-06-2022 12:05:15:908,3.6777685,-6.920043,6.6041903
7653946869013,13-06-2022 12:05:15:919,3.656233,-6.6831536,6.946364
7653954989742,13-06-2022 12:05:15:927,3.5772698,-6.4606214,7.1617184
7653969989742,13-06-2022 12:05:15:942,3.4241292,-6.1495543,7.2215385
7653984989742,13-06-2022 12:05:15:957,3.3523445,-5.9007006,7.2095747
7653993849846,13-06-2022 12:05:15:966,3.2997024,-5.709275,7.092326
7653998102346,13-06-2022 12:05:15:971,3.306881,-5.5369916,6.91765
7654008171773,13-06-2022 12:05:15:981,3.4719856,-5.3479586,6.6975107
7654020135888,13-06-2022 12:05:15:993,3.7471602,-5.2642097,6.410372
7654035135888,13-06-2022 12:05:16:008,4.0031924,-5.209175,6.084948
7654049024013,13-06-2022 12:05:16:022,4.197011,-5.2163534,5.773881
7654049171929,13-06-2022 12:05:16:022,4.321438,-5.245067,5.4149575
7654056706513,13-06-2022 12:05:16:029,4.388437,-5.300102,5.2737813
7654071706513,13-06-2022 12:05:16:044,4.4578285,-5.3407803,5.163711
7654078848492,13-06-2022 12:05:16:051,4.5631127,-5.359923,5.046463
7654088537085,13-06-2022 12:05:16:061,4.74736,-5.4029937,4.938786
7654101232867,13-06-2022 12:05:16:074,4.9770713,-5.3383875,4.8215375
7654108277763,13-06-2022 12:05:16:081,5.211568,-5.285745,4.7377887
7654123277763,13-06-2022 12:05:16:096,5.3359947,-5.211568,4.6301117
7654138277763,13-06-2022 12:05:16:111,5.3910294,-5.0512486,4.453043
7654149526356,13-06-2022 12:05:16:122,5.386244,-4.8885365,4.4410787
7654149575627,13-06-2022 12:05:16:122,5.355137,-4.773681,4.429115
7654156514690,13-06-2022 12:05:16:129,5.367101,-4.5822554,4.2759743
7654162526200,13-06-2022 12:05:16:135,5.45085,-4.328616,4.1084766
7654177526200,13-06-2022 12:05:16:150,5.5657053,-4.0773697,4.0845485
7654192526200,13-06-2022 12:05:16:165,5.6350975,-3.912265,4.101298
7654207526200,13-06-2022 12:05:16:180,5.6733823,-3.735196,3.9816568
7654222526200,13-06-2022 12:05:16:195,5.6733823,-3.7734814,3.8835511
7654237526200,13-06-2022 12:05:16:210,5.6877394,-3.8404803,3.8069808
7654252526200,13-06-2022 12:05:16:225,5.800202,-3.8644085,3.696911
7654267526200,13-06-2022 12:05:16:240,5.9724855,-3.8787656,3.6059837
7654282526200,13-06-2022 12:05:16:255,6.0825553,-3.8572302,3.5150564
7654297526200,13-06-2022 12:05:16:270,6.276374,-3.8333018,3.493521
7654312526200,13-06-2022 12:05:16:285,6.422336,-3.8739798,3.4360933
7654313935002,13-06-2022 12:05:16:286,6.491728,-3.9457645,3.3667014
7654327317971,13-06-2022 12:05:16:300,6.5778694,-3.9433718,3.3355947
7654340556825,13-06-2022 12:05:16:313,6.721439,-3.9194436,3.2949169
7654340694169,13-06-2022 12:05:16:313,6.9248285,-3.8476589,3.1130621
7654346178804,13-06-2022 12:05:16:319,7.1018977,-3.7710886,2.9336007
7654346280627,13-06-2022 12:05:16:319,7.2287173,-3.6227336,2.8163524
7654346325419,13-06-2022 12:05:16:319,7.355537,-3.3547373,2.7182465
7654347166825,13-06-2022 12:05:16:320,7.4177504,-3.0843484,2.6392834
7654359021460,13-06-2022 12:05:16:332,7.470392,-3.0149565,2.548356
7654374021460,13-06-2022 12:05:16:347,7.4392858,-3.0436704,2.4598217
7654389021460,13-06-2022 12:05:16:362,7.3627152,-3.17049,2.4382863
7654395389325,13-06-2022 12:05:16:368,7.322037,-3.345166,2.428715
7654395437971,13-06-2022 12:05:16:368,7.3579297,-3.546163,2.469393
7654410437971,13-06-2022 12:05:16:383,7.393822,-3.8285162,2.5722845
7654425437971,13-06-2022 12:05:16:398,7.436893,-4.1515474,2.8426733
7654440437971,13-06-2022 12:05:16:413,7.353144,-4.5655055,3.1322048
7654455437971,13-06-2022 12:05:16:428,7.207182,-5.0081778,3.3954153
7654462557450,13-06-2022 12:05:16:435,6.9655066,-5.3982077,3.682554
7654477557450,13-06-2022 12:05:16:450,6.735796,-5.6374903,3.9625144
7654482827710,13-06-2022 12:05:16:455,6.599405,-5.7188463,4.17069
7654494647867,13-06-2022 12:05:16:467,6.5443697,-5.6350975,4.386044
7654509647867,13-06-2022 12:05:16:482,6.65444,-5.4053864,4.5248275
7654524647867,13-06-2022 12:05:16:497,6.7932234,-5.003392,4.3238306
7654539647867,13-06-2022 12:05:16:512,6.9535427,-4.4434714,4.046263
7654554647867,13-06-2022 12:05:16:527,7.0899334,-3.938586,3.7854455
7654565827971,13-06-2022 12:05:16:538,7.1449685,-3.495914,3.548556
7654580827971,13-06-2022 12:05:16:553,6.9391856,-3.1680973,3.2542388
7654590760314,13-06-2022 12:05:16:563,6.4941206,-3.2685957,3.0915267
7654598032710,13-06-2022 12:05:16:571,5.8504515,-3.7328033,3.0987053
7654601408700,13-06-2022 12:05:16:574,5.0751767,-4.4410787,3.211168
7654616408700,13-06-2022 12:05:16:589,4.409972,-5.194818,3.4360933
7654625029429,13-06-2022 12:05:16:598,3.8787656,-6.003592,3.615555
7654634041200,13-06-2022 12:05:16:607,3.493521,-6.558727,3.7854455
7654649041200,13-06-2022 12:05:16:622,3.1441689,-6.9822564,3.993621
7654664041200,13-06-2022 12:05:16:637,2.6871397,-7.300502,4.2448673
7654679041200,13-06-2022 12:05:16:652,2.0673988,-7.432107,4.412365
7654694041200,13-06-2022 12:05:16:667,1.442872,-7.379465,4.476971
7654709041200,13-06-2022 12:05:16:682,0.8207382,-7.176075,4.5535417
7654724041200,13-06-2022 12:05:16:697,0.23449662,-6.826723,4.5918264
7654739041200,13-06-2022 12:05:16:712,-0.29192436,-6.3361945,4.558327
7654754041200,13-06-2022 12:05:16:727,-0.6221339,-5.962914,4.6085763
7654769041200,13-06-2022 12:05:16:742,-0.79441714,-5.541777,4.685147
7654784041200,13-06-2022 12:05:16:757,-1.038485,-5.087141,4.855037
7654799041200,13-06-2022 12:05:16:772,-1.4763715,-4.7377887,5.0656056
7654814041200,13-06-2022 12:05:16:787,-2.0697916,-4.493721,5.1326046
7654829041200,13-06-2022 12:05:16:802,-2.656033,-4.3118663,5.2689953
7654840126252,13-06-2022 12:05:16:813,-3.050849,-4.182654,5.4388857
7654853898752,13-06-2022 12:05:16:826,-3.6083765,-4.5559344,6.166304
7654858823648,13-06-2022 12:05:16:831,-3.5940197,-4.735396,2.7565317
7654873823648,13-06-2022 12:05:16:846,-5.393422,-9.683753,-1.0504491
7654888823648,13-06-2022 12:05:16:861,-13.643875,-28.730621,5.5872407
7654903823648,13-06-2022 12:05:16:876,-12.825529,-34.25804,14.813965
7654918823648,13-06-2022 12:05:16:891,-6.1710896,-35.404205,20.606989
7654933823648,13-06-2022 12:05:16:906,-1.1700903,-22.183859,14.967106
7654948823648,13-06-2022 12:05:16:921,2.4358935,-2.0267208,8.913264
7654963823648,13-06-2022 12:05:16:936,3.7998023,10.516456,5.1661043
