epoch,timestamp,x,y,z
3944537305958,20-06-2022 14:52:02:265,0.11600556,-0.06960334,-0.11844778
3944552305958,20-06-2022 14:52:02:280,0.12821667,-0.10135223,-0.14775445
3944567305958,20-06-2022 14:52:02:295,0.19049335,-0.11844778,-0.18194556
3944582305958,20-06-2022 14:52:02:310,0.25887558,-0.11844778,-0.22712667
3944597305958,20-06-2022 14:52:02:325,0.3162678,-0.117226675,-0.26986557
3944612305958,20-06-2022 14:52:02:340,0.3602278,-0.10745778,-0.3162678
3944627305958,20-06-2022 14:52:02:355,0.41029334,-0.10379445,-0.35412225
3944642305958,20-06-2022 14:52:02:370,0.48111778,-0.10379445,-0.39197668
3944657305958,20-06-2022 14:52:02:385,0.6056711,-0.102573335,-0.42372558
3944672305958,20-06-2022 14:52:02:400,0.77418447,-0.081814446,-0.4713489
3944676488093,20-06-2022 14:52:02:404,0.96223557,-0.029306669,-0.53118336
3944677036947,20-06-2022 14:52:02:405,1.1454023,0.046402223,-0.5910178
3944677476843,20-06-2022 14:52:02:405,1.2736189,0.13554333,-0.64963114
3944678820385,20-06-2022 14:52:02:406,1.3603178,0.24544334,-0.69603336
3944679326739,20-06-2022 14:52:02:407,1.4225945,0.35656446,-0.71801335
3944694326739,20-06-2022 14:52:02:422,1.4421322,0.42372558,-0.7228978
3944709326739,20-06-2022 14:52:02:437,1.4262578,0.4383789,-0.6972545
3944723595385,20-06-2022 14:52:02:451,1.3884034,0.44204223,-0.66306335
3944724596322,20-06-2022 14:52:02:452,1.3676445,0.4493689,-0.63742
3944727431583,20-06-2022 14:52:02:455,1.3566545,0.47745445,-0.62643003
3944742431583,20-06-2022 14:52:02:470,1.3542123,0.53851,-0.6459678
3944757431583,20-06-2022 14:52:02:485,1.3725289,0.61666113,-0.6996967
3944760596843,20-06-2022 14:52:02:488,1.3908457,0.71557117,-0.78395337
3944760652208,20-06-2022 14:52:02:488,1.3859612,0.8120389,-0.8779789
3944771355593,20-06-2022 14:52:02:499,1.3383378,0.8877478,-0.9549089
3944778913822,20-06-2022 14:52:02:506,1.2357645,0.9378134,-1.0013112
3944793913822,20-06-2022 14:52:02:521,1.1038845,0.9512456,-1.0293967
3944804281947,20-06-2022 14:52:02:532,0.9597934,0.9378134,-1.05504
3944819281947,20-06-2022 14:52:02:547,0.80104893,0.90118,-1.0562612
3944834281947,20-06-2022 14:52:02:562,0.63619894,0.8755367,-1.0306178
3944849281947,20-06-2022 14:52:02:577,0.48600224,0.8865267,-0.9866578
3944864281947,20-06-2022 14:52:02:592,0.36511225,0.8950745,-0.9524667
3944879281947,20-06-2022 14:52:02:607,0.29917222,0.87065226,-0.93903446
3944883058666,20-06-2022 14:52:02:611,0.32115224,0.84745115,-0.9536878
3944883106427,20-06-2022 14:52:02:611,0.42006224,0.85599893,-0.9927634
3944888383093,20-06-2022 14:52:02:616,0.48844448,0.8755367,-1.0452712
3944902443197,20-06-2022 14:52:02:630,0.47379112,0.8975167,-1.0928944
3944905483666,20-06-2022 14:52:02:633,0.41029334,0.92193896,-1.1441811
3944912363614,20-06-2022 14:52:02:640,0.34191114,0.94880337,-1.1795933
3944917085489,20-06-2022 14:52:02:645,0.30283555,0.9536878,-1.1881411
3944931383093,20-06-2022 14:52:02:659,0.2942878,0.92438114,-1.16494
3944946383093,20-06-2022 14:52:02:674,0.29673,0.86943114,-1.13197
3944961383093,20-06-2022 14:52:02:689,0.33214223,0.8230289,-1.1063267
3944969365593,20-06-2022 14:52:02:697,0.41395667,0.7900589,-1.1002212
3944984365593,20-06-2022 14:52:02:712,0.5140878,0.77296335,-1.1185378
3944999365593,20-06-2022 14:52:02:727,0.63619894,0.7570889,-1.1527289
3945003845020,20-06-2022 14:52:02:731,0.7949434,0.7534256,-1.2076789
3945004659499,20-06-2022 14:52:02:732,0.9854367,0.7656367,-1.24187
3945019659499,20-06-2022 14:52:02:747,1.1979101,0.7998278,-1.2565234
3945028286531,20-06-2022 14:52:02:756,1.4287001,0.8584412,-1.2455333
3945029262676,20-06-2022 14:52:02:757,1.6594901,0.9072856,-1.1808145
3945036305854,20-06-2022 14:52:02:764,1.74741,0.9292656,-0.98055226
3945051305854,20-06-2022 14:52:02:779,1.6020979,0.8962956,-0.5922389
3945066305854,20-06-2022 14:52:02:794,1.2565234,0.79616445,-0.046402223
3945081305854,20-06-2022 14:52:02:809,0.87065226,0.6679478,0.56293225
3945088650593,20-06-2022 14:52:02:816,0.55316335,0.5421733,1.1283067
3945088701531,20-06-2022 14:52:02:816,0.35656446,0.42128336,1.5825601
3945103701531,20-06-2022 14:52:02:831,0.32237336,0.3370267,1.9134812
3945110253354,20-06-2022 14:52:02:838,0.47745445,0.30405667,2.1283967
3945114936895,20-06-2022 14:52:02:842,0.82791334,0.3260367,2.273709
3945124621791,20-06-2022 14:52:02:852,1.3041468,0.41151446,2.383609
3945139621791,20-06-2022 14:52:02:867,1.7706112,0.5739222,2.4703078
3945154621791,20-06-2022 14:52:02:882,2.1564822,0.79128003,2.5277002
3945169621791,20-06-2022 14:52:02:897,2.4239056,1.0306178,2.5399113
3945184621791,20-06-2022 14:52:02:912,2.5838711,1.2467545,2.493509
3945199621791,20-06-2022 14:52:02:927,2.6376002,1.3810767,2.4312322
3945210310749,20-06-2022 14:52:02:938,2.60463,1.4287001,2.3420913
3945210357103,20-06-2022 14:52:02:938,2.5667756,1.449459,2.2932467
3945210411791,20-06-2022 14:52:02:938,2.5289211,1.4751023,2.3140056
3945223530801,20-06-2022 14:52:02:951,2.4532123,1.5569167,2.3958201
3945223598562,20-06-2022 14:52:02:951,2.3262167,1.6643745,2.5008357
3945234398926,20-06-2022 14:52:02:962,2.16503,1.7730534,2.59364
3945249398926,20-06-2022 14:52:02:977,2.0075068,1.8512045,2.6388211
3945260603249,20-06-2022 14:52:02:988,1.8902801,1.9134812,2.6376002
3945268437208,20-06-2022 14:52:02:996,1.790149,2.0038433,2.5997458
3945276667989,20-06-2022 14:52:03:004,1.6961234,2.0856578,2.5411322
3945291667989,20-06-2022 14:52:03:019,1.61553,2.1015322,2.449549
3945294897051,20-06-2022 14:52:03:022,1.5239468,2.09909,2.372619
