epoch,timestamp,x,y,z
3754073031083,20-06-2022 14:48:51:801,6.24766,6.8985076,-2.0291135
3754088031083,20-06-2022 14:48:51:816,6.309873,6.927222,-2.0051854
3754103031083,20-06-2022 14:48:51:831,6.3194447,6.9009004,-1.9310079
3754118031083,20-06-2022 14:48:51:846,6.314659,6.9152575,-1.9214365
3754133031083,20-06-2022 14:48:51:861,6.3361945,6.920043,-1.9525433
3754148031083,20-06-2022 14:48:51:876,6.3625154,6.869794,-1.9908284
3754163031083,20-06-2022 14:48:51:891,6.381658,6.8458657,-1.9908284
3754178031083,20-06-2022 14:48:51:906,6.4199433,6.7812595,-1.9645073
3754193031083,20-06-2022 14:48:51:921,6.4677997,6.802795,-1.8951155
3754208031083,20-06-2022 14:48:51:936,6.5084777,6.879365,-1.9094725
3754223031083,20-06-2022 14:48:51:951,6.530013,6.893722,-1.9549361
3754238031083,20-06-2022 14:48:51:966,6.541977,6.9056864,-2.024328
3754239984937,20-06-2022 14:48:51:967,6.573084,6.920043,-2.1008983
3754240416291,20-06-2022 14:48:51:968,6.63769,6.936793,-2.132005
3754241478791,20-06-2022 14:48:51:969,6.6687965,6.910472,-2.1415763
3754242032020,20-06-2022 14:48:51:970,6.6759753,6.8913293,-2.0817556
3754242463531,20-06-2022 14:48:51:970,6.6448684,6.855437,-2.0410776
3754242908426,20-06-2022 14:48:51:970,6.5778694,6.795616,-2.0338993
3754244560301,20-06-2022 14:48:51:972,6.5443697,6.814759,-2.0003998
3754245126812,20-06-2022 14:48:51:973,6.532406,6.8171515,-1.9812572
3754245553426,20-06-2022 14:48:51:973,6.5347986,6.8171515,-1.9884356
3754246011135,20-06-2022 14:48:51:974,6.506085,6.8171515,-2.0195422
3754246441187,20-06-2022 14:48:51:974,6.5347986,6.788438,-2.0817556
3754247620822,20-06-2022 14:48:51:975,6.570691,6.788438,-2.1104696
3754262620822,20-06-2022 14:48:51:990,6.587441,6.802795,-2.160719
3754277620822,20-06-2022 14:48:52:005,6.582655,6.7932234,-2.201397
3754292620822,20-06-2022 14:48:52:020,6.5539412,6.7836523,-2.2348964
3754301530718,20-06-2022 14:48:52:029,6.5252275,6.7381887,-2.251646
3754302062593,20-06-2022 14:48:52:030,6.4438715,6.7166533,-2.2851455
3754303312541,20-06-2022 14:48:52:031,6.424729,6.678368,-2.2875385
3754303853530,20-06-2022 14:48:52:031,6.4127645,6.65444,-2.292324
3754304326551,20-06-2022 14:48:52:032,6.391229,6.63769,-2.2947168
3754305281239,20-06-2022 14:48:52:033,6.393622,6.613762,-2.3234308
3754305754051,20-06-2022 14:48:52:033,6.424729,6.6185474,-2.3904297
3754306201187,20-06-2022 14:48:52:034,6.472585,6.640083,-2.469393
3754307097749,20-06-2022 14:48:52:035,6.5108705,6.63769,-2.5172493
3754307614833,20-06-2022 14:48:52:035,6.5228343,6.6257257,-2.536392
3754308305353,20-06-2022 14:48:52:036,6.546763,6.6329045,-2.5818555
3754308746655,20-06-2022 14:48:52:036,6.5922265,6.6592255,-2.6249263
3754323746655,20-06-2022 14:48:52:051,6.606583,6.652047,-2.6656044
3754338746655,20-06-2022 14:48:52:066,6.623333,6.65444,-2.6321049
3754345666812,20-06-2022 14:48:52:073,6.62094,6.6687965,-2.6153553
3754346785614,20-06-2022 14:48:52:074,6.5898337,6.649654,-2.4646072
3754347291395,20-06-2022 14:48:52:075,6.5252275,6.5946193,-2.3521447
3754348077645,20-06-2022 14:48:52:076,6.431907,6.5347986,-2.2372892
3754349312072,20-06-2022 14:48:52:077,6.4151573,6.5204415,-2.201397
3754349865666,20-06-2022 14:48:52:077,6.4295144,6.5659056,-2.2372892
3754350303999,20-06-2022 14:48:52:078,6.501299,6.570691,-2.3234308
3754357045041,20-06-2022 14:48:52:085,6.5659056,6.599405,-2.3521447
3754358098739,20-06-2022 14:48:52:086,6.6185474,6.613762,-2.4071796
3754373098739,20-06-2022 14:48:52:101,6.647261,6.6257257,-2.4502504
3754388098739,20-06-2022 14:48:52:116,6.6568327,6.5922265,-2.4717858
3754403098739,20-06-2022 14:48:52:131,6.6448684,6.558727,-2.4430718
3754417946343,20-06-2022 14:48:52:145,6.6281185,6.5635123,-2.4670002
3754418001916,20-06-2022 14:48:52:146,6.6305118,6.556334,-2.4502504
3754433001916,20-06-2022 14:48:52:161,6.62094,6.5539412,-2.4335005
3754448001916,20-06-2022 14:48:52:176,6.6089764,6.5850477,-2.4263222
3754462292124,20-06-2022 14:48:52:190,6.582655,6.65444,-2.400001
3754470523999,20-06-2022 14:48:52:198,6.556334,6.6711893,-2.376073
3754478810510,20-06-2022 14:48:52:206,6.5778694,6.680761,-2.388037
3754491373322,20-06-2022 14:48:52:219,6.606583,6.6257257,-2.37368
3754497204780,20-06-2022 14:48:52:225,6.623333,6.6041903,-2.3952155
3754510983791,20-06-2022 14:48:52:238,6.664011,6.599405,-2.4047868
3754525983791,20-06-2022 14:48:52:253,6.666404,6.6281185,-2.4071796
3754540983791,20-06-2022 14:48:52:268,6.690332,6.623333,-2.4143581
3754547083791,20-06-2022 14:48:52:275,6.7405815,6.65444,-2.4622145
3754547145614,20-06-2022 14:48:52:275,6.771688,6.664011,-2.5028925
3754547196447,20-06-2022 14:48:52:275,6.812366,6.647261,-2.5555346
3754547241760,20-06-2022 14:48:52:275,6.795616,6.6352973,-2.5268207
3754547286812,20-06-2022 14:48:52:275,6.795616,6.649654,-2.5028925
3754555555562,20-06-2022 14:48:52:283,6.7429743,6.664011,-2.400001
3754560797176,20-06-2022 14:48:52:288,6.73101,6.65444,-2.309074
3754570608374,20-06-2022 14:48:52:298,6.73101,6.6041903,-2.2755744
3754585608374,20-06-2022 14:48:52:313,6.735796,6.570691,-2.158326
3754599492541,20-06-2022 14:48:52:327,6.7764735,6.606583,-2.103291
3754599633947,20-06-2022 14:48:52:327,6.8315086,6.661618,-2.0578275
3754599685666,20-06-2022 14:48:52:327,6.884151,6.6927247,-2.050649
3754599735614,20-06-2022 14:48:52:327,6.991828,6.7022963,-2.0219352
3754599781030,20-06-2022 14:48:52:327,7.1425757,6.735796,-2.0027926
3754607258010,20-06-2022 14:48:52:335,7.322037,6.7764735,-1.9405792
3754610768114,20-06-2022 14:48:52:338,7.446464,6.788438,-1.8568304
3754623877385,20-06-2022 14:48:52:351,7.5589266,6.769295,-1.727618
3754623952020,20-06-2022 14:48:52:351,7.585248,6.6735826,-1.5433706
3754638952020,20-06-2022 14:48:52:366,7.570891,6.6281185,-1.3615161
