epoch,timestamp,x,y,z
4109081733656,20-06-2022 14:54:46:809,8.724232,6.250053,-2.7302105
4109096733656,20-06-2022 14:54:46:824,8.659625,6.364908,-2.8187451
4109111733656,20-06-2022 14:54:46:839,8.535198,6.4677997,-2.955136
4109126733656,20-06-2022 14:54:46:854,8.367701,6.558727,-2.9671001
4109141733656,20-06-2022 14:54:46:869,8.159525,6.580262,-2.9910283
4109156733656,20-06-2022 14:54:46:884,7.9369926,6.62094,-2.9718857
4109171733656,20-06-2022 14:54:46:899,7.752745,6.687939,-2.952743
4109186733656,20-06-2022 14:54:46:914,7.597212,6.7238317,-2.9336007
4109201733656,20-06-2022 14:54:46:929,7.4440713,6.6735826,-2.9192436
4109216733656,20-06-2022 14:54:46:944,7.2526455,6.5515485,-2.914458
4109231733656,20-06-2022 14:54:46:959,7.0540414,6.4151573,-2.9575288
4109246733656,20-06-2022 14:54:46:974,6.9056864,6.2979093,-2.926422
4109261733656,20-06-2022 14:54:46:989,6.8099732,6.257231,-2.8259234
4109276733656,20-06-2022 14:54:47:004,6.707082,6.3074803,-2.6775684
4109291733656,20-06-2022 14:54:47:019,6.5443697,6.398408,-2.5818555
4109306733656,20-06-2022 14:54:47:034,6.3720865,6.5228343,-2.507678
4109321733656,20-06-2022 14:54:47:049,6.1567326,6.678368,-2.5004997
4109336733656,20-06-2022 14:54:47:064,5.9916277,6.7094746,-2.5387847
4109351733656,20-06-2022 14:54:47:079,5.85763,6.6735826,-2.5507488
4109358643395,20-06-2022 14:54:47:086,5.879165,6.6592255,-2.5124638
4109358692301,20-06-2022 14:54:47:086,5.8911295,6.7094746,-2.6536403
4109358742197,20-06-2022 14:54:47:086,5.9724855,6.8506513,-2.900101
4109373742197,20-06-2022 14:54:47:101,6.0418773,7.0301127,-3.1106694
4109388742197,20-06-2022 14:54:47:116,6.1495543,7.2382884,-3.2925239
4109403742197,20-06-2022 14:54:47:131,6.1591253,7.4177504,-3.385844
4109408284489,20-06-2022 14:54:47:136,6.161518,7.389036,-3.3020952
4109408334905,20-06-2022 14:54:47:136,6.218946,7.3196445,-3.330809
4109408385166,20-06-2022 14:54:47:136,6.3338017,7.2765737,-3.3212378
4109409872926,20-06-2022 14:54:47:137,6.5682983,7.350751,-3.35713
4109424872926,20-06-2022 14:54:47:152,6.893722,7.4656067,-3.641876
4109439872926,20-06-2022 14:54:47:167,7.365108,7.587641,-3.9361932
4109446369958,20-06-2022 14:54:47:174,7.8963146,7.6402826,-4.338187
4109446444020,20-06-2022 14:54:47:174,8.4682,7.568498,-4.5918264
4109446488916,20-06-2022 14:54:47:174,8.999406,7.396215,-4.520042
4109460205687,20-06-2022 14:54:47:188,9.293723,7.1449685,-4.2711883
4109466155374,20-06-2022 14:54:47:194,9.348758,6.9152575,-4.0965123
4109475702926,20-06-2022 14:54:47:203,9.298509,6.6448684,-3.9338005
4109486021832,20-06-2022 14:54:47:214,9.30808,6.422336,-3.6131623
4109501021832,20-06-2022 14:54:47:229,9.250652,6.2811594,-3.1274192
4109516021832,20-06-2022 14:54:47:244,8.913264,6.15434,-2.4478576
4109526656728,20-06-2022 14:54:47:254,8.355737,6.0155563,-1.6079768
4109541656728,20-06-2022 14:54:47:269,7.5756764,5.9246287,-0.6843473
4109546954853,20-06-2022 14:54:47:274,6.721439,5.7858453,0.20578274
4109561954853,20-06-2022 14:54:47:289,6.0394845,5.663811,1.0576276
4109566238395,20-06-2022 14:54:47:294,5.5657053,5.517849,1.7300107
4109581238395,20-06-2022 14:54:47:309,5.393422,5.4412785,2.3665016
4109584882770,20-06-2022 14:54:47:312,5.2642097,5.345566,2.9336007
4109599882770,20-06-2022 14:54:47:327,5.089534,5.1589255,3.5413775
4109610644176,20-06-2022 14:54:47:338,4.7976093,4.991428,4.098905
4109623025687,20-06-2022 14:54:47:351,4.5822554,4.8789654,4.6205406
4109625775999,20-06-2022 14:54:47:353,4.534399,4.7688956,5.0847483
4109635372405,20-06-2022 14:54:47:363,4.5320063,4.4817567,5.393422
4109638105166,20-06-2022 14:54:47:366,4.5918264,4.0271206,5.6279187
4109640466260,20-06-2022 14:54:47:368,4.7114677,3.5820556,5.7547383
4109643842457,20-06-2022 14:54:47:371,4.87418,3.1513474,5.994021
4109650441832,20-06-2022 14:54:47:378,5.0273204,2.6919255,6.1495543
4109652885270,20-06-2022 14:54:47:380,5.24746,2.3353949,6.3218374
4109655343603,20-06-2022 14:54:47:383,5.608776,2.1798615,6.4031935
4109657668760,20-06-2022 14:54:47:385,6.0418773,2.3042881,6.4008007
4109660008551,20-06-2022 14:54:47:388,6.4366927,2.6871397,6.2883377
4109675008551,20-06-2022 14:54:47:403,6.6185474,3.2757742,6.099305
4109682340635,20-06-2022 14:54:47:410,6.6161547,4.0271206,5.7260246
4109686671520,20-06-2022 14:54:47:414,6.5659056,4.9268217,5.2666025
4109689295791,20-06-2022 14:54:47:417,6.6017976,5.812166,4.7569313
4109691575426,20-06-2022 14:54:47:419,6.759724,6.5635123,4.1898327
4109693924384,20-06-2022 14:54:47:421,6.9009004,7.1712894,3.751946
4109697475270,20-06-2022 14:54:47:425,6.9535427,7.570891,3.4121652
4109699903707,20-06-2022 14:54:47:427,6.8339014,7.8556366,3.3236306
4109702204593,20-06-2022 14:54:47:430,6.5682983,8.063812,3.1633115
4109704552093,20-06-2022 14:54:47:432,6.3338017,8.185846,2.8761728
4109711446312,20-06-2022 14:54:47:439,6.276374,8.269595,2.5435705
4109726446312,20-06-2022 14:54:47:454,6.3768725,8.267202,2.2444677
4109737314437,20-06-2022 14:54:47:465,6.4558353,8.2456665,2.0458634
4109752314437,20-06-2022 14:54:47:480,6.290731,8.2049885,1.9980069
4109767314437,20-06-2022 14:54:47:495,6.005985,8.090134,1.9142581
4109782314437,20-06-2022 14:54:47:510,5.6853466,7.9369926,1.8951155
4109797314437,20-06-2022 14:54:47:525,5.5393844,7.7120676,2.012364
4109812314437,20-06-2022 14:54:47:540,5.508278,7.348358,2.1224337
4109827314437,20-06-2022 14:54:47:555,5.5369916,6.908079,2.3401806
4109842314437,20-06-2022 14:54:47:570,5.548956,6.448657,2.6105695
4109857314437,20-06-2022 14:54:47:585,5.395815,6.13759,2.8594232
4109872314437,20-06-2022 14:54:47:600,5.2019963,5.905486,3.1657043
4109887314437,20-06-2022 14:54:47:615,4.9531426,5.6949177,3.2350962
4109902314437,20-06-2022 14:54:47:630,4.706682,5.345566,3.196811
4109917314437,20-06-2022 14:54:47:645,4.6037908,5.1421757,3.4408789
4109932314437,20-06-2022 14:54:47:660,4.651647,5.144569,3.5605202
4109947314437,20-06-2022 14:54:47:675,4.7856455,5.316852,3.644269
4109962314437,20-06-2022 14:54:47:690,4.948357,5.5633125,3.7088752
