epoch,timestamp,x,y,z
3115498347658,20-06-2022 16:02:33:716,0.46660042,-0.05742774,9.822537
3115513347658,20-06-2022 16:02:33:731,0.485743,-0.148355,9.839287
3115528347658,20-06-2022 16:02:33:746,0.4977071,-0.2440679,9.932607
3115530362970,20-06-2022 16:02:33:748,0.4953143,-0.31345975,10.004392
3115531036772,20-06-2022 16:02:33:749,0.4881358,-0.35413775,10.01157
3115539644637,20-06-2022 16:02:33:757,0.49052864,-0.35174492,9.997213
3115553511981,20-06-2022 16:02:33:771,0.28713873,-0.15792629,9.389436
3115555077970,20-06-2022 16:02:33:773,-0.27517462,0.6053841,10.01157
3115564751095,20-06-2022 16:02:33:782,-0.37328035,0.91884387,9.664611
3115573820887,20-06-2022 16:02:33:791,0.0047856453,0.65084773,9.934999
3115588820887,20-06-2022 16:02:33:806,0.38524446,0.050249275,10.0163555
3115601832554,20-06-2022 16:02:33:819,0.6580262,-0.55513483,10.083355
3115602316824,20-06-2022 16:02:33:820,0.48095736,-1.1892328,10.195817
3115612215314,20-06-2022 16:02:33:830,-0.16510476,-0.44985065,10.499705
3115620371304,20-06-2022 16:02:33:838,-0.33020952,0.19860429,10.329815
3115630461981,20-06-2022 16:02:33:848,-0.19142582,1.430908,9.8321085
3115640750627,20-06-2022 16:02:33:858,0.06699903,3.1345978,10.04507
3115655750627,20-06-2022 16:02:33:873,0.64845496,4.1898327,10.356136
3115664851043,20-06-2022 16:02:33:882,1.282553,4.091727,10.147961
3115672537866,20-06-2022 16:02:33:890,1.727618,3.0747771,9.561719
3115681424637,20-06-2022 16:02:33:899,2.1296122,2.0219352,9.269794
3115692206772,20-06-2022 16:02:33:910,2.199004,1.430908,9.140582
3115707206772,20-06-2022 16:02:33:925,1.9405792,1.1772687,9.250652
3115722206772,20-06-2022 16:02:33:940,1.5194423,0.9762716,9.401401
3115737206772,20-06-2022 16:02:33:955,1.1246266,0.72741807,9.600004
3115750044064,20-06-2022 16:02:33:968,0.85184485,0.45224348,9.772287
3115750108335,20-06-2022 16:02:33:968,0.6364908,0.16031912,9.887143
3115765108335,20-06-2022 16:02:33:983,0.44506502,-0.19142582,9.990034
3115780108335,20-06-2022 16:02:33:998,0.29910284,-0.5599205,10.073783
3115790901147,20-06-2022 16:02:34:008,0.16271193,-0.87338024,10.042677
3115790955158,20-06-2022 16:02:34:008,0.05503492,-1.0839486,9.966106
3115791003960,20-06-2022 16:02:34:009,-0.0023928226,-1.1581261,9.889536
3115806003960,20-06-2022 16:02:34:024,-0.011964113,-1.160519,9.815358
3115812851095,20-06-2022 16:02:34:030,0.11724831,-1.18684,9.769895
3115827851095,20-06-2022 16:02:34:045,0.2440679,-1.1724831,9.650253
3115830058699,20-06-2022 16:02:34:048,0.32063824,-0.9954142,9.60479
3115845058699,20-06-2022 16:02:34:063,0.38524446,-0.7920243,9.640682
3115848911304,20-06-2022 16:02:34:066,0.4881358,-0.634098,9.690931
3115862170731,20-06-2022 16:02:34:080,0.51445687,-0.4642076,9.690931
3115876565262,20-06-2022 16:02:34:094,0.56470615,-0.28953153,9.676575
3115881527814,20-06-2022 16:02:34:099,0.5383851,-0.11485548,9.614362
3115896527814,20-06-2022 16:02:34:114,0.48095736,-0.0071784677,9.60479
3115911527814,20-06-2022 16:02:34:129,0.4833502,0.040677983,9.611969
3115926527814,20-06-2022 16:02:34:144,0.5096712,-0.009571291,9.712467
3115941527814,20-06-2022 16:02:34:159,0.46660042,-0.038285162,9.796216
3115944090522,20-06-2022 16:02:34:162,0.43788654,0.13399807,9.844072
3115944136043,20-06-2022 16:02:34:162,0.43788654,0.4139583,9.870394
3115958954324,20-06-2022 16:02:34:176,0.55752766,0.7393822,9.875179
3115973954324,20-06-2022 16:02:34:191,0.61734825,0.83988076,9.879965
3115988954324,20-06-2022 16:02:34:206,0.64606214,0.71306115,9.877572
3116002083491,20-06-2022 16:02:34:220,0.63888365,0.6364908,9.846465
3116002131199,20-06-2022 16:02:34:220,0.6149554,0.5766702,9.844072
3116016198022,20-06-2022 16:02:34:234,0.5838487,0.42592242,9.877572
3116016260470,20-06-2022 16:02:34:234,0.57188463,0.2847459,9.906285
3116016309376,20-06-2022 16:02:34:234,0.5407779,0.1268196,9.889536
3116031309376,20-06-2022 16:02:34:249,0.5024927,-0.033499517,9.868001
3116040667658,20-06-2022 16:02:34:258,0.4354937,-0.1698904,9.860822
3116050671095,20-06-2022 16:02:34:268,0.3804588,-0.23688944,9.836894
3116061288335,20-06-2022 16:02:34:279,0.36131623,-0.32542387,9.803394
3116069570574,20-06-2022 16:02:34:287,0.3397808,-0.5694918,9.836894
3116084570574,20-06-2022 16:02:34:302,0.3182454,-0.7800602,10.001999
3116099570574,20-06-2022 16:02:34:317,0.27756742,-0.6723832,10.07139
3116114570574,20-06-2022 16:02:34:332,0.3589234,-0.14356937,10.004392
3116129570574,20-06-2022 16:02:34:347,0.44506502,0.33020952,9.848858
3116144570574,20-06-2022 16:02:34:362,0.4953143,0.7752745,9.755538
3116159570574,20-06-2022 16:02:34:377,0.5096712,1.0624132,9.722038
3116172021095,20-06-2022 16:02:34:390,0.54317075,1.038485,9.779466
3116172071251,20-06-2022 16:02:34:390,0.5599205,0.8039884,9.827323
3116172122137,20-06-2022 16:02:34:390,0.55034924,0.5694918,9.817751
3116172168647,20-06-2022 16:02:34:390,0.5072784,0.45702913,9.801002
3116180369741,20-06-2022 16:02:34:398,0.44506502,0.4977071,9.784252
3116191444897,20-06-2022 16:02:34:409,0.44506502,0.5766702,9.760324
3116205786928,20-06-2022 16:02:34:423,0.46660042,0.63170516,9.777073
3116208620939,20-06-2022 16:02:34:426,0.4953143,0.60777694,9.851251
3116223620939,20-06-2022 16:02:34:441,0.5072784,0.44985065,9.882358
3116238620939,20-06-2022 16:02:34:456,0.50488555,0.2727818,9.899107
3116240314533,20-06-2022 16:02:34:458,0.44745782,0.13160525,9.896714
3116255314533,20-06-2022 16:02:34:473,0.50488555,-0.021535404,9.84168
3116270053283,20-06-2022 16:02:34:488,0.5096712,-0.08853444,9.858429
3116270102293,20-06-2022 16:02:34:488,0.43070808,0.0023928226,9.875179
3116282168439,20-06-2022 16:02:34:500,0.4546363,0.16271193,9.8321085
3116297168439,20-06-2022 16:02:34:515,0.46181476,0.24646074,9.815358
3116312168439,20-06-2022 16:02:34:530,0.44985065,0.22731815,9.829716
3116326926980,20-06-2022 16:02:34:544,0.4833502,0.22731815,9.856036
3116327034689,20-06-2022 16:02:34:545,0.50488555,0.20578274,9.913465
3116327085574,20-06-2022 16:02:34:545,0.526421,0.1794617,9.908679
3116339571460,20-06-2022 16:02:34:557,0.47856453,0.2105684,9.899107
3116354571460,20-06-2022 16:02:34:572,0.46660042,0.40438703,9.889536
3116359868960,20-06-2022 16:02:34:577,0.526421,0.4211368,9.760324
3116374868960,20-06-2022 16:02:34:592,0.44745782,0.22013968,9.786645
3116389868960,20-06-2022 16:02:34:607,0.44506502,0.040677983,9.757931
3116404868960,20-06-2022 16:02:34:622,0.44985065,-0.21774685,9.851251
3116412080314,20-06-2022 16:02:34:630,0.44745782,-0.33499518,9.91825
3116420819376,20-06-2022 16:02:34:638,0.44506502,-0.32303107,9.913465
3116428701408,20-06-2022 16:02:34:646,0.45702913,-0.19621146,9.870394
3116438582397,20-06-2022 16:02:34:656,0.43788654,-0.043070808,9.820144
3116442100210,20-06-2022 16:02:34:660,0.47856453,0.13160525,9.812965
3116445017553,20-06-2022 16:02:34:663,0.53359944,0.19621146,9.817751
3116460017553,20-06-2022 16:02:34:678,0.5407779,0.20817557,9.82493
3116465448595,20-06-2022 16:02:34:683,0.5288138,0.15074782,9.865608
3116480448595,20-06-2022 16:02:34:698,0.52163535,0.09092726,9.865608
3116495448595,20-06-2022 16:02:34:713,0.43788654,0.047856454,9.865608
3116510448595,20-06-2022 16:02:34:728,0.4331009,0.040677983,9.882358
3116525448595,20-06-2022 16:02:34:743,0.41874397,0.086141616,9.875179
3116540448595,20-06-2022 16:02:34:758,0.39960137,0.09092726,9.860822
3116555448595,20-06-2022 16:02:34:773,0.43070808,0.11485548,9.8727865
3116556586147,20-06-2022 16:02:34:774,0.45942193,0.124426775,9.858429
3116556634845,20-06-2022 16:02:34:774,0.43788654,0.0741775,9.839287
3116556726668,20-06-2022 16:02:34:774,0.44745782,0.0526421,9.84168
3116571726668,20-06-2022 16:02:34:789,0.4235296,0.059820566,9.846465
3116586726668,20-06-2022 16:02:34:804,0.4211368,0.069391854,9.853643
3116601390522,20-06-2022 16:02:34:819,0.44027936,0.07178468,9.84168
3116601436251,20-06-2022 16:02:34:819,0.43788654,0.09332009,9.844072
3116601484168,20-06-2022 16:02:34:819,0.46660042,0.076570325,9.836894
3116616484168,20-06-2022 16:02:34:834,0.45702913,0.076570325,9.856036
3116620393960,20-06-2022 16:02:34:838,0.44745782,0.06460621,9.889536
3116634259637,20-06-2022 16:02:34:852,0.44985065,0.03589234,9.853643
3116642838960,20-06-2022 16:02:34:860,0.43788654,0.038285162,9.860822
3116651188855,20-06-2022 16:02:34:869,0.44027936,0.05742774,9.839287
3116664538595,20-06-2022 16:02:34:882,0.4235296,0.06460621,9.848858
3116679538595,20-06-2022 16:02:34:897,0.45942193,0.05503492,9.834501
3116694538595,20-06-2022 16:02:34:912,0.4546363,0.033499517,9.846465
3116703835522,20-06-2022 16:02:34:921,0.4642076,0.0526421,9.829716
3116703884064,20-06-2022 16:02:34:921,0.4881358,0.038285162,9.844072
3116718884064,20-06-2022 16:02:34:936,0.4953143,0.021535404,9.853643
3116721676772,20-06-2022 16:02:34:939,0.48095736,0.033499517,9.836894
3116731819012,20-06-2022 16:02:34:949,0.48095736,0.040677983,9.853643
3116746819012,20-06-2022 16:02:34:964,0.50488555,0.07178468,9.853643
3116761819012,20-06-2022 16:02:34:979,0.4977071,0.08135597,9.820144
3116770731564,20-06-2022 16:02:34:988,0.46899325,0.09092726,9.820144
3116770779428,20-06-2022 16:02:34:988,0.46899325,0.09092726,9.827323
3116785779428,20-06-2022 16:02:35:003,0.46660042,0.0741775,9.827323
3116800779428,20-06-2022 16:02:35:018,0.4977071,0.06699903,9.8321085
3116802324793,20-06-2022 16:02:35:020,0.50009996,0.038285162,9.820144
3116808254064,20-06-2022 16:02:35:026,0.50488555,0.07178468,9.810573
3116823254064,20-06-2022 16:02:35:041,0.5024927,0.06699903,9.82493
3116830463439,20-06-2022 16:02:35:048,0.5096712,0.09332009,9.875179
3116840977137,20-06-2022 16:02:35:058,0.5312066,0.13399807,9.829716
3116850646459,20-06-2022 16:02:35:068,0.47377887,0.062213387,9.815358
3116859191928,20-06-2022 16:02:35:077,0.4354937,-0.009571291,9.868001
3116874191928,20-06-2022 16:02:35:092,0.44985065,-0.038285162,9.946963
3116881894689,20-06-2022 16:02:35:099,0.49052864,-0.047856454,9.920643
3116885986303,20-06-2022 16:02:35:103,0.41874397,-0.014356935,9.875179
3116900986303,20-06-2022 16:02:35:118,0.43788654,0.038285162,9.858429
3116915986303,20-06-2022 16:02:35:133,0.45702913,0.10049855,9.839287
3116922849480,20-06-2022 16:02:35:140,0.44027936,0.11485548,9.8321085
3116928601303,20-06-2022 16:02:35:146,0.44985065,0.09810573,9.848858
3116939210834,20-06-2022 16:02:35:157,0.45224348,0.06699903,9.851251
3116954210834,20-06-2022 16:02:35:172,0.4642076,0.016749758,9.853643
3116960717814,20-06-2022 16:02:35:178,0.48095736,0.019142581,9.846465
3116975717814,20-06-2022 16:02:35:193,0.4833502,0.016749758,9.848858
3116990717814,20-06-2022 16:02:35:208,0.4761717,0.04546363,9.829716
3116993633386,20-06-2022 16:02:35:211,0.47856453,0.047856454,9.848858
3117004285991,20-06-2022 16:02:35:222,0.485743,0.0741775,9.829716
3117019285991,20-06-2022 16:02:35:237,0.485743,0.08853444,9.829716
3117032239949,20-06-2022 16:02:35:250,0.48095736,0.0741775,9.844072
3117032703907,20-06-2022 16:02:35:250,0.49052864,0.05742774,9.817751
3117047703907,20-06-2022 16:02:35:265,0.4833502,0.047856454,9.829716
3117062703907,20-06-2022 16:02:35:280,0.49052864,0.023928227,9.839287
3117077703907,20-06-2022 16:02:35:295,0.48095736,0.0,9.829716
3117092703907,20-06-2022 16:02:35:310,0.4833502,0.016749758,9.84168
3117107703907,20-06-2022 16:02:35:325,0.49052864,0.033499517,9.865608
3117109702084,20-06-2022 16:02:35:327,0.47377887,0.02871387,9.8727865
3117119148230,20-06-2022 16:02:35:337,0.4833502,0.07178468,9.858429
3117123284532,20-06-2022 16:02:35:341,0.51206404,0.0526421,9.868001
3117123352605,20-06-2022 16:02:35:341,0.5024927,0.011964113,9.870394
3117123401563,20-06-2022 16:02:35:341,0.47856453,0.033499517,9.860822
3117134379220,20-06-2022 16:02:35:352,0.4833502,0.033499517,9.839287
3117148921772,20-06-2022 16:02:35:366,0.47377887,0.033499517,9.827323
3117163921772,20-06-2022 16:02:35:381,0.47138608,0.050249275,9.856036
3117166521824,20-06-2022 16:02:35:384,0.49292147,0.083748795,9.846465
3117181521824,20-06-2022 16:02:35:399,0.5024927,0.078963146,9.836894
3117194075209,20-06-2022 16:02:35:412,0.5024927,0.069391854,9.846465
3117194125261,20-06-2022 16:02:35:412,0.5072784,0.078963146,9.8632145
3117202073334,20-06-2022 16:02:35:420,0.48095736,0.047856454,9.839287
3117214029063,20-06-2022 16:02:35:432,0.47377887,0.14356937,9.789038
3117229029063,20-06-2022 16:02:35:447,0.5312066,0.10289137,9.789038
3117237571563,20-06-2022 16:02:35:455,0.44027936,0.047856454,9.844072
3117252571563,20-06-2022 16:02:35:470,0.43070808,-0.0071784677,9.896714
3117256342188,20-06-2022 16:02:35:474,0.45942193,-0.023928227,9.879965
3117261862813,20-06-2022 16:02:35:479,0.46899325,-0.016749758,9.88475
3117276862813,20-06-2022 16:02:35:494,0.4761717,-0.0047856453,9.856036
3117291862813,20-06-2022 16:02:35:509,0.47856453,0.04546363,9.836894
3117301971199,20-06-2022 16:02:35:519,0.49052864,0.11246266,9.82493
3117316971199,20-06-2022 16:02:35:534,0.4953143,0.1268196,9.848858
3117318348334,20-06-2022 16:02:35:536,0.47377887,0.086141616,9.868001
3117332742553,20-06-2022 16:02:35:550,0.46181476,0.083748795,9.868001
3117347258803,20-06-2022 16:02:35:565,0.45942193,0.059820566,9.8632145
3117362258803,20-06-2022 16:02:35:580,0.45224348,0.05503492,9.896714
3117377258803,20-06-2022 16:02:35:595,0.4833502,0.040677983,9.896714
3117382158959,20-06-2022 16:02:35:600,0.4953143,0.038285162,9.877572
3117397158959,20-06-2022 16:02:35:615,0.47856453,0.050249275,9.875179
3117412158959,20-06-2022 16:02:35:630,0.49292147,0.062213387,9.870394
3117423957657,20-06-2022 16:02:35:641,0.5024927,0.05742774,9.868001
3117424424532,20-06-2022 16:02:35:642,0.49052864,0.050249275,9.860822
3117424868751,20-06-2022 16:02:35:642,0.47856453,0.06460621,9.877572
3117425311355,20-06-2022 16:02:35:643,0.4881358,0.047856454,9.906285
3117440311355,20-06-2022 16:02:35:658,0.4881358,0.043070808,9.930214
3117447064011,20-06-2022 16:02:35:665,0.49292147,0.1698904,9.891929
3117449811251,20-06-2022 16:02:35:667,0.59342,0.10767702,9.980463
3117464811251,20-06-2022 16:02:35:682,0.64845496,0.1052842,10.243673
3117477018751,20-06-2022 16:02:35:695,0.8470592,0.29910284,10.798809
3117492018751,20-06-2022 16:02:35:710,1.2897314,0.66759753,10.939985
3117504211199,20-06-2022 16:02:35:722,1.5840486,1.2370893,11.021341
3117519211199,20-06-2022 16:02:35:737,1.6701902,1.5577276,9.946963
3117530892136,20-06-2022 16:02:35:748,1.68694,0.67477596,9.896714
3117533445626,20-06-2022 16:02:35:751,1.4500505,-0.99302137,9.5665045
3117534262293,20-06-2022 16:02:35:752,1.1533405,-2.2851455,9.513863
3117544634324,20-06-2022 16:02:35:762,0.6580262,-3.5174494,9.300901
3117549087761,20-06-2022 16:02:35:767,0.083748795,-4.9866424,9.157332
3117564087761,20-06-2022 16:02:35:782,-0.49292147,-6.2668023,8.956335
3117579087761,20-06-2022 16:02:35:797,-0.7968099,-6.8458657,8.927621
3117594087761,20-06-2022 16:02:35:812,-0.91884387,-6.62094,8.99462
