epoch,timestamp,x,y,z
3119831892292,20-06-2022 16:02:38:049,0.034191113,0.028085556,0.16118668
3119846892292,20-06-2022 16:02:38:064,0.10135223,0.054950003,0.2759711
3119861892292,20-06-2022 16:02:38:079,0.13676445,0.081814446,0.37854445
3119876892292,20-06-2022 16:02:38:094,0.05006556,0.12211112,0.38831335
3119890457708,20-06-2022 16:02:38:108,-0.21369445,0.18683001,0.37976557
3119890506823,20-06-2022 16:02:38:108,-0.54950005,0.2735289,0.47257003
3119890565104,20-06-2022 16:02:38:108,-0.8547778,0.32481557,0.6557367
3119905163594,20-06-2022 16:02:38:123,-1.1478444,0.39808223,0.8486723
3119905224844,20-06-2022 16:02:38:123,-1.3420012,0.45181113,1.0135223
3119920224844,20-06-2022 16:02:38:138,-1.6472789,0.4041878,1.2211112
3119927718854,20-06-2022 16:02:38:145,-1.9940746,0.39075556,1.4213734
3119937472448,20-06-2022 16:02:38:155,-1.9256923,0.35412225,1.6314045
3119945035312,20-06-2022 16:02:38:163,-1.5776756,0.20270446,1.7144401
3119960035312,20-06-2022 16:02:38:178,-1.1148745,0.09280445,1.7205456
3119974069635,20-06-2022 16:02:38:192,-0.9915423,0.03297,1.7681689
3119978834271,20-06-2022 16:02:38:196,-1.185699,0.019537779,1.9281346
3119984635781,20-06-2022 16:02:38:202,-1.2003523,-0.06349778,2.1809046
3119995365521,20-06-2022 16:02:38:213,-0.8095967,-0.11966889,2.316448
3120010365521,20-06-2022 16:02:38:228,-0.3834289,-0.1746189,2.2761512
3120025365521,20-06-2022 16:02:38:243,-0.05617111,-0.19293556,2.2028844
3120040365521,20-06-2022 16:02:38:258,0.046402223,-0.19049335,2.1699145
3120055365521,20-06-2022 16:02:38:273,0.09402556,-0.16607112,2.1454923
3120069911614,20-06-2022 16:02:38:287,0.18927222,-0.17584,2.1161857
3120074355521,20-06-2022 16:02:38:292,0.36267,-0.1856089,2.0661201
3120074841614,20-06-2022 16:02:38:292,0.59590226,-0.19537778,1.9830846
3120075312812,20-06-2022 16:02:38:293,0.88042116,-0.17095557,1.8829534
3120081360677,20-06-2022 16:02:38:299,1.06603,-0.17706113,1.8231189
3120096360677,20-06-2022 16:02:38:314,1.1014422,-0.18438779,1.7986968
3120105711562,20-06-2022 16:02:38:323,1.1881411,-0.16973445,1.6851335
3120120711562,20-06-2022 16:02:38:338,1.2369856,-0.13432223,1.4873134
3120132701042,20-06-2022 16:02:38:350,1.2382067,-0.12577444,1.24187
3120132758281,20-06-2022 16:02:38:350,1.5276101,-0.14531223,0.8230289
3120147758281,20-06-2022 16:02:38:365,1.5911078,-0.14287001,0.33214223
3120155449479,20-06-2022 16:02:38:373,1.0880101,-0.06594,0.047623336
3120165783021,20-06-2022 16:02:38:383,0.5104245,-0.045181114,-0.11600556
3120175891302,20-06-2022 16:02:38:393,-0.024422223,-0.0012211112,-0.12089001
3120184991562,20-06-2022 16:02:38:402,-0.5678167,-0.0048844446,0.10013112
3120199991562,20-06-2022 16:02:38:417,-0.40174556,-0.036633335,0.2075889
3120214991562,20-06-2022 16:02:38:432,0.22712667,-0.07448778,0.078151114
3120229991562,20-06-2022 16:02:38:447,0.66062117,-0.11234222,-0.070824444
3120240008750,20-06-2022 16:02:38:458,0.81448114,-0.13554333,-0.089141116
3120243109323,20-06-2022 16:02:38:461,0.7668578,-0.16973445,-0.024422223
3120243230989,20-06-2022 16:02:38:461,0.5873545,-0.20026223,0.029306669
3120249729583,20-06-2022 16:02:38:467,0.37976557,-0.21003112,0.018316668
3120263913437,20-06-2022 16:02:38:481,0.13676445,-0.19782001,-0.013432222
3120269514583,20-06-2022 16:02:38:487,-0.13798556,-0.18072446,-0.04029667
3120284514583,20-06-2022 16:02:38:502,-0.41273558,-0.16240779,-0.06960334
3120299514583,20-06-2022 16:02:38:517,-0.6068922,-0.12821667,-0.07570889
3120309270729,20-06-2022 16:02:38:527,-0.6032289,-0.08792,-0.06105556
3120313461146,20-06-2022 16:02:38:531,-0.4371578,-0.068382226,-0.02198
3120318808437,20-06-2022 16:02:38:536,-0.21369445,-0.064718895,-0.0061055557
3120333808437,20-06-2022 16:02:38:551,-0.024422223,-0.06594,-0.029306669
3120348808437,20-06-2022 16:02:38:566,0.05372889,-0.05372889,-0.05617111
3120361155521,20-06-2022 16:02:38:579,0.015874445,-0.046402223,-0.06594
3120362985260,20-06-2022 16:02:38:580,-0.045181114,-0.035412222,-0.039075557
3120377985260,20-06-2022 16:02:38:595,-0.037854444,-0.03297,-0.02075889
3120392985260,20-06-2022 16:02:38:610,0.014653334,-0.028085556,-0.018316668
3120407985260,20-06-2022 16:02:38:625,0.064718895,-0.034191113,-0.026864445
3120422985260,20-06-2022 16:02:38:640,0.11600556,-0.039075557,-0.04029667
3120424702448,20-06-2022 16:02:38:642,0.13188,-0.04029667,-0.039075557
3120439702448,20-06-2022 16:02:38:657,0.12455334,-0.036633335,-0.03297
3120440585000,20-06-2022 16:02:38:658,0.09524667,-0.03052778,-0.024422223
3120441055937,20-06-2022 16:02:38:659,0.06349778,-0.026864445,-0.025643334
3120454917968,20-06-2022 16:02:38:672,0.051286668,-0.02075889,-0.023201112
3120469917968,20-06-2022 16:02:38:687,0.047623336,-0.009768889,-0.028085556
3120484396146,20-06-2022 16:02:38:702,0.05250778,-0.0061055557,-0.024422223
3120499396146,20-06-2022 16:02:38:717,0.07448778,-0.0036633336,-0.028085556
3120514396146,20-06-2022 16:02:38:732,0.10867889,-0.0036633336,-0.025643334
3120529396146,20-06-2022 16:02:38:747,0.13798556,-0.0036633336,-0.023201112
3120544396146,20-06-2022 16:02:38:762,0.17217667,-0.0061055557,-0.012211111
3120559396146,20-06-2022 16:02:38:777,0.18805112,-0.007326667,-0.009768889
3120574396146,20-06-2022 16:02:38:792,0.16240779,-0.0036633336,-0.008547778
3120578262031,20-06-2022 16:02:38:796,0.08303556,-0.0036633336,-0.01099
3120579045677,20-06-2022 16:02:38:797,0.019537779,0.0,-0.015874445
3120581571198,20-06-2022 16:02:38:799,0.012211111,-0.0024422223,-0.01099
3120582107760,20-06-2022 16:02:38:800,0.045181114,0.0,-0.0048844446
3120582890573,20-06-2022 16:02:38:800,0.08425667,-0.0048844446,-0.009768889
3120586169010,20-06-2022 16:02:38:804,0.10745778,-0.008547778,-0.007326667
3120598195312,20-06-2022 16:02:38:816,0.09524667,-0.007326667,-0.007326667
3120613015156,20-06-2022 16:02:38:831,0.081814446,-0.009768889,-0.0012211112
3120628015156,20-06-2022 16:02:38:846,0.07448778,-0.007326667,0.0061055557
3120635539948,20-06-2022 16:02:38:853,0.08059334,-0.007326667,0.0
3120646967552,20-06-2022 16:02:38:864,0.08669889,-0.0061055557,-0.0012211112
3120648884635,20-06-2022 16:02:38:866,0.08059334,-0.008547778,0.0012211112
3120663884635,20-06-2022 16:02:38:881,0.10013112,-0.05372889,0.0012211112
3120678884635,20-06-2022 16:02:38:896,0.18927222,-0.015874445,-0.0024422223
3120693884635,20-06-2022 16:02:38:911,0.06105556,-0.014653334,-0.025643334
3120708884635,20-06-2022 16:02:38:926,-0.07326667,-0.012211111,-0.02075889
3120723884635,20-06-2022 16:02:38:941,-0.13798556,-0.01099,-0.0036633336
3120730720781,20-06-2022 16:02:38:948,-0.070824444,-0.007326667,0.018316668
3120730788177,20-06-2022 16:02:38:948,0.06105556,-0.0036633336,0.03174889
3120730839479,20-06-2022 16:02:38:948,0.13432223,-0.0048844446,0.026864445
3120745839479,20-06-2022 16:02:38:963,0.10867889,-0.0036633336,0.0061055557
3120749645416,20-06-2022 16:02:38:967,0.035412222,-0.007326667,-0.007326667
3120764645416,20-06-2022 16:02:38:982,-0.017095556,-0.008547778,0.0036633336
3120779013906,20-06-2022 16:02:38:997,-0.036633335,-0.0036633336,0.014653334
3120784232083,20-06-2022 16:02:39:002,-0.026864445,-0.0012211112,0.024422223
3120799232083,20-06-2022 16:02:39:017,-0.014653334,-0.0048844446,0.017095556
3120814232083,20-06-2022 16:02:39:032,-0.009768889,-0.0061055557,0.0061055557
3120829232083,20-06-2022 16:02:39:047,-0.012211111,-0.0061055557,0.007326667
3120844232083,20-06-2022 16:02:39:062,-0.007326667,0.0,0.009768889
3120854997968,20-06-2022 16:02:39:072,0.015874445,-0.007326667,0.018316668
3120869997968,20-06-2022 16:02:39:087,0.05372889,-0.007326667,0.015874445
3120884997968,20-06-2022 16:02:39:102,0.07693,-0.0061055557,0.014653334
3120885465260,20-06-2022 16:02:39:103,0.09036223,-0.028085556,0.014653334
3120885516562,20-06-2022 16:02:39:103,0.13920668,-0.02075889,0.008547778
3120885564531,20-06-2022 16:02:39:103,0.08425667,-0.0012211112,0.012211111
3120900564531,20-06-2022 16:02:39:118,-0.0024422223,-0.014653334,0.0024422223
3120915564531,20-06-2022 16:02:39:133,-0.03297,-0.0048844446,-0.013432222
3120930564531,20-06-2022 16:02:39:148,0.05372889,0.019537779,-0.0048844446
3120945564531,20-06-2022 16:02:39:163,0.09280445,0.046402223,0.026864445
3120959918854,20-06-2022 16:02:39:177,0.09524667,0.015874445,0.058613338
3120960473229,20-06-2022 16:02:39:178,0.059834447,-0.02075889,0.03174889
3120961004687,20-06-2022 16:02:39:179,0.03297,-0.019537779,-0.0061055557
3120961706510,20-06-2022 16:02:39:179,0.009768889,0.007326667,-0.0048844446
3120970880781,20-06-2022 16:02:39:188,0.013432222,0.017095556,0.019537779
3120974900572,20-06-2022 16:02:39:192,0.018316668,-0.0012211112,0.034191113
3120982070312,20-06-2022 16:02:39:200,0.015874445,-0.007326667,0.017095556
3120997070312,20-06-2022 16:02:39:215,0.014653334,-0.0061055557,0.007326667
3121012070312,20-06-2022 16:02:39:230,0.009768889,-0.0036633336,0.012211111
3121017934583,20-06-2022 16:02:39:235,0.007326667,0.0012211112,0.023201112
3121023624270,20-06-2022 16:02:39:241,0.0048844446,-0.0012211112,0.017095556
3121038624270,20-06-2022 16:02:39:256,0.0061055557,-0.0048844446,0.02198
3121048730312,20-06-2022 16:02:39:266,-0.0036633336,-0.0061055557,0.018316668
3121053204687,20-06-2022 16:02:39:271,-0.024422223,-0.0012211112,0.015874445
3121068204687,20-06-2022 16:02:39:286,-0.014653334,-0.0012211112,0.012211111
3121075706614,20-06-2022 16:02:39:293,-0.0024422223,0.0,0.01099
3121083567708,20-06-2022 16:02:39:301,0.0048844446,-0.0012211112,0.014653334
3121090942760,20-06-2022 16:02:39:308,0.015874445,-0.0012211112,0.018316668
3121105942760,20-06-2022 16:02:39:323,0.007326667,-0.0024422223,0.02198
3121120942760,20-06-2022 16:02:39:338,0.0061055557,-0.0012211112,0.026864445
3121128225468,20-06-2022 16:02:39:346,-0.0048844446,0.0024422223,0.028085556
3121143225468,20-06-2022 16:02:39:361,-0.009768889,0.0,0.025643334
3121158225468,20-06-2022 16:02:39:376,-0.02198,0.0048844446,0.02198
3121160604427,20-06-2022 16:02:39:378,-0.023201112,0.0048844446,0.019537779
3121175604427,20-06-2022 16:02:39:393,-0.03174889,0.0048844446,0.025643334
3121187140677,20-06-2022 16:02:39:405,-0.03174889,0.0061055557,0.024422223
3121196001249,20-06-2022 16:02:39:414,-0.019537779,0.0012211112,0.025643334
3121211001249,20-06-2022 16:02:39:429,-0.0048844446,0.0048844446,0.025643334
3121222650781,20-06-2022 16:02:39:440,-0.01099,-0.0036633336,0.025643334
3121222697083,20-06-2022 16:02:39:440,-0.02198,-0.007326667,0.024422223
3121222748906,20-06-2022 16:02:39:440,-0.026864445,0.0012211112,0.024422223
3121237748906,20-06-2022 16:02:39:455,-0.025643334,0.0048844446,0.024422223
3121240700781,20-06-2022 16:02:39:458,-0.02198,0.0036633336,0.024422223
3121255700781,20-06-2022 16:02:39:473,-0.025643334,0.0024422223,0.017095556
3121262766718,20-06-2022 16:02:39:480,-0.012211111,0.0,0.023201112
3121277766718,20-06-2022 16:02:39:495,-0.009768889,-0.015874445,0.023201112
3121292766718,20-06-2022 16:02:39:510,-0.026864445,-0.02075889,0.06349778
3121296895885,20-06-2022 16:02:39:514,-0.109900005,-0.081814446,0.078151114
3121308577864,20-06-2022 16:02:39:526,-0.12089001,-0.054950003,0.0048844446
3121316239999,20-06-2022 16:02:39:534,-0.06349778,0.03297,-0.046402223
3121331239999,20-06-2022 16:02:39:549,0.042738892,0.054950003,-0.007326667
3121346239999,20-06-2022 16:02:39:564,0.09402556,-0.0012211112,0.042738892
3121349794739,20-06-2022 16:02:39:567,0.10501556,-0.028085556,0.05006556
3121364752447,20-06-2022 16:02:39:582,0.059834447,-0.0061055557,0.017095556
3121367832864,20-06-2022 16:02:39:585,0.007326667,0.009768889,-0.0012211112
3121374424218,20-06-2022 16:02:39:592,-0.017095556,0.009768889,0.0
3121382133124,20-06-2022 16:02:39:600,-0.02075889,0.0024422223,0.012211111
3121397133124,20-06-2022 16:02:39:615,-0.012211111,-0.0036633336,0.014653334
3121401303593,20-06-2022 16:02:39:619,-0.0012211112,-0.0036633336,0.015874445
