epoch,timestamp,x,y,z
9880491789706,20-06-2022 17:55:18:709,-1.9190438,4.3836513,8.690732
9880493602831,20-06-2022 17:55:18:711,-1.8807586,4.3932223,8.69791
9880493654601,20-06-2022 17:55:18:711,-1.8664017,4.287938,8.707481
9880508654601,20-06-2022 17:55:18:726,-1.8544376,4.2329035,8.729017
9880523654601,20-06-2022 17:55:18:741,-1.8687944,4.139583,8.769695
9880538654601,20-06-2022 17:55:18:756,-1.9094725,3.9840498,8.863015
9880553654601,20-06-2022 17:55:18:771,-1.9788643,3.8404803,8.939586
9880566781841,20-06-2022 17:55:18:784,-2.0147567,3.7950168,8.973084
9880566832570,20-06-2022 17:55:18:784,-2.0075781,3.8213377,8.999406
9880566884810,20-06-2022 17:55:18:784,-1.9597218,3.8811584,9.040084
9880581884810,20-06-2022 17:55:18:799,-1.9262222,3.8955152,9.068798
9880587527206,20-06-2022 17:55:18:805,-1.9453648,3.9457645,9.085547
9880602527206,20-06-2022 17:55:18:820,-1.9645073,3.9481573,9.080762
9880612746945,20-06-2022 17:55:18:830,-1.9621146,3.9146578,9.068798
9880612809028,20-06-2022 17:55:18:830,-1.9190438,3.8285162,9.032906
9880627809028,20-06-2022 17:55:18:845,-1.8783658,3.735196,8.980264
9880635353976,20-06-2022 17:55:18:853,-1.847259,3.6681972,8.99462
9880650353976,20-06-2022 17:55:18:868,-1.820938,3.6131623,8.963513
9880662300226,20-06-2022 17:55:18:880,-1.8065811,3.574877,8.937193
9880662380330,20-06-2022 17:55:18:880,-1.8017955,3.6323047,8.973084
9880677380330,20-06-2022 17:55:18:895,-1.820938,3.7950168,9.013762
9880692380330,20-06-2022 17:55:18:910,-1.9142581,4.005585,9.02812
9880707380330,20-06-2022 17:55:18:925,-2.0386848,4.0558343,9.020942
9880722380330,20-06-2022 17:55:18:940,-2.0817556,4.0390844,8.9826565
9880737380330,20-06-2022 17:55:18:955,-2.0482562,4.007978,8.944371
9880752380330,20-06-2022 17:55:18:970,-2.024328,4.007978,8.944371
9880756343976,20-06-2022 17:55:18:974,-2.0386848,4.1228333,8.939586
9880756392258,20-06-2022 17:55:18:974,-2.115255,4.1874394,8.939586
9880756437101,20-06-2022 17:55:18:974,-2.184647,4.2424746,8.961121
9880771437101,20-06-2022 17:55:18:989,-2.2301106,4.26401,9.0233345
9880786437101,20-06-2022 17:55:19:004,-2.2636101,4.1180477,9.097511
9880793887414,20-06-2022 17:55:19:011,-2.3234308,3.8763726,9.059227
9880793939028,20-06-2022 17:55:19:011,-2.388037,3.6490545,8.920443
9880804922726,20-06-2022 17:55:19:022,-2.306681,3.35713,8.829515
9880809251060,20-06-2022 17:55:19:027,-2.2325034,3.1657043,8.776874
9880824121112,20-06-2022 17:55:19:042,-2.2971098,3.1345978,8.662018
9880827809862,20-06-2022 17:55:19:045,-2.333002,3.1609187,8.580662
