epoch,timestamp,x,y,z
9430963370137,20-06-2022 17:47:49:182,-1.7180467,1.861616,9.5353985
9430970120658,20-06-2022 17:47:49:189,-1.713261,1.8831514,9.51147
9430985120658,20-06-2022 17:47:49:204,-1.6701902,1.8807586,9.52822
9430992314304,20-06-2022 17:47:49:211,-1.6773686,1.875973,9.537791
9431003880919,20-06-2022 17:47:49:222,-1.6773686,1.8664017,9.552148
9431011207533,20-06-2022 17:47:49:230,-1.6845472,1.8783658,9.5353985
9431018977637,20-06-2022 17:47:49:237,-1.698904,1.8687944,9.554541
9431033977637,20-06-2022 17:47:49:252,-1.6917256,1.8568304,9.542577
9431048977637,20-06-2022 17:47:49:267,-1.7084754,1.8544376,9.547362
9431063977637,20-06-2022 17:47:49:282,-1.7084754,1.8592232,9.52822
9431078977637,20-06-2022 17:47:49:297,-1.7180467,1.847259,9.521041
9431093977637,20-06-2022 17:47:49:312,-1.6965113,1.8376877,9.533006
9431094766804,20-06-2022 17:47:49:313,-1.6941184,1.8400806,9.537791
9431094814929,20-06-2022 17:47:49:313,-1.6965113,1.8424734,9.533006
9431109814929,20-06-2022 17:47:49:328,-1.7156538,1.8113668,9.51147
9431123038523,20-06-2022 17:47:49:342,-1.7012969,1.8113668,9.525827
9431123085450,20-06-2022 17:47:49:342,-1.6917256,1.8161523,9.523434
9431135339252,20-06-2022 17:47:49:354,-1.6797615,1.8089739,9.525827
9431150339252,20-06-2022 17:47:49:369,-1.6965113,1.8329022,9.542577
9431150757481,20-06-2022 17:47:49:369,-1.7060826,1.8448663,9.542577
9431157415189,20-06-2022 17:47:49:376,-1.727618,1.875973,9.556933
9431172415189,20-06-2022 17:47:49:391,-1.727618,1.8687944,9.547362
9431179863106,20-06-2022 17:47:49:398,-1.7180467,1.8376877,9.537791
9431187681075,20-06-2022 17:47:49:406,-1.7300107,1.8137596,9.533006
9431199736492,20-06-2022 17:47:49:418,-1.7012969,1.8065811,9.52822
9431206846439,20-06-2022 17:47:49:425,-1.6749759,1.8233309,9.537791
9431221450450,20-06-2022 17:47:49:440,-1.6893328,1.835295,9.542577
9431236450450,20-06-2022 17:47:49:455,-1.6965113,1.8448663,9.521041
9431248754252,20-06-2022 17:47:49:467,-1.7252251,1.8831514,9.54497
9431249512117,20-06-2022 17:47:49:468,-1.713261,1.8903298,9.549755
9431264512117,20-06-2022 17:47:49:483,-1.7084754,1.8735801,9.54497
9431277863992,20-06-2022 17:47:49:496,-1.7060826,1.8544376,9.549755
9431277929148,20-06-2022 17:47:49:496,-1.698904,1.875973,9.549755
9431292929148,20-06-2022 17:47:49:511,-1.713261,1.8807586,9.537791
9431307929148,20-06-2022 17:47:49:526,-1.6965113,1.8687944,9.540184
9431317493262,20-06-2022 17:47:49:536,-1.7228323,1.8640088,9.552148
9431317538887,20-06-2022 17:47:49:536,-1.7156538,1.847259,9.549755
9431329866908,20-06-2022 17:47:49:548,-1.7036897,1.8664017,9.547362
