"epoch","timestamp","x","y","z"
"1652716848136","2022-05-16T18:00:48.136","-0.24804688","-0.47753906","0.46313477"
"1652716848181","2022-05-16T18:00:48.181","-0.24694824","-0.47851562","0.46606445"
"1652716848230","2022-05-16T18:00:48.230","-0.1430664","-0.1828125","0.802832"
"1652716848274","2022-05-16T18:00:48.274","-0.2084961","-0.37851563","0.5918945"
"1652716848318","2022-05-16T18:00:48.318","-0.19697265","-0.38320312","0.5949219"
"1652716848365","2022-05-16T18:00:48.365","-0.27041015","-0.58623046","0.36533204"
"1652716848497","2022-05-16T18:00:48.497","-0.12207031","-0.19423828","0.8083984"
"1652716848642","2022-05-16T18:00:48.642","0.085351564","-0.19716796","0.8166016"
"1652716848768","2022-05-16T18:00:48.768","-0.31621093","-0.41689453","0.58310544"
"1652716848905","2022-05-16T18:00:48.905","-0.64091796","-0.2165039","0.52441406"
"1652716848998","2022-05-16T18:00:48.998","-0.21552734","-0.19638672","0.76640624"
"1652716849227","2022-05-16T18:00:49.227","-0.5835937","-0.17773438","0.43310547"
"1652716849357","2022-05-16T18:00:49.357","-1.0930665","-0.25273436","-0.13232422"
"1652716849398","2022-05-16T18:00:49.398","-0.81953126","-0.45957032","-0.11445312"
"1652716849449","2022-05-16T18:00:49.449","-0.77792966","-0.4732422","-0.038671874"
"1652716849451","2022-05-16T18:00:49.451","-0.6651367","-0.6351563","-0.045703124"
"1652716849452","2022-05-16T18:00:49.452","-0.6777344","-0.6352539","-0.048046876"
"1652716849485","2022-05-16T18:00:49.485","-0.6581055","-0.6203125","-0.01328125"
"1652716849530","2022-05-16T18:00:49.530","-0.6177734","-0.61376953","0.07080078"
"1652716849575","2022-05-16T18:00:49.575","-0.6208008","-0.61191404","0.06943359"
"1652716849621","2022-05-16T18:00:49.621","-0.5680664","-0.61445314","0.14443359"
"1652716849672","2022-05-16T18:00:49.672","-0.56513673","-0.6195313","0.14736328"
"1652716849675","2022-05-16T18:00:49.675","-0.5594727","-0.61884767","0.1475586"
"1652716849718","2022-05-16T18:00:49.718","-0.5428711","-0.6129883","0.21601562"
"1652716849723","2022-05-16T18:00:49.723","-0.5396484","-0.6124023","0.21738282"
"1652716849759","2022-05-16T18:00:49.759","-0.49677736","-0.4055664","0.5162109"
"1652716849801","2022-05-16T18:00:49.801","-0.4033203","-0.39716798","0.57197267"
"1652716849902","2022-05-16T18:00:49.902","-0.11416016","-0.41542968","0.5834961"
"1652716849903","2022-05-16T18:00:49.903","-0.1140625","-0.41035157","0.58515626"
"1652716849935","2022-05-16T18:00:49.935","-0.21767578","-0.6046875","0.33115235"
"1652716850008","2022-05-16T18:00:50.008","-0.13652344","-0.41259766","0.4963867"
"1652716850012","2022-05-16T18:00:50.012","-0.26513672","-0.57304686","0.25107422"
"1652716850014","2022-05-16T18:00:50.014","-0.26669922","-0.57246095","0.25048828"
"1652716850026","2022-05-16T18:00:50.026","-0.28291017","-0.5515625","0.27490234"
"1652716850071","2022-05-16T18:00:50.071","-0.3743164","-0.7484375","0.095507815"
"1652716850117","2022-05-16T18:00:50.117","-0.3631836","-0.54853517","0.27392578"
"1652716850210","2022-05-16T18:00:50.210","-0.5199219","-0.56523436","0.15693359"
"1652716850295","2022-05-16T18:00:50.295","-1.121289","-0.22822265","-0.09472656"
"1652716850520","2022-05-16T18:00:50.520","-0.81337893","-0.27568358","0.051464844"
"1652716850621","2022-05-16T18:00:50.621","-0.7198242","-0.4290039","0.21923828"
"1652716850745","2022-05-16T18:00:50.745","-0.4852539","-0.41640624","0.4573242"
"1652716850801","2022-05-16T18:00:50.801","-0.30966797","-0.41103515","0.54716796"
