"epoch","timestamp","x","y","z"
"1651438827430","2022-05-01T23:00:27.430","-2.682927","13.04878","-87.19512"
"1651438827433","2022-05-01T23:00:27.433","0.040650368","6.1585364","-57.4187"
"1651438827434","2022-05-01T23:00:27.434","-0.85365856","7.5762196","-65.60976"
"1651438827515","2022-05-01T23:00:27.515","0.4268294","2.4878051","-37.390236"
"1651438827561","2022-05-01T23:00:27.561","0.8414637","2.2195125","-36.10975"
"1651438827650","2022-05-01T23:00:27.650","-0.37804872","2.743903","-38.53658"
"1651438827695","2022-05-01T23:00:27.695","-0.5609757","3.0853662","-39.146336"
"1651438827783","2022-05-01T23:00:27.783","-0.8292683","3.414634","-39.41463"
"1651438827830","2022-05-01T23:00:27.830","-0.8414634","3.6463408","-39.853653"
"1651438827922","2022-05-01T23:00:27.922","-1.0609756","3.5853658","-40.10975"
"1651438827965","2022-05-01T23:00:27.965","-1.1341463","3.2804878","-40.60975"
"1651438828059","2022-05-01T23:00:28.059","-1.5121951","3.3780487","-41.170727"
"1651438828100","2022-05-01T23:00:28.100","-1.6707318","3.2195122","-41.475605"
"1651438828190","2022-05-01T23:00:28.190","-2.1707318","2.317073","-41.81707"
"1651438828237","2022-05-01T23:00:28.237","-2.4390244","1.5121949","-41.82926"
"1651438828330","2022-05-01T23:00:28.330","-2.8170733","0.45121917","-42.15853"
"1651438828371","2022-05-01T23:00:28.371","-2.8292685","-0.46341506","-42.512188"
"1651438828458","2022-05-01T23:00:28.458","-1.5731709","-1.1707323","-19.963406"
"1651438828504","2022-05-01T23:00:28.504","-2.0365856","-2.8048787","-41.02438"
"1651438828594","2022-05-01T23:00:28.594","-1.756098","-4.2682934","-44.14634"
"1651438828729","2022-05-01T23:00:28.729","0.6097558","-5.6951222","-48.46341"
"1651438828775","2022-05-01T23:00:28.775","3.9634144","-7.1585374","-50.87804"
"1651438828910","2022-05-01T23:00:28.910","-0.15853672","-8.500001","-53.170723"
"1651438828957","2022-05-01T23:00:28.957","0.5853657","-12.890245","-51.670723"
"1651438829091","2022-05-01T23:00:29.091","-0.29268304","-11.792685","-51.768288"
"1651438829135","2022-05-01T23:00:29.135","2.097561","-10.85366","-47.75609"
"1651438829281","2022-05-01T23:00:29.281","3.853658","-1.8048786","-19.560963"
"1651438829315","2022-05-01T23:00:29.315","2.54878","-7.6829276","-37.9634"
"1651438829450","2022-05-01T23:00:29.450","1.5","-4.585367","-38.182915"
"1651438829495","2022-05-01T23:00:29.495","-0.8902439","-10.756099","-34.780476"
"1651438829628","2022-05-01T23:00:29.628","-8.097562","-15.634146","-26.207302"
"1651438829674","2022-05-01T23:00:29.674","-14.792685","-8.987803","-19.402424"
"1651438829810","2022-05-01T23:00:29.810","-0.121953204","7.170733","-14.231692"
"1651438829854","2022-05-01T23:00:29.854","-4.0000024","-3.8414626","-16.621937"
"1651438829995","2022-05-01T23:00:29.995","2.2804856","5.292684","-5.317056"
"1651438830038","2022-05-01T23:00:30.038","-1.6829288","2.3292692","-7.7926664"
"1651438830047","2022-05-01T23:00:30.047","-2.1585386","3.5000007","-8.426813"
"1651438830050","2022-05-01T23:00:30.050","2.012193","-1.5609748","0.7683099"
"1651438830057","2022-05-01T23:00:30.057","1.426827","-3.219511","1.0244076"
"1651438830059","2022-05-01T23:00:30.059","-2.6463437","-4.341462","-0.8170559"
"1651438830061","2022-05-01T23:00:30.061","-2.158539","-3.841462","-1.8902267"
"1651438830081","2022-05-01T23:00:30.081","-1.3414657","0.13414784","-0.59754384"
"1651438830088","2022-05-01T23:00:30.088","-5.524393","-1.7926813","-4.3048606"
"1651438830089","2022-05-01T23:00:30.089","-6.951223","0.80487967","-2.4755924"
"1651438830097","2022-05-01T23:00:30.097","-3.7804916","-6.59756","-0.80485964"
"1651438830099","2022-05-01T23:00:30.099","0.6707279","-3.9756088","3.8048966"
"1651438830101","2022-05-01T23:00:30.101","1.7926791","-3.109755","15.743921"
"1651438830126","2022-05-01T23:00:30.126","5.3048744","-0.92682827","27.353678"
"1651438830129","2022-05-01T23:00:30.129","12.207314","3.780489","43.00002"
"1651438830131","2022-05-01T23:00:30.131","13.573168","6.0731716","54.45124"
"1651438830134","2022-05-01T23:00:30.134","8.402435","5.2317085","56.10978"
"1651438830135","2022-05-01T23:00:30.135","6.695119","7.6341476","56.756123"
"1651438830138","2022-05-01T23:00:30.138","-1.7195156","6.597562","41.87807"
"1651438830139","2022-05-01T23:00:30.139","-8.939028","-4.048781","13.000025"
"1651438830172","2022-05-01T23:00:30.172","-2.5121982","-0.5853661","30.012218"
"1651438830174","2022-05-01T23:00:30.174","4.353656","3.7804878","47.341484"
"1651438830177","2022-05-01T23:00:30.177","5.658534","6.878049","63.707336"
