"epoch","timestamp","x","y","z"
"1652717337340","2022-05-16T18:08:57.340","2.682927","-120.36586","15.487805"
"1652717337429","2022-05-16T18:08:57.429","2.8048782","-119.893295","15.259148"
"1652717337474","2022-05-16T18:08:57.474","3.1219513","-119.02439","8.524391"
"1652717337565","2022-05-16T18:08:57.565","3.6707318","-114.15853","8.341463"
"1652717337609","2022-05-16T18:08:57.609","3.317073","-108.76829","21.768291"
"1652717337699","2022-05-16T18:08:57.699","3.7073169","-102.914635","8.231707"
"1652717337745","2022-05-16T18:08:57.745","3.5609756","-96.69513","8.085365"
"1652717337835","2022-05-16T18:08:57.835","3.6951222","-90.182945","7.829267"
"1652717337879","2022-05-16T18:08:57.879","4.1951222","-83.63417","7.512193"
"1652717337970","2022-05-16T18:08:57.970","4.7560973","-77.329285","7.182924"
"1652717338018","2022-05-16T18:08:58.018","5.3048773","-71.463425","6.756095"
"1652717338104","2022-05-16T18:08:58.104","6.09756","-63.048798","6.036582"
"1652717338149","2022-05-16T18:08:58.149","9.59756","-45.829285","2.2560935"
"1652717338195","2022-05-16T18:08:58.195","13.512195","-6.9634323","-8.231711"
"1652717338241","2022-05-16T18:08:58.241","14.59756","38.597546","-23.695126"
"1652717338330","2022-05-16T18:08:58.330","6.182926","89.92681","-36.000004"
"1652717338374","2022-05-16T18:08:58.374","-1.4390252","96.682915","-37.69513"
"1652717338418","2022-05-16T18:08:58.418","-11.560977","75.85366","-28.597565"
"1652717338462","2022-05-16T18:08:58.462","-17.963415","75.64635","-21.58537"
"1652717339592","2022-05-16T18:08:59.592","-5.182925","36.914635","-58.817078"
"1652717339635","2022-05-16T18:08:59.635","0.47561112","43.646347","-36.19512"
"1652717339681","2022-05-16T18:08:59.681","10.426831","66.95122","-18.195124"
"1652717339724","2022-05-16T18:08:59.724","23.951221","121.02439","-0.42682952"
"1652717339770","2022-05-16T18:08:59.770","33.365856","226.96341","10.365853"
"1652717339817","2022-05-16T18:08:59.817","31.13415","250.07315","14.463412"
"1652717339860","2022-05-16T18:08:59.860","31.5","235.36581","7.048777"
"1652717339905","2022-05-16T18:08:59.905","33.158535","200.90239","1.7073143"
"1652717339951","2022-05-16T18:08:59.951","32.5","151.6585","-2.1097589"
"1652717339995","2022-05-16T18:08:59.995","31.609756","91.34142","-5.8902464"
"1652717340041","2022-05-16T18:09:00.041","25.524391","38.30484","-8.939027"
"1652717340082","2022-05-16T18:09:00.082","15.780489","-9.414675","-10.719515"
"1652717340130","2022-05-16T18:09:00.130","1.0609766","-68.70736","-12.317076"
"1652717340181","2022-05-16T18:09:00.181","-8.878047","-131.80492","-7.7317095"
"1652717340219","2022-05-16T18:09:00.219","-23.463413","-248.58542","-0.2073185"
"1652717340267","2022-05-16T18:09:00.267","-35.890244","-287.24396","3.268291"
"1652717340311","2022-05-16T18:09:00.311","-33.939022","-304.90247","6.158536"
"1652717340357","2022-05-16T18:09:00.357","-25.71951","-316.73175","6.536584"
"1652717340401","2022-05-16T18:09:00.401","-14.402435","-258.4147","9.475609"
"1652717340449","2022-05-16T18:09:00.449","-1.9146309","-156.03665","14.292682"
"1652717340494","2022-05-16T18:09:00.494","1.0975643","-55.865906","20.353657"
"1652717340537","2022-05-16T18:09:00.537","0.048783876","9.695073","28.719513"
"1652717340585","2022-05-16T18:09:00.585","0.19512558","69.1219","37.951218"
"1652717341748","2022-05-16T18:09:01.748","-19.451214","232.92673","28.378046"
"1652717341795","2022-05-16T18:09:01.795","-1.9146278","225.82915","15.426825"
"1652717341846","2022-05-16T18:09:01.846","16.085373","214.37793","2.7804832"
"1652717341884","2022-05-16T18:09:01.884","33.31708","192.9999","-10.475615"
"1652717341933","2022-05-16T18:09:01.933","41.46342","162.26816","-11.060981"
"1652717341976","2022-05-16T18:09:01.976","28.134155","123.82914","-0.91463965"
"1652717342020","2022-05-16T18:09:02.020","22.207325","79.46327","-0.7682983"
"1652717342065","2022-05-16T18:09:02.065","14.2683","56.07302","-0.26829797"
"1652717342112","2022-05-16T18:09:02.112","7.2195196","38.463264","-0.21951751"
"1652717342156","2022-05-16T18:09:02.156","4.963422","11.475454","-2.3780541"
"1652717342200","2022-05-16T18:09:02.200","2.9390314","-17.268448","-5.902444"
"1652717342244","2022-05-16T18:09:02.244","1.951226","-27.170887","-5.3658586"
"1652717342290","2022-05-16T18:09:02.290","2.5975678","-26.463572","-2.7195172"
"1652717342334","2022-05-16T18:09:02.334","4.4756155","-34.305035","-2.1585417"
"1652717342379","2022-05-16T18:09:02.379","3.7439086","-39.426987","-4.682932"
"1652717342426","2022-05-16T18:09:02.426","3.9390304","-45.548943","-7.646347"
"1652717342469","2022-05-16T18:09:02.469","3.84147","-47.292843","-6.280493"
"1652717342514","2022-05-16T18:09:02.514","-0.12194481","-36.07333","-4.3780527"
"1652717342561","2022-05-16T18:09:02.561","-2.8658473","-17.987963","-1.4268337"
"1652717342604","2022-05-16T18:09:02.604","-5.146335","-11.829425","0.5609711"
"1652717342653","2022-05-16T18:09:02.653","-5.780482","-7.5367417","0.89023954"
"1652717342692","2022-05-16T18:09:02.692","-5.2926764","-10.3416195","1.3658493"
